Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andy Brooke,Candice Christmas,Mark Gerretsen,Barrington Walker,Ruslan Yakoviychuk,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35044,"Kingston and the Islands/Kingston et les Îles"," 1","Kingston",9,33,167,60,113,1,383,583
35044,"Kingston and the Islands/Kingston et les Îles"," 2","Kingston",12,36,121,38,61,1,269,550
35044,"Kingston and the Islands/Kingston et les Îles"," 3","Howe Island",5,16,98,25,62,0,206,290
35044,"Kingston and the Islands/Kingston et les Îles"," 4","Howe Island",5,22,82,16,52,0,177,245
35044,"Kingston and the Islands/Kingston et les Îles"," 5","Kingston",6,25,65,25,45,2,168,412
35044,"Kingston and the Islands/Kingston et les Îles"," 6","Kingston",7,8,133,48,79,2,277,581
35044,"Kingston and the Islands/Kingston et les Îles"," 7A","Kingston",5,24,90,42,34,1,196,430
35044,"Kingston and the Islands/Kingston et les Îles"," 7B","Kingston",3,15,124,46,60,1,249,487
35044,"Kingston and the Islands/Kingston et les Îles"," 8","Kingston",5,22,145,58,52,2,284,515
35044,"Kingston and the Islands/Kingston et les Îles"," 9","Kingston",12,19,145,74,77,0,327,582
35044,"Kingston and the Islands/Kingston et les Îles"," 10","Kingston",8,36,130,68,63,3,308,566
35044,"Kingston and the Islands/Kingston et les Îles"," 11","Kingston",6,24,51,30,26,0,137,344
35044,"Kingston and the Islands/Kingston et les Îles"," 12","Kingston",9,11,58,45,35,0,158,477
35044,"Kingston and the Islands/Kingston et les Îles"," 13","Kingston",12,11,84,69,39,0,215,445
35044,"Kingston and the Islands/Kingston et les Îles"," 14","Kingston",6,19,94,56,37,0,212,462
35044,"Kingston and the Islands/Kingston et les Îles"," 15","Kingston",9,19,78,79,41,7,233,506
35044,"Kingston and the Islands/Kingston et les Îles"," 16","Kingston",8,18,118,65,64,0,273,553
35044,"Kingston and the Islands/Kingston et les Îles"," 17","Kingston",8,24,115,54,58,2,261,530
35044,"Kingston and the Islands/Kingston et les Îles"," 18","Kingston",2,14,58,47,23,0,144,419
35044,"Kingston and the Islands/Kingston et les Îles"," 19","Kingston",11,15,49,48,28,1,152,368
35044,"Kingston and the Islands/Kingston et les Îles"," 20","Kingston",7,20,61,41,36,1,166,453
35044,"Kingston and the Islands/Kingston et les Îles"," 21A","Kingston",11,17,83,41,44,2,198,440
35044,"Kingston and the Islands/Kingston et les Îles"," 21B","Kingston",7,21,89,47,28,1,193,428
35044,"Kingston and the Islands/Kingston et les Îles"," 22","Kingston",2,18,113,33,45,0,211,528
35044,"Kingston and the Islands/Kingston et les Îles"," 23","Kingston",7,25,102,62,55,0,251,531
35044,"Kingston and the Islands/Kingston et les Îles"," 24","Kingston",5,14,67,59,31,3,179,561
35044,"Kingston and the Islands/Kingston et les Îles"," 25","Kingston",3,17,70,48,15,0,153,564
35044,"Kingston and the Islands/Kingston et les Îles"," 26","Kingston",7,13,46,68,35,3,172,536
35044,"Kingston and the Islands/Kingston et les Îles"," 27","Kingston",1,10,72,51,41,0,175,365
35044,"Kingston and the Islands/Kingston et les Îles"," 28","Kingston",4,24,131,48,103,1,311,688
35044,"Kingston and the Islands/Kingston et les Îles"," 29","Kingston",5,17,91,32,39,0,184,494
35044,"Kingston and the Islands/Kingston et les Îles"," 30","Kingston",9,18,104,48,42,0,221,470
35044,"Kingston and the Islands/Kingston et les Îles"," 31","Kingston",7,10,64,38,28,0,147,366
35044,"Kingston and the Islands/Kingston et les Îles"," 32","Kingston",3,10,60,30,52,0,155,400
35044,"Kingston and the Islands/Kingston et les Îles"," 33","Kingston",0,9,78,33,54,1,175,525
35044,"Kingston and the Islands/Kingston et les Îles"," 34","Kingston",6,21,76,46,50,0,199,415
35044,"Kingston and the Islands/Kingston et les Îles"," 35","Kingston",7,13,130,46,68,2,266,645
35044,"Kingston and the Islands/Kingston et les Îles"," 36A","Kingston",3,14,98,46,37,0,198,428
35044,"Kingston and the Islands/Kingston et les Îles"," 36B","Kingston",4,19,88,39,59,2,211,456
35044,"Kingston and the Islands/Kingston et les Îles"," 37","Kingston",9,12,114,45,56,0,236,478
35044,"Kingston and the Islands/Kingston et les Îles"," 38","Kingston",3,17,115,44,46,5,230,444
35044,"Kingston and the Islands/Kingston et les Îles"," 39","Kingston",6,16,86,49,56,1,214,485
35044,"Kingston and the Islands/Kingston et les Îles"," 40","Kingston",1,10,81,33,51,0,176,413
35044,"Kingston and the Islands/Kingston et les Îles"," 41","Kingston",5,5,40,22,13,0,85,258
35044,"Kingston and the Islands/Kingston et les Îles"," 42","Kingston",4,34,117,45,66,2,268,541
35044,"Kingston and the Islands/Kingston et les Îles"," 43","Kingston",2,25,100,22,41,2,192,417
35044,"Kingston and the Islands/Kingston et les Îles"," 44","Kingston",8,23,74,82,95,2,284,748
35044,"Kingston and the Islands/Kingston et les Îles"," 45","Kingston",6,9,65,51,61,0,192,587
35044,"Kingston and the Islands/Kingston et les Îles"," 46","Kingston",4,8,70,44,30,2,158,455
35044,"Kingston and the Islands/Kingston et les Îles"," 47","Kingston",11,9,64,69,37,0,190,407
35044,"Kingston and the Islands/Kingston et les Îles"," 48","Kingston",5,36,73,89,46,0,249,574
35044,"Kingston and the Islands/Kingston et les Îles"," 49","Kingston",7,12,66,57,19,0,161,500
35044,"Kingston and the Islands/Kingston et les Îles"," 50","Kingston",10,14,56,54,28,1,163,544
35044,"Kingston and the Islands/Kingston et les Îles"," 51","Kingston",4,6,96,49,23,0,178,368
35044,"Kingston and the Islands/Kingston et les Îles"," 52","Kingston",4,12,67,65,37,1,186,441
35044,"Kingston and the Islands/Kingston et les Îles"," 53","Kingston",7,18,42,60,19,0,146,470
35044,"Kingston and the Islands/Kingston et les Îles"," 54","Kingston",7,16,118,84,39,4,268,580
35044,"Kingston and the Islands/Kingston et les Îles"," 55","Kingston",9,21,95,82,49,0,256,579
35044,"Kingston and the Islands/Kingston et les Îles"," 56","Kingston",6,23,165,75,51,0,320,545
35044,"Kingston and the Islands/Kingston et les Îles"," 57","Kingston",9,33,140,70,41,2,295,560
35044,"Kingston and the Islands/Kingston et les Îles"," 58A","Kingston",5,11,84,64,63,1,228,511
35044,"Kingston and the Islands/Kingston et les Îles"," 58B","Kingston",3,13,78,45,52,4,195,468
35044,"Kingston and the Islands/Kingston et les Îles"," 59","Kingston",7,32,66,67,48,0,220,505
35044,"Kingston and the Islands/Kingston et les Îles"," 60","Kingston",3,18,93,37,60,1,212,465
35044,"Kingston and the Islands/Kingston et les Îles"," 61","Kingston",5,14,107,46,84,1,257,549
35044,"Kingston and the Islands/Kingston et les Îles"," 62","Kingston",10,10,143,74,96,1,334,782
35044,"Kingston and the Islands/Kingston et les Îles"," 63","Kingston",13,7,65,59,36,1,181,461
35044,"Kingston and the Islands/Kingston et les Îles"," 64","Kingston",7,17,117,49,70,0,260,574
35044,"Kingston and the Islands/Kingston et les Îles"," 65","Kingston",5,12,74,35,48,1,175,384
35044,"Kingston and the Islands/Kingston et les Îles"," 66","Kingston",5,14,71,54,12,1,157,336
35044,"Kingston and the Islands/Kingston et les Îles"," 67","Kingston",1,26,80,94,20,2,223,497
35044,"Kingston and the Islands/Kingston et les Îles"," 68","Kingston",6,22,46,111,10,1,196,497
35044,"Kingston and the Islands/Kingston et les Îles"," 69","Kingston",4,5,64,28,35,0,136,303
35044,"Kingston and the Islands/Kingston et les Îles"," 70","Kingston",4,9,58,51,26,1,149,358
35044,"Kingston and the Islands/Kingston et les Îles"," 71","Kingston",7,12,118,43,43,0,223,376
35044,"Kingston and the Islands/Kingston et les Îles"," 72","Kingston",6,13,78,46,53,4,200,452
35044,"Kingston and the Islands/Kingston et les Îles"," 73","Kingston",8,17,95,72,38,2,232,454
35044,"Kingston and the Islands/Kingston et les Îles"," 74","Kingston",4,9,74,29,30,2,148,305
35044,"Kingston and the Islands/Kingston et les Îles"," 75","Kingston",2,16,77,84,29,0,208,522
