Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Birinder Singh Ahluwalia,Ali Ehsassi,Richard Hillier,Leah Kalsi,Daniel Lee,Sharolyn Vettese,Shodja Ziaian,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35115,"Willowdale/Willowdale"," 71","North York",0,74,1,15,81,11,0,0,182,545
35115,"Willowdale/Willowdale"," 72","North York",0,75,4,17,54,5,0,0,155,365
35115,"Willowdale/Willowdale"," 73","North York",0,121,2,12,80,9,0,0,224,537
35115,"Willowdale/Willowdale"," 74","North York",0,85,1,33,44,6,0,3,172,412
35115,"Willowdale/Willowdale"," 75","North York",0,74,7,19,55,8,0,3,166,545
35115,"Willowdale/Willowdale"," 76","North York",1,103,3,18,82,10,0,0,217,513
35115,"Willowdale/Willowdale"," 77","North York",2,81,1,17,57,6,0,1,165,432
35115,"Willowdale/Willowdale"," 78","North York",0,87,1,8,65,10,0,1,172,457
35115,"Willowdale/Willowdale"," 79","North York",2,79,3,20,103,4,0,0,211,510
35115,"Willowdale/Willowdale"," 80","North York",0,66,2,6,42,6,0,1,123,368
35115,"Willowdale/Willowdale"," 81","North York",1,70,2,5,81,3,0,4,166,463
35115,"Willowdale/Willowdale"," 82","North York",1,104,5,24,76,8,0,2,220,524
35115,"Willowdale/Willowdale"," 83","North York",0,100,2,19,97,9,1,1,229,510
35115,"Willowdale/Willowdale"," 84","North York",1,74,1,24,108,6,1,1,216,511
35115,"Willowdale/Willowdale"," 85","North York",0,189,3,23,85,21,0,0,321,640
35115,"Willowdale/Willowdale"," 86","North York",0,111,1,16,96,15,0,0,239,556
35115,"Willowdale/Willowdale"," 87","North York",1,142,2,25,98,8,0,1,277,578
35115,"Willowdale/Willowdale"," 88","North York",0,80,1,21,66,5,0,3,176,425
35115,"Willowdale/Willowdale"," 89","North York",0,125,2,17,78,10,0,0,232,527
35115,"Willowdale/Willowdale"," 90","North York",0,96,3,18,76,4,0,0,197,439
35115,"Willowdale/Willowdale"," 91","North York",0,62,3,24,42,2,0,2,135,376
35115,"Willowdale/Willowdale"," 92","North York",0,92,3,17,70,9,1,2,194,462
35115,"Willowdale/Willowdale"," 93","North York",0,61,0,18,64,8,0,0,151,396
35115,"Willowdale/Willowdale"," 94","North York",1,81,2,21,67,4,2,0,178,518
35115,"Willowdale/Willowdale"," 95","North York",1,109,1,32,81,12,1,0,237,500
35115,"Willowdale/Willowdale"," 96","North York",1,90,1,21,65,12,0,0,190,543
35115,"Willowdale/Willowdale"," 97","North York",1,168,7,35,71,9,1,0,292,566
35115,"Willowdale/Willowdale"," 98","North York",1,119,3,26,92,9,0,2,252,543
35115,"Willowdale/Willowdale"," 99","North York",1,110,1,20,88,14,1,0,235,513
35115,"Willowdale/Willowdale"," 100","North York",1,97,2,8,50,14,0,1,173,498
35115,"Willowdale/Willowdale"," 101","North York",1,102,3,29,74,9,0,1,219,491
35115,"Willowdale/Willowdale"," 102","North York",0,142,4,27,61,15,0,1,250,545
35115,"Willowdale/Willowdale"," 103","North York",1,106,1,14,49,7,1,1,180,463
35115,"Willowdale/Willowdale"," 104","North York",0,107,4,24,41,10,0,1,187,322
35115,"Willowdale/Willowdale"," 105","North York",1,122,4,16,85,7,1,9,245,604
35115,"Willowdale/Willowdale"," 106","North York",1,117,0,18,116,8,0,2,262,570
35115,"Willowdale/Willowdale"," 107","North York",0,84,2,17,55,8,0,1,167,351
35115,"Willowdale/Willowdale"," 108","North York",0,93,3,15,57,8,0,2,178,339
35115,"Willowdale/Willowdale"," 109","North York",2,75,6,17,78,17,1,2,198,528
35115,"Willowdale/Willowdale"," 400","North York",1,80,4,23,109,2,1,1,221,509
35115,"Willowdale/Willowdale"," 401","North York",0,59,0,21,99,3,1,1,184,442
35115,"Willowdale/Willowdale"," 402","North York",0,55,1,13,76,7,0,0,152,314
35115,"Willowdale/Willowdale"," 403","North York",2,114,5,37,39,4,4,6,211,432
35115,"Willowdale/Willowdale"," 404","North York",1,60,2,9,61,6,0,1,140,228
35115,"Willowdale/Willowdale"," 405","North York",0,56,2,10,22,2,1,1,94,241
35115,"Willowdale/Willowdale"," 406","North York",1,108,6,32,110,12,1,5,275,538
35115,"Willowdale/Willowdale"," 407","North York",0,82,4,20,43,4,0,0,153,299
35115,"Willowdale/Willowdale"," 408","North York",0,77,2,15,46,2,0,2,144,329
35115,"Willowdale/Willowdale"," 409","North York",0,77,2,8,48,6,0,0,141,362
35115,"Willowdale/Willowdale"," 410","North York",3,39,1,10,129,4,0,6,192,306
35115,"Willowdale/Willowdale"," 411","North York",0,76,3,18,61,8,0,2,168,387
35115,"Willowdale/Willowdale"," 412","North York",1,103,2,35,69,6,2,3,221,495
35115,"Willowdale/Willowdale"," 413","North York",2,87,2,14,57,2,1,3,168,302
35115,"Willowdale/Willowdale"," 414","North York",0,83,3,14,103,5,0,2,210,418
35115,"Willowdale/Willowdale"," 415","North York",0,60,2,9,52,9,0,0,132,329
35115,"Willowdale/Willowdale"," 416","North York",6,137,2,14,99,14,0,0,272,433
35115,"Willowdale/Willowdale"," 417","North York",0,111,2,22,47,3,2,2,189,386
35115,"Willowdale/Willowdale"," 418","North York",2,55,3,8,60,3,1,9,141,247
35115,"Willowdale/Willowdale"," 419","North York",0,116,2,22,51,9,1,3,204,424
35115,"Willowdale/Willowdale"," 420","North York",1,93,1,13,57,7,0,2,174,432
35115,"Willowdale/Willowdale"," 421","North York",0,84,3,22,57,4,0,0,170,407
35115,"Willowdale/Willowdale"," 422","North York",0,102,2,18,66,5,0,4,197,473
35115,"Willowdale/Willowdale"," 423","North York",1,59,4,5,40,1,0,2,112,306
35115,"Willowdale/Willowdale"," 424","North York",0,72,0,5,40,2,0,0,119,377
35115,"Willowdale/Willowdale"," 425","North York",1,109,3,18,67,6,0,3,207,391
35115,"Willowdale/Willowdale"," 426","North York",0,133,9,32,38,8,0,4,224,464
35115,"Willowdale/Willowdale"," 427","North York",0,44,1,8,45,2,0,0,100,355
35115,"Willowdale/Willowdale"," 428","North York",1,39,1,6,22,8,2,1,80,256
35115,"Willowdale/Willowdale"," 429","North York",1,70,4,12,78,9,0,1,175,375
35115,"Willowdale/Willowdale"," 430","North York",1,52,3,13,38,3,1,0,111,328
35115,"Willowdale/Willowdale"," 431","North York",4,129,8,23,90,9,0,3,266,421
35115,"Willowdale/Willowdale"," 432","North York",1,56,1,20,42,4,0,5,129,305
35115,"Willowdale/Willowdale"," 433","North York",4,62,2,8,51,7,0,0,134,244
35115,"Willowdale/Willowdale"," 434","North York",1,93,2,18,75,9,0,0,198,393
35115,"Willowdale/Willowdale"," 435","North York",1,64,1,17,55,5,0,0,143,276
35115,"Willowdale/Willowdale"," 436","North York",1,100,1,13,52,7,0,1,175,416
35115,"Willowdale/Willowdale"," 437","North York",2,83,3,27,51,5,0,1,172,334
35115,"Willowdale/Willowdale"," 438","North York",2,109,4,18,91,6,1,3,234,475
35115,"Willowdale/Willowdale"," 439","North York",0,101,3,27,60,10,0,4,205,417
35115,"Willowdale/Willowdale"," 440","North York",1,103,3,22,53,6,0,2,190,359
35115,"Willowdale/Willowdale"," 441","North York",1,101,2,18,69,20,0,0,211,372
35115,"Willowdale/Willowdale"," 442","North York",0,124,4,22,99,4,0,1,254,426
35115,"Willowdale/Willowdale"," 443","North York",1,92,7,24,41,11,0,0,176,331
35115,"Willowdale/Willowdale"," 444","North York",1,112,4,28,55,4,0,3,207,418
35115,"Willowdale/Willowdale"," 445","North York",1,88,4,29,45,9,0,3,179,313
35115,"Willowdale/Willowdale"," 446","North York",1,151,4,13,85,9,0,0,263,434
35115,"Willowdale/Willowdale"," 447","North York",1,126,2,33,90,10,0,5,267,558
35115,"Willowdale/Willowdale"," 448","North York",0,88,1,12,43,8,0,3,155,251
35115,"Willowdale/Willowdale"," 449","North York",0,115,1,14,62,11,0,1,204,347
35115,"Willowdale/Willowdale"," 450","North York",0,39,1,3,19,2,0,0,64,215
35115,"Willowdale/Willowdale"," 451","North York",0,36,1,7,16,1,1,0,62,214
35115,"Willowdale/Willowdale"," 452","North York",1,128,4,15,94,3,0,0,245,380
35115,"Willowdale/Willowdale"," 453","North York",0,88,1,21,24,2,2,0,138,332
35115,"Willowdale/Willowdale"," 454","North York",0,79,1,20,26,4,0,0,130,395
35115,"Willowdale/Willowdale"," 455","North York",0,58,0,8,39,7,4,0,116,337
35115,"Willowdale/Willowdale"," 456","North York",0,125,2,17,68,12,1,0,225,359
35115,"Willowdale/Willowdale"," 457","North York",1,73,0,15,33,4,0,2,128,261
35115,"Willowdale/Willowdale"," 458","North York",0,37,0,5,27,1,0,2,72,191
35115,"Willowdale/Willowdale"," 459","North York",0,34,0,11,20,2,0,0,67,160
35115,"Willowdale/Willowdale"," 460","North York",1,72,1,9,51,2,0,3,139,281
35115,"Willowdale/Willowdale"," 461","North York",0,112,1,26,45,6,0,1,191,358
35115,"Willowdale/Willowdale"," 462","North York",1,159,1,24,82,5,0,0,272,518
35115,"Willowdale/Willowdale"," 463","North York",1,80,2,11,54,3,1,1,153,293
35115,"Willowdale/Willowdale"," 464","North York",2,85,1,26,32,3,0,1,150,288
35115,"Willowdale/Willowdale"," 465","North York",1,91,2,32,24,11,0,0,161,303
35115,"Willowdale/Willowdale"," 466","North York",0,157,3,24,57,10,1,3,255,529
35115,"Willowdale/Willowdale"," 467","North York",0,127,2,26,87,4,0,1,247,441
35115,"Willowdale/Willowdale"," 468","North York",1,76,0,15,37,4,0,0,133,235
35115,"Willowdale/Willowdale"," 469","North York",0,101,3,28,45,8,0,0,185,303
35115,"Willowdale/Willowdale"," 500","Mobile poll/Bureau itinérant",1,40,5,9,28,3,0,4,90,335
35115,"Willowdale/Willowdale"," 501","Mobile poll/Bureau itinérant",0,89,2,6,32,3,1,6,139,177
35115,"Willowdale/Willowdale"," 502","Mobile poll/Bureau itinérant",3,69,1,3,41,1,1,0,119,216
35115,"Willowdale/Willowdale"," 600","North York",4,309,7,41,306,18,0,2,687,
35115,"Willowdale/Willowdale"," 601","North York",5,427,11,71,462,29,2,4,1011,
35115,"Willowdale/Willowdale"," 602","North York",6,411,15,83,420,23,1,5,964,
35115,"Willowdale/Willowdale"," 603","North York",7,288,6,33,199,38,1,5,577,
35115,"Willowdale/Willowdale"," 604","North York",0,160,4,31,158,21,1,2,377,
35115,"Willowdale/Willowdale"," 605","North York",2,548,12,74,381,40,0,5,1062,
35115,"Willowdale/Willowdale"," 606","North York",3,599,18,93,472,43,3,15,1246,
35115,"Willowdale/Willowdale"," 607","North York",3,399,5,59,238,19,0,3,726,
35115,"Willowdale/Willowdale"," 608","North York",2,470,9,44,485,39,0,10,1059,
35115,"Willowdale/Willowdale"," 609","North York",6,640,11,91,400,41,0,0,1189,
35115,"Willowdale/Willowdale"," 610","North York",2,206,5,33,153,12,1,0,412,
35115,"Willowdale/Willowdale"," 611","North York",2,238,4,43,115,19,0,1,422,
35115,"Willowdale/Willowdale"," 612","North York",1,437,4,63,367,35,2,5,914,
35115,"Willowdale/Willowdale",,Group 1/Groupe 1, 0,172,4,34,70,17,0,15,312,509
35115,"Willowdale/Willowdale",,Group 2/Groupe 2, 4,649,17,139,463,53,1,25,1351,
