Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Larry Bagnell,Justin Lemphers,Lenore Morris,Jonas Jacot Smith,Joseph Zelezny,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
60001,"Yukon/Yukon"," 1","Old Crow",40,8,4,5,1,0,58,182
60001,"Yukon/Yukon"," 2A","Dawson",73,79,37,52,3,3,247,565
60001,"Yukon/Yukon"," 2B","Dawson",70,63,33,61,7,2,236,596
60001,"Yukon/Yukon"," 2C","Dawson",70,83,40,63,5,1,262,603
60001,"Yukon/Yukon"," 3","Beaver Creek",12,5,2,4,2,0,25,87
60001,"Yukon/Yukon"," 4","Mayo",74,37,15,44,2,1,173,437
60001,"Yukon/Yukon"," 5","Pelly Crossing",55,37,4,19,1,0,116,282
60001,"Yukon/Yukon"," 6","Burwash Landing",17,12,3,9,1,0,42,132
60001,"Yukon/Yukon"," 7","Carmacks",58,34,14,59,2,0,167,396
60001,"Yukon/Yukon"," 8","Faro",45,23,7,64,7,1,147,320
60001,"Yukon/Yukon"," 9A","Haines Junction",87,45,21,43,2,1,199,417
60001,"Yukon/Yukon"," 9B","Haines Junction",53,38,21,52,2,2,168,346
60001,"Yukon/Yukon"," 10A","Takhini",81,53,31,113,4,0,282,298
60001,"Yukon/Yukon"," 10B","Takhini",95,60,41,121,3,0,320,364
60001,"Yukon/Yukon"," 10C","Takhini",107,69,38,125,10,3,352,346
60001,"Yukon/Yukon"," 11A","Whitehorse",Merged with No./Fusionné avec le n°10A,,,,,,,222
60001,"Yukon/Yukon"," 11B","Whitehorse",Merged with No./Fusionné avec le n°10B,,,,,,,233
60001,"Yukon/Yukon"," 11C","Whitehorse",Merged with No./Fusionné avec le n°10C,,,,,,,247
60001,"Yukon/Yukon"," 12","Ross River",27,21,5,13,9,0,75,300
60001,"Yukon/Yukon"," 13A","Whitehorse",Merged with No./Fusionné avec le n°14A,,,,,,,88
60001,"Yukon/Yukon"," 13B","Whitehorse",Merged with No./Fusionné avec le n°14B,,,,,,,54
60001,"Yukon/Yukon"," 13C","Whitehorse",Merged with No./Fusionné avec le n°14C,,,,,,,78
60001,"Yukon/Yukon"," 13D","Whitehorse",Merged with No./Fusionné avec le n°14D,,,,,,,92
60001,"Yukon/Yukon"," 13E","Whitehorse",Merged with No./Fusionné avec le n°14E,,,,,,,79
60001,"Yukon/Yukon"," 14A","Whitehorse",57,54,24,76,3,3,217,119
60001,"Yukon/Yukon"," 14B","Whitehorse",55,39,17,59,0,1,171,104
60001,"Yukon/Yukon"," 14C","Whitehorse",69,64,20,88,8,0,249,129
60001,"Yukon/Yukon"," 14D","Whitehorse",77,63,21,82,3,2,248,144
60001,"Yukon/Yukon"," 14E","Whitehorse",68,58,18,79,2,2,227,132
60001,"Yukon/Yukon"," 15A","Whitehorse",Merged with No./Fusionné avec le n°14A,,,,,,,114
