Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steven Blaney,Sébastien Bouchard-Théberge,Khuon Chamroeun,Yves Gilbert,Laurence Harvey,Marc Johnston,André Voyer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 1","Saint-Vallier",102,55,12,0,45,4,7,2,227,400
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 2","Saint-Vallier",117,55,9,2,33,3,9,1,229,440
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 3","Saint-Michel-de-Bellechasse",66,36,8,0,39,7,14,4,174,374
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 4","Saint-Michel-de-Bellechasse",80,36,11,1,31,0,13,2,174,378
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 5","Saint-Michel-de-Bellechasse",94,38,15,0,29,1,3,1,181,373
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 6","Saint-Michel-de-Bellechasse",108,23,4,0,21,5,9,0,170,321
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 7","Saint-Raphaël",101,21,2,0,18,0,4,2,148,311
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 8","Saint-Raphaël",72,29,6,0,20,7,9,3,146,342
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 9","Saint-Raphaël",96,32,2,0,21,1,2,1,155,328
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 10","Saint-Raphaël",69,17,4,0,16,6,3,0,115,263
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 11","Saint-Raphaël",90,27,1,1,14,3,8,4,148,305
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 12","Saint-Raphaël",104,22,8,0,18,2,3,3,160,303
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 13","Armagh",98,29,8,0,17,3,6,4,165,288
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 14","Armagh",120,31,6,0,23,3,1,0,184,289
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 15","Armagh",115,32,6,2,22,10,0,1,188,302
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 16","Armagh",121,34,9,0,14,8,3,3,192,292
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 17","La Durantaye",90,37,6,0,23,2,5,4,167,279
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 18","La Durantaye",122,33,0,12,18,2,3,3,193,328
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 19","Beaumont",112,48,8,0,37,3,3,2,213,356
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 20","Beaumont",93,33,4,1,22,9,9,2,173,332
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 21","Beaumont",70,55,9,0,38,3,9,2,186,340
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 22","Beaumont",95,28,11,3,24,4,5,1,171,294
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 23","Beaumont",132,32,10,1,25,2,3,3,208,335
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 24","Beaumont",172,52,21,0,27,5,5,3,285,279
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 25A","Beaumont",Merged with No./Fusionné avec le n°24,,,,,,,,,207
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 25B","Beaumont",Merged with No./Fusionné avec le n°30,,,,,,,,,233
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 26","Lévis",115,72,11,2,50,9,21,5,285,552
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 27","Lévis",52,48,8,0,30,4,3,7,152,389
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 28","Lévis",131,45,10,1,35,4,4,0,230,425
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 29","Lévis",62,62,19,0,35,3,15,5,201,458
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 30","Lévis",101,62,16,2,31,2,13,11,238,331
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 31A","Lévis",49,41,12,0,29,4,12,2,149,376
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 31B","Lévis",Merged with No./Fusionné avec le n°503,,,,,,,,,29
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 32","Saint-Philémon",105,39,4,0,16,0,3,0,167,314
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 33","Saint-Philémon",111,27,0,0,23,2,1,3,167,287
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 34","Lévis",53,41,14,1,24,4,9,1,147,427
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 35A","Lévis",48,37,19,0,14,2,6,4,130,391
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 35B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,23
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 36","Lévis",39,47,14,0,12,2,6,2,122,431
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 37","Lévis",48,39,9,0,26,1,3,1,127,411
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 38","Lévis",33,22,16,0,22,2,5,1,101,325
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 39","Lévis",32,38,17,0,22,5,7,7,128,451
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 40","Lévis",133,58,13,0,24,3,6,1,238,525
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 41","Lévis",57,24,11,0,24,1,5,1,123,313
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 42","Lévis",77,50,12,0,47,2,16,0,204,439
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 43","Lévis",78,62,14,0,42,4,8,3,211,532
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 44","Lévis",85,59,10,0,31,4,4,2,195,393
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 45","Lévis",63,58,21,0,61,1,10,0,214,424
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 46","Lévis",31,64,14,0,30,3,10,0,152,315
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 47","Lévis",73,43,19,0,36,2,10,5,188,389
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 48","Lévis",77,47,18,0,26,8,7,0,183,381
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 49","Lévis",80,34,4,0,22,0,1,6,147,348
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 50","Lévis",66,46,23,2,34,4,6,4,185,426
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 51","Lévis",54,40,15,0,35,6,6,1,157,385
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 52","Lévis",65,68,14,0,41,3,12,2,205,447
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 53","Lévis",46,52,11,0,37,3,7,2,158,320
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 54A","Lévis",102,63,26,0,56,4,11,0,262,535
24010,"Bellechasse--Les Etchemins--Lévis/Bellechasse--Les Etchemins--Lévis"," 54B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506,,,,,,,,,39
