Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alex Bracci,Noel Joe,Scott Simms,Byron White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 1","Tilting",19,4,66,2,5,96,163
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 2","Joe Batt's Arm",13,17,83,4,13,130,291
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 3","Joe Batt's Arm-Barr'd Islands-Shoal Bay",18,11,84,6,5,124,264
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 4","Fogo",19,20,64,4,0,107,285
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 5","Fogo",14,19,58,4,0,95,216
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 6","Seldom",14,13,101,3,0,131,324
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 7","Island Harbour--Deep Bay",14,3,49,1,2,69,173
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 8","Durrell",48,12,78,12,10,160,340
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 9","Twillingate",55,20,79,4,19,177,391
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 10","Twillingate",56,13,83,14,0,166,380
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 11","Twillingate",38,15,112,12,4,181,416
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 12","Twillingate--Little Harbour",51,22,96,10,8,187,496
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 13","Woodstock",126,13,32,3,0,174,327
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 14","Change Islands",11,6,72,5,0,94,186
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 15","Herring Neck",37,10,45,0,2,94,287
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 16","Stag Harbour",11,3,33,1,5,53,117
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 17","Pikes Arm",35,8,44,10,3,100,182
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 18","Valley Pond",20,4,63,3,2,92,175
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 19","Crow Head",14,5,52,7,1,79,137
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 20","Fleur de Lys",39,13,70,8,1,131,218
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 21","Shoe Cove",30,3,37,1,3,74,126
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 22","La Scie",49,2,31,4,6,92,219
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 23","La Scie",56,6,53,2,12,129,277
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 24","La Scie",26,4,51,1,0,82,178
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 25","Hillgrade",41,4,20,2,3,70,148
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 26","Stoneville--Port Albert",80,5,36,3,0,124,293
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 27","Fairbank",27,6,26,2,0,61,113
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 28","Virgin Arm",131,10,69,14,4,228,513
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 29","Horwood",36,3,42,4,0,85,221
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 30","Moreton's Harbour",32,8,40,1,2,83,168
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 31","Brent's Cove",52,4,35,4,4,99,274
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 32","Coachman's Cove",19,2,26,0,4,51,93
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 33","Summerford",62,7,38,6,2,115,302
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 34","Summerford",65,5,32,3,0,105,231
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 35","Summerford",49,9,42,1,1,102,225
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 36","Cottlesville",41,3,45,15,1,105,217
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 37","Boyd's Cove",20,6,59,6,4,95,162
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 38","Wild Cove",20,1,7,0,0,28,44
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 39","Little Burnt Bay",39,9,50,2,0,100,221
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 40","Beaumont",21,3,44,3,0,71,161
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 41","Ming's Bight",84,10,45,5,0,144,271
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 42","Cottrell's Cove",15,7,51,0,1,74,146
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 43","Nippers Harbour",11,1,13,0,0,25,72
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 44","Gander",59,11,44,3,0,117,385
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 45","Comfort Cove-Newstead",35,17,43,84,8,187,356
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 46","Baie Verte",65,15,39,7,0,126,333
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 47","Baie Verte",85,21,47,4,0,157,279
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 48A","Baie Verte",99,24,81,7,1,212,380
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 48B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,47
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 49","Victoria Cove",71,12,102,6,9,200,430
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 50","Clarke's Head",39,8,39,2,3,91,158
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 51","Birchy Bay",111,16,76,26,4,233,479
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 52","Seal Cove",57,5,51,3,5,121,283
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 53","Burlington",147,11,22,2,5,187,382
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 54","Baytona",71,11,37,6,6,131,240
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 55","Little Bay Islands",3,0,28,1,0,32,72
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 56","Little Bay",29,4,38,3,2,76,151
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 57","Embree",77,11,31,8,4,131,275
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 58","Embree",68,6,38,3,5,120,267
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 59","Leading Tickles",56,9,115,4,14,198,316
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 60","Brighton",54,4,24,5,0,87,143
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 61","Campbellton",43,16,51,18,7,135,278
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 62","Campbellton--Loon Bay",69,22,65,34,6,196,364
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 63","Stanhope",89,8,34,3,4,138,217
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 64A","Lewisporte",64,11,53,18,0,146,319
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 64B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,25
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 65","Lewisporte",46,15,42,7,1,111,310
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 66","Lewisporte",42,8,53,6,0,109,307
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 67","Lewisporte",44,8,48,13,0,113,256
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 68","Beaumont",101,10,44,6,12,173,338
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 69","Triton",175,16,34,4,6,235,448
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 70","Little Bay",69,9,52,8,0,138,279
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 71","Middle Arm",128,8,27,6,2,171,380
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 72","Pilley's Island",79,16,44,6,0,145,246
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 73","Lewisporte",87,22,88,14,6,217,457
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 74","Lewisporte",47,12,49,9,20,137,325
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 75","Lewisporte",88,22,92,11,5,218,474
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 76","Lewisporte",82,15,86,17,6,206,385
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 77","Port Anson",92,4,22,4,3,125,225
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 78","Brown's Arm--Porterville",109,20,61,8,5,203,341
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 79","Point of Bay",35,4,61,4,4,108,234
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 80","Gander",97,46,155,6,0,304,715
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 81","Gander",44,17,99,6,0,166,370
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 82","Gander",50,31,110,19,0,210,468
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 83","Gander",38,22,105,4,0,169,305
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 84","Gander",95,54,123,17,1,290,603
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 85","Gander",47,30,86,4,4,171,426
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 86","Gander",34,31,93,4,1,163,369
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 87","Gander",28,27,80,7,4,146,345
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 88","Gander",47,25,65,5,0,142,335
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 89","Gander",33,22,74,4,0,133,344
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 90","Gander",32,21,68,3,5,129,366
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 91","Gander",38,27,82,6,3,156,411
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 92","Benton",46,8,19,2,1,76,155
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 93","Westport",75,8,16,5,3,107,191
