Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nahed AlShawa,Luc Bertrand,Claude Debellefeuille,Marc Faubert,Joan Gottman,Cynthia Larivière,Alain Savard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24071,"Salaberry--Suroît/Salaberry--Suroît"," 24","Beauharnois",8,1,77,26,15,20,2,4,153,372
24071,"Salaberry--Suroît/Salaberry--Suroît"," 25","Beauharnois",6,4,85,25,10,8,4,6,148,382
24071,"Salaberry--Suroît/Salaberry--Suroît"," 26","Beauharnois",7,1,103,31,10,7,2,3,164,353
24071,"Salaberry--Suroît/Salaberry--Suroît"," 27","Beauharnois",6,0,103,49,16,10,2,1,187,393
24071,"Salaberry--Suroît/Salaberry--Suroît"," 28","Beauharnois",7,0,120,30,13,25,0,4,199,394
24071,"Salaberry--Suroît/Salaberry--Suroît"," 29","Beauharnois",3,1,120,30,17,10,2,5,188,400
24071,"Salaberry--Suroît/Salaberry--Suroît"," 30","Beauharnois",6,0,120,54,15,22,4,8,229,460
24071,"Salaberry--Suroît/Salaberry--Suroît"," 31","Saint-Clet",2,1,97,40,19,24,2,6,191,305
24071,"Salaberry--Suroît/Salaberry--Suroît"," 32","Saint-Clet",8,1,127,79,12,31,1,8,267,390
24071,"Salaberry--Suroît/Salaberry--Suroît"," 33","Saint-Clet",6,0,82,57,15,30,2,7,199,316
24071,"Salaberry--Suroît/Salaberry--Suroît"," 34","Saint-Clet",16,5,108,49,20,34,2,8,242,390
24071,"Salaberry--Suroît/Salaberry--Suroît"," 35","Sainte-Justine-de-Newton",7,2,102,67,20,25,7,10,240,402
24071,"Salaberry--Suroît/Salaberry--Suroît"," 36","Sainte-Justine-de-Newton",8,2,106,50,27,32,2,4,231,398
24071,"Salaberry--Suroît/Salaberry--Suroît"," 37","Salaberry-de-Valleyfield",5,0,101,40,12,15,0,4,177,421
24071,"Salaberry--Suroît/Salaberry--Suroît"," 38","Salaberry-de-Valleyfield",7,1,115,68,17,10,2,1,221,434
24071,"Salaberry--Suroît/Salaberry--Suroît"," 39","Salaberry-de-Valleyfield",3,1,61,39,10,8,3,1,126,388
24071,"Salaberry--Suroît/Salaberry--Suroît"," 40","Salaberry-de-Valleyfield",7,1,59,34,19,17,3,3,143,366
24071,"Salaberry--Suroît/Salaberry--Suroît"," 41","Salaberry-de-Valleyfield",12,2,75,28,11,10,0,11,149,399
24071,"Salaberry--Suroît/Salaberry--Suroît"," 42","Salaberry-de-Valleyfield",3,0,95,50,23,8,0,3,182,452
