Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Simon-Pierre Beaudet,Alicia Bédard,Antoine Bujold,Alupa Clarke,Dalila Elhak,Claude Moreau,Julie Vignola,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24008,"Beauport--Limoilou/Beauport--Limoilou"," 1","Québec",18,0,42,66,6,0,55,1,188,479
24008,"Beauport--Limoilou/Beauport--Limoilou"," 2","Québec",27,8,34,87,7,0,46,5,214,504
24008,"Beauport--Limoilou/Beauport--Limoilou"," 3","Québec",17,3,35,78,12,0,52,4,201,502
24008,"Beauport--Limoilou/Beauport--Limoilou"," 4","Québec",29,9,35,61,2,2,62,4,204,445
24008,"Beauport--Limoilou/Beauport--Limoilou"," 5","Québec",25,4,39,70,5,0,61,3,207,468
24008,"Beauport--Limoilou/Beauport--Limoilou"," 6","Québec",30,12,45,84,6,0,63,13,253,497
24008,"Beauport--Limoilou/Beauport--Limoilou"," 7","Québec",14,15,42,55,5,0,45,4,180,444
24008,"Beauport--Limoilou/Beauport--Limoilou"," 8","Québec",13,2,51,90,6,0,63,7,232,448
24008,"Beauport--Limoilou/Beauport--Limoilou"," 9","Québec",14,4,35,72,8,0,46,5,184,450
24008,"Beauport--Limoilou/Beauport--Limoilou"," 10","Québec",15,4,37,64,10,0,42,1,173,406
24008,"Beauport--Limoilou/Beauport--Limoilou"," 11","Québec",24,5,51,96,6,0,69,6,257,494
24008,"Beauport--Limoilou/Beauport--Limoilou"," 12","Québec",8,3,32,45,7,0,66,1,162,410
24008,"Beauport--Limoilou/Beauport--Limoilou"," 13","Québec",9,6,47,55,4,1,54,3,179,379
24008,"Beauport--Limoilou/Beauport--Limoilou"," 14","Québec",17,7,58,88,9,1,68,4,252,555
24008,"Beauport--Limoilou/Beauport--Limoilou"," 15","Québec",22,5,67,94,10,0,64,0,262,464
24008,"Beauport--Limoilou/Beauport--Limoilou"," 16","Québec",13,5,71,116,8,0,55,3,271,507
24008,"Beauport--Limoilou/Beauport--Limoilou"," 17","Québec",16,1,41,53,6,0,64,7,188,393
24008,"Beauport--Limoilou/Beauport--Limoilou"," 18","Québec",11,4,52,69,3,0,45,3,187,432
24008,"Beauport--Limoilou/Beauport--Limoilou"," 19","Québec",22,10,47,66,9,0,49,5,208,526
24008,"Beauport--Limoilou/Beauport--Limoilou"," 20","Québec",21,11,34,61,4,0,64,6,201,384
24008,"Beauport--Limoilou/Beauport--Limoilou"," 21","Québec",14,5,67,78,10,0,64,8,246,421
24008,"Beauport--Limoilou/Beauport--Limoilou"," 22","Québec",24,8,48,93,6,3,63,4,249,486
24008,"Beauport--Limoilou/Beauport--Limoilou"," 23","Québec",17,3,55,78,3,0,73,7,236,401
24008,"Beauport--Limoilou/Beauport--Limoilou"," 24","Québec",18,5,51,60,5,1,49,2,191,417
24008,"Beauport--Limoilou/Beauport--Limoilou"," 25","Québec",15,3,36,45,9,0,33,5,146,399
24008,"Beauport--Limoilou/Beauport--Limoilou"," 26","Québec",13,2,39,58,8,0,64,1,185,479
24008,"Beauport--Limoilou/Beauport--Limoilou"," 27","Québec",28,10,39,66,4,1,49,6,203,410
24008,"Beauport--Limoilou/Beauport--Limoilou"," 28","Québec",10,1,47,65,7,0,59,4,193,501
24008,"Beauport--Limoilou/Beauport--Limoilou"," 29","Québec",15,6,36,55,2,1,55,3,173,486
24008,"Beauport--Limoilou/Beauport--Limoilou"," 30","Québec",15,8,44,54,12,0,49,6,188,459
24008,"Beauport--Limoilou/Beauport--Limoilou"," 31","Québec",24,6,47,81,8,0,45,8,219,452
24008,"Beauport--Limoilou/Beauport--Limoilou"," 32","Québec",22,2,44,98,4,0,53,4,227,549
24008,"Beauport--Limoilou/Beauport--Limoilou"," 33","Québec",24,2,54,84,2,0,52,4,222,473
24008,"Beauport--Limoilou/Beauport--Limoilou"," 34","Québec",23,3,56,79,5,0,61,8,235,550
24008,"Beauport--Limoilou/Beauport--Limoilou"," 35","Québec",28,3,34,95,5,0,60,5,230,457
24008,"Beauport--Limoilou/Beauport--Limoilou"," 36","Québec",14,2,27,76,7,1,49,0,176,372
