Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie-Louise Beauchamp,Nacera Beddad,Fayçal EL-Khoury,Sari Madi,Noémia Onofre De Lima,Tom Pentefountas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24040,"Laval--Les Îles/Laval--Les Îles"," 1","Laval",6,83,61,8,24,21,2,205,374
24040,"Laval--Les Îles/Laval--Les Îles"," 2","Laval",4,76,70,17,23,20,4,214,419
24040,"Laval--Les Îles/Laval--Les Îles"," 3","Laval",3,38,105,10,24,17,4,201,389
24040,"Laval--Les Îles/Laval--Les Îles"," 4","Laval",1,50,123,10,24,17,5,230,411
24040,"Laval--Les Îles/Laval--Les Îles"," 5","Laval",6,70,130,21,42,26,1,296,564
24040,"Laval--Les Îles/Laval--Les Îles"," 6","Laval",3,31,95,10,22,24,5,190,391
24040,"Laval--Les Îles/Laval--Les Îles"," 7","Laval",3,76,104,9,27,28,4,251,495
24040,"Laval--Les Îles/Laval--Les Îles"," 8","Laval",13,119,47,6,16,38,2,241,589
24040,"Laval--Les Îles/Laval--Les Îles"," 9","Laval",1,32,128,7,50,37,3,258,521
24040,"Laval--Les Îles/Laval--Les Îles"," 10","Laval",1,31,181,13,25,40,2,293,554
24040,"Laval--Les Îles/Laval--Les Îles"," 11","Laval",7,74,46,11,23,21,6,188,317
24040,"Laval--Les Îles/Laval--Les Îles"," 12","Laval",3,46,129,8,22,34,5,247,470
24040,"Laval--Les Îles/Laval--Les Îles"," 13","Laval",10,75,113,8,23,18,3,250,466
24040,"Laval--Les Îles/Laval--Les Îles"," 14","Laval",3,35,116,11,14,52,3,234,486
24040,"Laval--Les Îles/Laval--Les Îles"," 15","Laval",6,65,55,12,8,13,2,161,371
24040,"Laval--Les Îles/Laval--Les Îles"," 16","Laval",0,46,87,8,26,20,2,189,425
24040,"Laval--Les Îles/Laval--Les Îles"," 17","Laval",4,60,93,10,19,23,1,210,435
24040,"Laval--Les Îles/Laval--Les Îles"," 18","Laval",4,40,96,5,17,22,2,186,470
24040,"Laval--Les Îles/Laval--Les Îles"," 19","Laval",4,27,105,11,11,33,3,194,492
24040,"Laval--Les Îles/Laval--Les Îles"," 20","Laval",4,11,109,7,13,56,6,206,408
24040,"Laval--Les Îles/Laval--Les Îles"," 21A","Laval",2,18,143,9,26,62,6,266,562
24040,"Laval--Les Îles/Laval--Les Îles"," 21B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,,151
24040,"Laval--Les Îles/Laval--Les Îles"," 22","Laval",3,4,132,3,16,67,5,230,400
24040,"Laval--Les Îles/Laval--Les Îles"," 23","Laval",3,7,112,4,21,52,7,206,379
24040,"Laval--Les Îles/Laval--Les Îles"," 24","Laval",2,16,113,2,15,26,4,178,397
24040,"Laval--Les Îles/Laval--Les Îles"," 25","Laval",2,9,122,1,15,40,4,193,355
24040,"Laval--Les Îles/Laval--Les Îles"," 26","Laval",3,9,108,12,20,70,0,222,436
24040,"Laval--Les Îles/Laval--Les Îles"," 27","Laval",4,6,113,6,21,45,5,200,446
24040,"Laval--Les Îles/Laval--Les Îles"," 28","Laval",1,6,133,2,10,42,9,203,367
24040,"Laval--Les Îles/Laval--Les Îles"," 29","Laval",4,3,88,5,15,60,2,177,386
24040,"Laval--Les Îles/Laval--Les Îles"," 30","Laval",2,72,87,10,21,16,3,211,373
