Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Cormier,Robert Kryszko,Martine Savoie,Daniel Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13001,"Acadie--Bathurst/Acadie--Bathurst"," 1","Miscou Plains",50,12,70,18,2,152,291
13001,"Acadie--Bathurst/Acadie--Bathurst"," 2","Miscou Centre",35,14,36,19,2,106,204
13001,"Acadie--Bathurst/Acadie--Bathurst"," 3","Pigeon Hill",103,10,94,11,12,230,362
13001,"Acadie--Bathurst/Acadie--Bathurst"," 4","Coteau Road",80,15,76,19,4,194,392
13001,"Acadie--Bathurst/Acadie--Bathurst"," 5","Petite-Rivière-de-l'Ile",64,8,49,17,11,149,263
13001,"Acadie--Bathurst/Acadie--Bathurst"," 6","Petite-Rivière-de-l'Ile",102,14,65,26,7,214,369
13001,"Acadie--Bathurst/Acadie--Bathurst"," 7","Sainte-Cécile",75,11,47,11,5,149,281
13001,"Acadie--Bathurst/Acadie--Bathurst"," 8","Petite-Lamèque",53,9,36,14,5,117,268
13001,"Acadie--Bathurst/Acadie--Bathurst"," 9","Cap-Bateau",99,14,50,17,9,189,327
13001,"Acadie--Bathurst/Acadie--Bathurst"," 10","Cap-Bateau",77,18,81,28,6,210,384
13001,"Acadie--Bathurst/Acadie--Bathurst"," 11","Sainte-Marie-Saint-Raphaël",77,4,35,12,9,137,285
13001,"Acadie--Bathurst/Acadie--Bathurst"," 12","Lamèque",101,17,87,21,5,231,435
13001,"Acadie--Bathurst/Acadie--Bathurst"," 13","Lamèque",64,11,62,10,5,152,342
13001,"Acadie--Bathurst/Acadie--Bathurst"," 14","Pointe-Alexandre",75,2,39,27,5,148,272
13001,"Acadie--Bathurst/Acadie--Bathurst"," 15","Lamèque",60,5,39,10,7,121,278
13001,"Acadie--Bathurst/Acadie--Bathurst"," 16","Sainte-Marie-Saint-Raphaël",77,4,42,18,3,144,247
13001,"Acadie--Bathurst/Acadie--Bathurst"," 17","Pokesudie",85,17,26,30,12,170,311
13001,"Acadie--Bathurst/Acadie--Bathurst"," 18","Bas-Caraquet",107,10,31,29,2,179,406
13001,"Acadie--Bathurst/Acadie--Bathurst"," 19","Bas-Caraquet",93,11,30,24,1,159,368
13001,"Acadie--Bathurst/Acadie--Bathurst"," 20","Bas-Caraquet",75,9,29,20,0,133,313
13001,"Acadie--Bathurst/Acadie--Bathurst"," 21","Chiasson",85,13,44,23,7,172,396
13001,"Acadie--Bathurst/Acadie--Bathurst"," 22","Haut-Shippegan",75,6,44,22,0,147,346
13001,"Acadie--Bathurst/Acadie--Bathurst"," 23","Shippegan",40,12,25,17,1,95,250
13001,"Acadie--Bathurst/Acadie--Bathurst"," 24","Shippagan",76,9,41,17,4,147,343
13001,"Acadie--Bathurst/Acadie--Bathurst"," 25","Shippagan",100,9,22,20,3,154,402
13001,"Acadie--Bathurst/Acadie--Bathurst"," 26","Shippagan",77,7,48,22,10,164,342
13001,"Acadie--Bathurst/Acadie--Bathurst"," 27","Haut-Shippegan",95,9,43,17,4,168,364
13001,"Acadie--Bathurst/Acadie--Bathurst"," 28","Shippagan",80,7,32,16,0,135,341
13001,"Acadie--Bathurst/Acadie--Bathurst"," 29","Caraquet",81,4,18,14,0,117,234
13001,"Acadie--Bathurst/Acadie--Bathurst"," 30","Caraquet",111,12,12,39,1,175,387
13001,"Acadie--Bathurst/Acadie--Bathurst"," 31","Caraquet",134,17,26,27,7,211,385
13001,"Acadie--Bathurst/Acadie--Bathurst"," 32","Caraquet",114,15,22,28,3,182,367
13001,"Acadie--Bathurst/Acadie--Bathurst"," 33","Caraquet",155,5,21,20,3,204,415
13001,"Acadie--Bathurst/Acadie--Bathurst"," 34","Maisonnette",112,9,19,20,7,167,239
13001,"Acadie--Bathurst/Acadie--Bathurst"," 35","Maisonnette",70,11,17,30,2,130,228
13001,"Acadie--Bathurst/Acadie--Bathurst"," 36","Le Goulet",102,10,74,20,4,210,364
13001,"Acadie--Bathurst/Acadie--Bathurst"," 37","Shippagan--Pointe-Sauvage",66,9,32,17,6,130,272
13001,"Acadie--Bathurst/Acadie--Bathurst"," 38","Le Goulet",101,4,60,17,7,189,339
13001,"Acadie--Bathurst/Acadie--Bathurst"," 39","Grande Anse",65,3,13,9,2,92,209
13001,"Acadie--Bathurst/Acadie--Bathurst"," 40","Dugas--Anse-Bleu",66,8,11,26,0,111,211
13001,"Acadie--Bathurst/Acadie--Bathurst"," 41","Grande Anse",104,18,30,19,4,175,350
13001,"Acadie--Bathurst/Acadie--Bathurst"," 42","Grande Anse",69,8,15,21,1,114,265
13001,"Acadie--Bathurst/Acadie--Bathurst"," 43","Centre-Saint-Simon",119,11,37,16,5,188,324
13001,"Acadie--Bathurst/Acadie--Bathurst"," 44","Haut-Saint-Simon",98,11,21,23,12,165,268
13001,"Acadie--Bathurst/Acadie--Bathurst"," 45","Caraquet",125,13,20,38,2,198,479
13001,"Acadie--Bathurst/Acadie--Bathurst"," 46","Pointe-Rocheuse",130,12,18,27,1,188,430
13001,"Acadie--Bathurst/Acadie--Bathurst"," 47","Caraquet",72,16,13,20,1,122,254
13001,"Acadie--Bathurst/Acadie--Bathurst"," 48","Sainte-Anne-du-Bocage",71,9,33,13,0,126,322
13001,"Acadie--Bathurst/Acadie--Bathurst"," 49","Caraquet",71,4,21,11,2,109,257
13001,"Acadie--Bathurst/Acadie--Bathurst"," 50","Evangeline",120,16,42,37,6,221,351
13001,"Acadie--Bathurst/Acadie--Bathurst"," 51","Blanchard Settlement",140,20,41,34,2,237,366
13001,"Acadie--Bathurst/Acadie--Bathurst"," 52","Pointe-Verte",61,6,18,16,3,104,219
13001,"Acadie--Bathurst/Acadie--Bathurst"," 53","Pointe-Verte",86,26,13,16,1,142,282
13001,"Acadie--Bathurst/Acadie--Bathurst"," 54","Pointe-Verte",71,11,12,23,5,122,255
13001,"Acadie--Bathurst/Acadie--Bathurst"," 55","Bertrand",100,13,22,39,3,177,292
13001,"Acadie--Bathurst/Acadie--Bathurst"," 56","Bertrand",155,19,32,51,3,260,398
13001,"Acadie--Bathurst/Acadie--Bathurst"," 57","Bertrand",84,18,26,51,2,181,287
13001,"Acadie--Bathurst/Acadie--Bathurst"," 58","Saint-Léolin",88,9,25,25,1,148,295
13001,"Acadie--Bathurst/Acadie--Bathurst"," 59","Saint-Léolin",84,18,23,26,2,153,276
13001,"Acadie--Bathurst/Acadie--Bathurst"," 60","Maltampec",128,16,52,37,3,236,402
13001,"Acadie--Bathurst/Acadie--Bathurst"," 61","Landry",85,21,39,33,9,187,306
13001,"Acadie--Bathurst/Acadie--Bathurst"," 62","Inkerman",85,8,46,11,3,153,315
13001,"Acadie--Bathurst/Acadie--Bathurst"," 63","Four Roads",62,18,48,20,6,154,340
13001,"Acadie--Bathurst/Acadie--Bathurst"," 64","Six Roads",120,11,52,43,3,229,420
13001,"Acadie--Bathurst/Acadie--Bathurst"," 65","Maltampec",91,9,32,23,6,161,290
13001,"Acadie--Bathurst/Acadie--Bathurst"," 66","Petit-Paquetville",99,7,37,19,2,164,360
13001,"Acadie--Bathurst/Acadie--Bathurst"," 67","Burnsville",86,29,29,34,7,185,397
13001,"Acadie--Bathurst/Acadie--Bathurst"," 68","Rang-Saint-Georges",70,17,18,33,4,142,330
13001,"Acadie--Bathurst/Acadie--Bathurst"," 69","Paquetville",78,8,30,19,4,139,282
13001,"Acadie--Bathurst/Acadie--Bathurst"," 70","Rang-Saint-Georges",76,12,23,32,6,149,399
13001,"Acadie--Bathurst/Acadie--Bathurst"," 71","Pokeshaw",46,15,56,17,5,139,222
13001,"Acadie--Bathurst/Acadie--Bathurst"," 72","Sainte-Rose",76,16,32,26,1,151,333
13001,"Acadie--Bathurst/Acadie--Bathurst"," 73","Sainte-Rose",85,12,38,20,1,156,294
13001,"Acadie--Bathurst/Acadie--Bathurst"," 74","Gaspereau",119,33,38,33,8,231,463
13001,"Acadie--Bathurst/Acadie--Bathurst"," 75","Saumarez",137,33,53,52,6,281,500
13001,"Acadie--Bathurst/Acadie--Bathurst"," 76","Pont-Landry",74,9,38,25,3,149,258
13001,"Acadie--Bathurst/Acadie--Bathurst"," 77","Belledune",69,13,56,32,3,173,307
13001,"Acadie--Bathurst/Acadie--Bathurst"," 78","Belledune",35,9,29,13,0,86,250
13001,"Acadie--Bathurst/Acadie--Bathurst"," 79","Notre-Dame-des-Érables",115,25,31,68,5,244,388
13001,"Acadie--Bathurst/Acadie--Bathurst"," 80","Tracadie-Sheila",77,12,42,25,2,158,364
13001,"Acadie--Bathurst/Acadie--Bathurst"," 81","Tracadie-Sheila",77,7,36,19,1,140,364
13001,"Acadie--Bathurst/Acadie--Bathurst"," 82","Gauvreau",97,21,34,40,6,198,423
13001,"Acadie--Bathurst/Acadie--Bathurst"," 83","Tracadie-Sheila",100,5,26,17,4,152,410
13001,"Acadie--Bathurst/Acadie--Bathurst"," 84","Tracadie-Sheila",103,8,27,24,2,164,357
13001,"Acadie--Bathurst/Acadie--Bathurst"," 85","Rivière-à-la-Truite",114,11,26,31,5,187,384
13001,"Acadie--Bathurst/Acadie--Bathurst"," 86","Madran",107,24,36,32,4,203,391
13001,"Acadie--Bathurst/Acadie--Bathurst"," 87","Tracadie-Sheila",61,10,42,12,2,127,367
13001,"Acadie--Bathurst/Acadie--Bathurst"," 88","Tracadie-Sheila",65,10,32,19,4,130,320
13001,"Acadie--Bathurst/Acadie--Bathurst"," 89","Tracadie-Sheila",79,12,38,23,7,159,368
13001,"Acadie--Bathurst/Acadie--Bathurst"," 90","Tracadie-Sheila",95,16,36,23,3,173,410
13001,"Acadie--Bathurst/Acadie--Bathurst"," 91","Petit-Rocher",79,10,16,19,0,124,277
13001,"Acadie--Bathurst/Acadie--Bathurst"," 92","Petit-Rocher-Sud",109,15,18,28,1,171,334
13001,"Acadie--Bathurst/Acadie--Bathurst"," 93","Tremblay",68,18,28,24,2,140,279
13001,"Acadie--Bathurst/Acadie--Bathurst"," 94","Val-Doucet",33,9,17,29,2,90,289
13001,"Acadie--Bathurst/Acadie--Bathurst"," 95","Val-Doucet",54,5,34,36,5,134,248
13001,"Acadie--Bathurst/Acadie--Bathurst"," 96","Nigadoo",125,18,39,27,4,213,411
13001,"Acadie--Bathurst/Acadie--Bathurst"," 97","Nigadoo",131,24,44,36,3,238,419
13001,"Acadie--Bathurst/Acadie--Bathurst"," 98","Duguayville",67,11,19,20,3,120,289
13001,"Acadie--Bathurst/Acadie--Bathurst"," 99","Hacheyville",68,6,30,19,6,129,300
13001,"Acadie--Bathurst/Acadie--Bathurst"," 100","Saint-Isidore",65,8,25,27,0,125,296
13001,"Acadie--Bathurst/Acadie--Bathurst"," 101","Hacheyville",85,14,41,29,4,173,374
13001,"Acadie--Bathurst/Acadie--Bathurst"," 102","Tilley Road--Bois Gagnon",73,12,30,22,6,143,302
13001,"Acadie--Bathurst/Acadie--Bathurst"," 103","Tilley Road",86,11,39,35,6,177,332
13001,"Acadie--Bathurst/Acadie--Bathurst"," 104","Saumarez",87,11,31,31,3,163,375
13001,"Acadie--Bathurst/Acadie--Bathurst"," 105","Saumarez",135,15,54,33,9,246,391
13001,"Acadie--Bathurst/Acadie--Bathurst"," 106","Petit-Rocher-Nord",79,19,28,21,0,147,336
13001,"Acadie--Bathurst/Acadie--Bathurst"," 107","Petit-Rocher",83,12,22,17,2,136,307
13001,"Acadie--Bathurst/Acadie--Bathurst"," 108","Petit-Rocher",82,15,24,22,1,144,303
13001,"Acadie--Bathurst/Acadie--Bathurst"," 109","Petit-Rocher",106,10,26,28,2,172,371
13001,"Acadie--Bathurst/Acadie--Bathurst"," 110","Petit-Rocher",85,14,20,17,2,138,310
13001,"Acadie--Bathurst/Acadie--Bathurst"," 111","Petit-Rocher",123,18,21,36,6,204,405
13001,"Acadie--Bathurst/Acadie--Bathurst"," 112","Laplante",77,7,22,22,2,130,267
13001,"Acadie--Bathurst/Acadie--Bathurst"," 113","Alcida",59,12,19,24,4,118,262
13001,"Acadie--Bathurst/Acadie--Bathurst"," 114","Pointe-à-Boileau",118,17,51,32,3,221,422
13001,"Acadie--Bathurst/Acadie--Bathurst"," 115","Tracadie-Sheila",84,19,39,41,1,184,392
13001,"Acadie--Bathurst/Acadie--Bathurst"," 116","Tracadie-Sheila",160,13,24,30,5,232,478
13001,"Acadie--Bathurst/Acadie--Bathurst"," 117","Salmon Beach",37,17,58,25,2,139,284
13001,"Acadie--Bathurst/Acadie--Bathurst"," 118","Janesville",48,19,66,20,1,154,328
13001,"Acadie--Bathurst/Acadie--Bathurst"," 119","Beresford",101,19,31,24,1,176,410
13001,"Acadie--Bathurst/Acadie--Bathurst"," 120","Beresford",74,13,24,20,0,131,297
13001,"Acadie--Bathurst/Acadie--Bathurst"," 121","Beresford",101,10,29,35,0,175,405
13001,"Acadie--Bathurst/Acadie--Bathurst"," 122","Beresford",87,16,34,17,1,155,378
13001,"Acadie--Bathurst/Acadie--Bathurst"," 123","Beresford",96,13,23,19,0,151,304
13001,"Acadie--Bathurst/Acadie--Bathurst"," 124","Beresford",60,14,35,31,2,142,327
13001,"Acadie--Bathurst/Acadie--Bathurst"," 125","Beresford",94,13,28,16,1,152,349
13001,"Acadie--Bathurst/Acadie--Bathurst"," 126","Beresford",78,18,21,31,0,148,351
13001,"Acadie--Bathurst/Acadie--Bathurst"," 127","Beresford",70,7,19,17,1,114,285
13001,"Acadie--Bathurst/Acadie--Bathurst"," 128","Beresford",95,21,44,29,4,193,427
13001,"Acadie--Bathurst/Acadie--Bathurst"," 129","Haut Sheila",96,14,30,27,9,176,363
13001,"Acadie--Bathurst/Acadie--Bathurst"," 130","Saint-Pons",87,11,38,27,10,173,360
13001,"Acadie--Bathurst/Acadie--Bathurst"," 131","Val-Comeau",134,24,40,25,1,224,376
13001,"Acadie--Bathurst/Acadie--Bathurst"," 132","Tracadie Beach",131,20,39,24,5,219,394
13001,"Acadie--Bathurst/Acadie--Bathurst"," 133","Haut Sheila",90,11,38,20,6,165,379
13001,"Acadie--Bathurst/Acadie--Bathurst"," 134","Leech",78,10,40,16,1,145,311
13001,"Acadie--Bathurst/Acadie--Bathurst"," 135","Leech",51,10,34,12,2,109,199
13001,"Acadie--Bathurst/Acadie--Bathurst"," 136","Jacquet River",20,5,33,13,0,71,238
13001,"Acadie--Bathurst/Acadie--Bathurst"," 137","Belledune",33,6,27,15,0,81,214
13001,"Acadie--Bathurst/Acadie--Bathurst"," 138","Lorne",19,8,45,11,0,83,208
13001,"Acadie--Bathurst/Acadie--Bathurst"," 139","Bathurst",158,16,53,26,0,253,595
13001,"Acadie--Bathurst/Acadie--Bathurst"," 140","Bathurst",107,13,44,35,4,203,473
13001,"Acadie--Bathurst/Acadie--Bathurst"," 141","Bathurst",101,21,49,32,3,206,467
13001,"Acadie--Bathurst/Acadie--Bathurst"," 142A","Bathurst",84,15,39,19,3,160,409
13001,"Acadie--Bathurst/Acadie--Bathurst"," 142B","Mobile poll/Bureau itinérant",34,7,7,7,2,57,24
13001,"Acadie--Bathurst/Acadie--Bathurst"," 143","Bathurst",97,14,30,28,1,170,461
13001,"Acadie--Bathurst/Acadie--Bathurst"," 144","Bathurst",79,8,25,26,0,138,427
13001,"Acadie--Bathurst/Acadie--Bathurst"," 145","Bathurst",53,12,22,10,0,97,422
13001,"Acadie--Bathurst/Acadie--Bathurst"," 146","Bathurst",74,15,37,26,0,152,364
13001,"Acadie--Bathurst/Acadie--Bathurst"," 147","Bathurst",81,8,35,34,2,160,365
13001,"Acadie--Bathurst/Acadie--Bathurst"," 148","Bathurst",56,13,38,18,8,133,411
13001,"Acadie--Bathurst/Acadie--Bathurst"," 149","Bathurst",81,7,37,30,4,159,453
13001,"Acadie--Bathurst/Acadie--Bathurst"," 150","Bathurst",71,14,29,39,1,154,408
13001,"Acadie--Bathurst/Acadie--Bathurst"," 151","Pont-Lafrance",104,18,47,27,5,201,340
13001,"Acadie--Bathurst/Acadie--Bathurst"," 152","Pont-Lafrance",63,15,34,17,3,132,277
13001,"Acadie--Bathurst/Acadie--Bathurst"," 153","Saint-Sauveur",63,20,47,38,5,173,268
13001,"Acadie--Bathurst/Acadie--Bathurst"," 154","Saint-Sauveur",69,21,46,35,7,178,250
13001,"Acadie--Bathurst/Acadie--Bathurst"," 155","Bathurst",59,17,21,18,1,116,323
13001,"Acadie--Bathurst/Acadie--Bathurst"," 156","Bathurst",65,14,20,17,2,118,364
13001,"Acadie--Bathurst/Acadie--Bathurst"," 157","Bathurst",68,14,34,14,2,132,312
13001,"Acadie--Bathurst/Acadie--Bathurst"," 158","North Tetagouche",54,25,45,23,0,147,245
13001,"Acadie--Bathurst/Acadie--Bathurst"," 159","North Tetagouche",78,9,41,34,1,163,246
13001,"Acadie--Bathurst/Acadie--Bathurst"," 160","North Tetagouche",69,14,39,31,2,155,248
13001,"Acadie--Bathurst/Acadie--Bathurst"," 161","Bathurst",41,20,45,27,3,136,313
13001,"Acadie--Bathurst/Acadie--Bathurst"," 162","Bathurst",52,15,51,31,2,151,347
13001,"Acadie--Bathurst/Acadie--Bathurst"," 163","Bathurst",60,18,35,24,2,139,367
13001,"Acadie--Bathurst/Acadie--Bathurst"," 164","Bathurst",74,20,47,28,0,169,461
13001,"Acadie--Bathurst/Acadie--Bathurst"," 165","Bathurst",85,17,45,40,6,193,418
13001,"Acadie--Bathurst/Acadie--Bathurst"," 166","Bathurst",40,23,35,16,2,116,295
13001,"Acadie--Bathurst/Acadie--Bathurst"," 167","Robertville",102,21,40,35,1,199,431
13001,"Acadie--Bathurst/Acadie--Bathurst"," 168","Free Grant",91,28,18,27,2,166,349
13001,"Acadie--Bathurst/Acadie--Bathurst"," 169","Robertville",102,25,38,43,1,209,435
13001,"Acadie--Bathurst/Acadie--Bathurst"," 170","Robertville",95,16,30,29,0,170,403
13001,"Acadie--Bathurst/Acadie--Bathurst"," 171","Robertville",70,24,46,34,3,177,358
13001,"Acadie--Bathurst/Acadie--Bathurst"," 172","Sainte-Louise",64,16,35,27,3,145,275
13001,"Acadie--Bathurst/Acadie--Bathurst"," 173","Sainte-Louise",63,16,15,26,0,120,262
13001,"Acadie--Bathurst/Acadie--Bathurst"," 174","Nicholas Denys",81,28,24,21,2,156,353
13001,"Acadie--Bathurst/Acadie--Bathurst"," 175","Saint-Irénée",113,13,45,37,7,215,336
13001,"Acadie--Bathurst/Acadie--Bathurst"," 176","Saint-Irénée",94,13,38,24,11,180,293
13001,"Acadie--Bathurst/Acadie--Bathurst"," 177","Bathurst",68,12,46,14,3,143,342
13001,"Acadie--Bathurst/Acadie--Bathurst"," 178","Bathurst",36,7,38,27,2,110,346
13001,"Acadie--Bathurst/Acadie--Bathurst"," 179","Bathurst",64,11,41,23,1,140,402
13001,"Acadie--Bathurst/Acadie--Bathurst"," 180","Middle River",47,26,60,27,2,162,316
13001,"Acadie--Bathurst/Acadie--Bathurst"," 181","Middle River",30,34,36,22,0,122,268
13001,"Acadie--Bathurst/Acadie--Bathurst"," 182","Allardville",91,11,67,12,7,188,441
13001,"Acadie--Bathurst/Acadie--Bathurst"," 183","Allardville East",102,29,44,33,0,208,402
13001,"Acadie--Bathurst/Acadie--Bathurst"," 184","Jeanne-Mance",74,29,33,36,7,179,396
13001,"Acadie--Bathurst/Acadie--Bathurst"," 185","South Tetagouche",102,21,42,31,2,198,379
13001,"Acadie--Bathurst/Acadie--Bathurst"," 186","Sainte-Anne",67,10,30,24,1,132,270
13001,"Acadie--Bathurst/Acadie--Bathurst"," 187","Sainte-Anne",78,18,51,25,0,172,359
13001,"Acadie--Bathurst/Acadie--Bathurst"," 188","South Tetagouche",64,15,45,22,2,148,296
13001,"Acadie--Bathurst/Acadie--Bathurst"," 189","South Tetagouche",54,27,34,35,1,151,323
13001,"Acadie--Bathurst/Acadie--Bathurst"," 190","Middle River",47,20,36,12,1,116,303
13001,"Acadie--Bathurst/Acadie--Bathurst"," 191","Papineau",78,35,50,50,7,220,434
13001,"Acadie--Bathurst/Acadie--Bathurst"," 500","Mobile poll/Bureau itinérant",32,1,12,3,5,53,99
13001,"Acadie--Bathurst/Acadie--Bathurst"," 501","Mobile poll/Bureau itinérant",19,1,23,3,3,49,79
13001,"Acadie--Bathurst/Acadie--Bathurst"," 502","Mobile poll/Bureau itinérant",55,4,12,2,2,75,115
