Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tyler Beauchamp,Ronald Brochu,Ernest Chauvet,Guy Desforges,Dane Lloyd,Cass Romyn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 605","Gibbons",11,27,1,48,462,16,1,566,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 606","Gibbons",34,35,4,72,583,18,1,747,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 607","Namao",21,25,1,42,445,13,0,547,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 608","Namao",4,35,0,13,319,9,0,380,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 609","Morinville",24,54,9,65,706,15,2,875,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 610","Spruce Grove",28,58,4,90,1058,16,0,1254,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 611","Stony Plain",19,47,5,51,848,18,0,988,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 612","Stony Plain",25,67,5,83,1051,34,11,1276,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 613","Stony Plain",31,68,4,104,1013,28,6,1254,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 614","Spruce Grove",24,70,5,102,912,17,2,1132,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 615","Spruce Grove",28,79,7,100,995,26,1,1236,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 616","Spruce Grove",10,62,3,100,950,15,5,1145,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 617","Spruce Grove",38,120,9,99,1018,32,11,1327,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 618","Spruce Grove",16,65,2,94,880,37,0,1094,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 619","Edmonton",12,30,2,27,383,6,0,460,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 620","Parkland County",23,50,2,96,1119,19,4,1313,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 621","Edmonton",15,44,4,27,483,22,2,597,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland",,Group 1/Groupe 1, 22,36,3,38,274,23,21,417,135
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland",,Group 2/Groupe 2, 51,134,8,174,1859,76,63,2365,
