Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tyler Beauchamp,Ronald Brochu,Ernest Chauvet,Guy Desforges,Dane Lloyd,Cass Romyn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 118B","Spruce Grove",1,12,1,24,113,7,2,160,328
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 119","Spruce Grove",2,19,1,26,199,2,2,251,484
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 120","Spruce Grove",9,24,3,40,205,9,1,291,566
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 121","Spruce Grove",1,33,0,20,171,3,2,230,432
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 122","Spruce Grove",3,24,1,29,210,9,3,279,553
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 123","Stony Plain",8,26,1,23,146,10,0,214,419
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 124","Stony Plain",2,15,0,17,152,3,1,190,479
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 125","Stony Plain",3,19,0,34,95,5,2,158,376
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 126","Stony Plain",8,11,1,36,151,6,0,213,478
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 127","Spruce Grove",3,30,0,32,212,2,0,279,496
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 128","Spruce Grove",6,18,0,13,210,7,0,254,538
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 129","Acheson",1,25,1,42,192,7,2,270,574
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 130","Spruce Grove",8,27,3,32,220,7,0,297,588
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 131A","Spruce Grove",5,20,0,28,161,6,1,221,126
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 131B","Spruce Grove",Merged with No./Fusionné avec le n°133B,,,,,,,,98
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 132","Spruce Grove",2,16,2,38,170,10,0,238,486
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 133A","Spruce Grove",Merged with No./Fusionné avec le n°131A,,,,,,,,303
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 133B","Spruce Grove",3,14,1,27,145,8,1,199,302
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 134","Spruce Grove",6,30,0,38,173,7,1,255,497
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 135","Spruce Grove",10,10,5,23,156,4,2,210,442
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 136","Spruce Grove",7,25,2,44,177,9,0,264,478
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 137","Stony Plain",12,16,2,23,217,10,2,282,604
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 138","Stony Plain",8,11,3,24,151,5,1,203,513
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 139","Stony Plain",5,14,2,32,166,4,0,223,449
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 140","Stony Plain",4,22,1,16,129,8,3,183,408
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 141","Stony Plain",2,9,1,16,109,6,0,143,404
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 142","Stony Plain",7,17,7,21,179,11,0,242,467
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 143","Stony Plain",5,14,1,22,205,4,1,252,517
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 144","Stony Plain",4,6,1,22,129,2,1,165,330
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 145","Stony Plain",9,12,0,21,153,4,0,199,535
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 146","Stony Plain",4,13,0,15,160,6,1,199,507
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 147","Stony Plain",5,16,0,23,193,11,0,248,563
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 148","Stony Plain",3,6,0,17,138,4,0,168,364
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 149","Stony Plain",5,11,0,28,103,5,1,153,345
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 150","Stony Plain",0,24,0,13,186,5,0,228,504
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 151A","Stony Plain",0,16,0,12,105,7,0,140,319
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 151B","Stony Plain",2,10,0,21,103,3,0,139,333
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 152","Spruce Grove",7,26,0,35,184,6,0,258,604
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 153","Spruce Grove",3,12,1,18,142,4,1,181,400
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 154","Spruce Grove",10,18,1,36,153,11,4,233,489
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 155","Spruce Grove",10,25,0,24,154,7,0,220,455
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 156","Spruce Grove",2,18,3,30,138,1,2,194,417
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 157","Spruce Grove",10,10,1,36,122,9,2,190,502
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 158","Spruce Grove",4,10,1,17,110,9,0,151,394
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 159","Spruce Grove",5,9,3,31,117,4,1,170,514
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 160","Spruce Grove",3,8,2,9,93,4,1,120,467
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 161","Spruce Grove",2,19,1,22,138,7,4,193,444
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 162","Spruce Grove",2,7,1,31,105,2,0,148,354
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 163","Spruce Grove",3,14,0,32,138,6,2,195,406
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 164","Spruce Grove",6,17,2,51,188,10,0,274,587
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 165","Spruce Grove",3,17,0,25,136,5,2,188,500
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 166","Spruce Grove",11,21,2,29,169,15,0,247,507
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 167","Spruce Grove",7,10,0,30,122,5,1,175,413
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 168","Spring Lake",4,15,1,8,168,5,0,201,368
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 169","Spring Lake",11,11,2,26,145,4,1,200,441
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 170","Stony Plain",7,6,0,11,139,4,0,167,337
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 171","Stony Plain",3,10,2,21,133,9,0,178,505
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 172","Stony Plain",6,13,2,24,168,5,1,219,470
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 173","Stony Plain",5,13,0,26,150,4,1,199,439
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 174","Stony Plain",6,16,0,30,194,6,2,254,520
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 175","Stony Plain",14,12,1,22,153,7,0,209,488
