Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ron Broda,David Busch,Elizabeth May,Sabina Singh,Ryan Windsor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 55","Sidney",2,51,86,19,26,4,188,444
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 56","Sidney",3,31,117,30,35,1,217,476
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 57","Sidney",1,43,81,23,36,0,184,480
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 58","Sidney",3,60,131,31,51,1,277,547
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 59","Sidney",2,34,28,7,29,1,101,345
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 60","Ardmore",2,5,40,36,17,0,100,273
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 61","Sidney",6,75,88,13,39,0,221,525
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 62","Sidney",6,64,72,18,39,0,199,504
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 63","Sidney",1,59,73,11,20,1,165,447
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 64","Sidney",7,72,94,35,50,0,258,538
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 65","Saanichton",3,51,78,24,25,1,182,475
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 66","Saanichton",4,59,92,28,28,0,211,490
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 67","Sidney",5,49,87,23,31,4,199,528
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 68","Sidney",1,51,103,38,38,3,234,548
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 69","Sidney",0,21,76,23,21,2,143,401
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 70","Sidney",2,34,108,23,26,1,194,439
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 71","Sidney",2,47,74,8,26,0,157,387
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 72","Sidney",2,43,81,34,44,0,204,437
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 73","Sidney",3,46,90,32,33,0,204,450
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 74","Sidney",8,44,100,26,31,0,209,397
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 75","Sidney",1,42,84,10,41,1,179,434
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 76","Sidney",0,67,108,29,38,1,243,528
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 77","Sidney",2,36,79,17,27,0,161,390
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 78","Sidney",2,41,80,28,28,2,181,436
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 79","Sidney",5,36,115,42,33,0,231,433
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 80","Sidney",3,48,118,29,42,2,242,575
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 81","Sidney",1,50,80,18,48,3,200,500
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 82","Sidney",1,39,89,21,38,3,191,447
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 83","Sidney",4,57,110,32,33,2,238,552
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 84","Saanichton",1,62,92,46,37,0,238,479
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 85","South Saanich 1",0,15,50,92,4,2,163,473
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 86","South Saanich 1",5,27,71,44,19,3,169,442
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 87","South Saanich 1",8,51,124,50,25,1,259,605
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 88","Saanichton",0,35,89,41,39,1,205,443
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 89","Keating",3,56,114,19,27,1,220,474
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 90","Saanichton",5,44,113,35,35,0,232,473
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 91","Saanichton",4,52,85,32,39,0,212,389
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 92","Central Saanich",2,32,91,38,27,2,192,485
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 93","Saanichton",1,32,82,13,28,1,157,376
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 94","Saanichton",2,34,90,40,39,1,206,500
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 95","Saanichton",0,41,84,37,47,0,209,444
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 96","Saanichton",3,49,68,17,20,0,157,412
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 97","East Saanich 2",1,34,51,28,32,1,147,382
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 98","Saanichton",8,53,72,8,38,0,179,495
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 99","East Saanich 2",1,38,42,46,29,0,156,415
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 100","East Saanich 2",3,19,50,40,16,0,128,428
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 101","East Saanich 2",1,29,52,41,30,0,153,437
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 102","Central Saanich",3,36,110,19,46,1,215,486
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 103","Central Saanich",0,36,95,10,36,0,177,430
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 104","Central Saanich",4,41,113,42,40,1,241,503
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 105","Brentwood Bay",3,55,87,24,38,0,207,476
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 106","Keating",3,38,92,20,25,0,178,415
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 107","Central Saanich",4,36,108,38,46,1,233,530
