Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gwyneth Midgley,Austin Mullins,Blake Richards,Nadine Wellwood,Anne Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Banff--Airdrie/Banff--Airdrie"," 612","Bearspaw",35,13,673,13,29,4,767,
48001,"Banff--Airdrie/Banff--Airdrie"," 613","Rocky View",37,17,687,26,24,4,795,
48001,"Banff--Airdrie/Banff--Airdrie"," 614","Airdrie",109,32,1255,45,93,4,1538,
48001,"Banff--Airdrie/Banff--Airdrie"," 615","Airdrie",64,16,889,31,58,7,1065,
48001,"Banff--Airdrie/Banff--Airdrie"," 616","Airdrie",100,33,992,52,87,7,1271,
48001,"Banff--Airdrie/Banff--Airdrie"," 617","Airdrie",51,16,827,44,75,2,1015,
48001,"Banff--Airdrie/Banff--Airdrie"," 618","Airdrie",85,33,933,49,78,0,1178,
48001,"Banff--Airdrie/Banff--Airdrie"," 619","Airdrie",110,22,1137,55,73,3,1400,
48001,"Banff--Airdrie/Banff--Airdrie"," 620","Big Springs",124,19,872,37,75,2,1129,
48001,"Banff--Airdrie/Banff--Airdrie"," 621","Airdrie",78,22,1200,32,77,4,1413,
48001,"Banff--Airdrie/Banff--Airdrie"," 622","Yankee Valley",85,16,852,24,75,3,1055,
48001,"Banff--Airdrie/Banff--Airdrie"," 623","Airdrie",77,20,1029,31,80,3,1240,
48001,"Banff--Airdrie/Banff--Airdrie",,Group 1/Groupe 1, 47,22,68,9,18,11,175,227
48001,"Banff--Airdrie/Banff--Airdrie",,Group 2/Groupe 2, 380,178,3055,132,360,76,4181,
