Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gwyneth Midgley,Austin Mullins,Blake Richards,Nadine Wellwood,Anne Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Banff--Airdrie/Banff--Airdrie"," 163","Airdrie",19,3,155,9,16,0,202,495
48001,"Banff--Airdrie/Banff--Airdrie"," 164","Airdrie",15,4,142,4,23,0,188,380
48001,"Banff--Airdrie/Banff--Airdrie"," 165","Airdrie",33,11,143,5,28,0,220,342
48001,"Banff--Airdrie/Banff--Airdrie"," 166","Airdrie",22,6,168,8,21,0,225,483
48001,"Banff--Airdrie/Banff--Airdrie"," 167","Airdrie",12,4,48,2,8,0,74,235
48001,"Banff--Airdrie/Banff--Airdrie"," 168","Airdrie",13,3,145,1,8,0,170,377
48001,"Banff--Airdrie/Banff--Airdrie"," 169","Rockyview East",2,1,121,2,6,1,133,295
48001,"Banff--Airdrie/Banff--Airdrie"," 170","Airdrie",21,10,132,5,22,1,191,407
48001,"Banff--Airdrie/Banff--Airdrie"," 171","Airdrie",10,4,123,4,23,1,165,335
48001,"Banff--Airdrie/Banff--Airdrie"," 172","Airdrie",10,4,133,12,27,0,186,474
48001,"Banff--Airdrie/Banff--Airdrie"," 173","Airdrie",22,12,179,16,26,2,257,539
48001,"Banff--Airdrie/Banff--Airdrie"," 174","Airdrie",5,1,107,5,18,2,138,333
48001,"Banff--Airdrie/Banff--Airdrie"," 175","Cochrane",27,10,177,3,35,2,254,536
48001,"Banff--Airdrie/Banff--Airdrie"," 176A","Cochrane",17,9,145,9,12,0,192,353
48001,"Banff--Airdrie/Banff--Airdrie"," 176B","Cochrane",10,6,123,3,15,1,158,327
48001,"Banff--Airdrie/Banff--Airdrie"," 176C","Cochrane",23,4,117,8,13,1,166,328
48001,"Banff--Airdrie/Banff--Airdrie"," 177A","Cochrane",21,3,126,4,18,1,173,350
48001,"Banff--Airdrie/Banff--Airdrie"," 177B","Cochrane",15,1,119,3,15,0,153,316
48001,"Banff--Airdrie/Banff--Airdrie"," 177C","Cochrane",10,3,110,9,16,1,149,311
48001,"Banff--Airdrie/Banff--Airdrie"," 178A","Cochrane",9,10,108,3,22,1,153,325
48001,"Banff--Airdrie/Banff--Airdrie"," 178B","Cochrane",20,2,121,10,12,0,165,324
48001,"Banff--Airdrie/Banff--Airdrie"," 179","Cochrane",40,8,245,8,46,1,348,596
48001,"Banff--Airdrie/Banff--Airdrie"," 180","Cochrane",21,7,156,6,45,0,235,444
48001,"Banff--Airdrie/Banff--Airdrie"," 181","Rockyview West",14,3,123,7,11,0,158,351
48001,"Banff--Airdrie/Banff--Airdrie"," 182","Rockyview West",5,3,153,9,14,1,185,386
48001,"Banff--Airdrie/Banff--Airdrie"," 183","Rockyview East",13,1,235,7,11,2,269,511
48001,"Banff--Airdrie/Banff--Airdrie"," 184","Airdrie",4,9,139,11,13,2,178,456
48001,"Banff--Airdrie/Banff--Airdrie"," 185","Airdrie",19,2,176,9,26,0,232,371
48001,"Banff--Airdrie/Banff--Airdrie"," 186","Airdrie",13,2,225,6,27,1,274,604
48001,"Banff--Airdrie/Banff--Airdrie"," 187","Airdrie",7,5,136,10,22,0,180,414
48001,"Banff--Airdrie/Banff--Airdrie"," 188","Airdrie",13,4,145,13,24,0,199,457
48001,"Banff--Airdrie/Banff--Airdrie"," 189","Airdrie",12,6,141,7,22,1,189,441
48001,"Banff--Airdrie/Banff--Airdrie"," 190","Airdrie",7,5,136,11,11,0,170,396
48001,"Banff--Airdrie/Banff--Airdrie"," 191","Airdrie",11,4,110,5,18,1,149,412
48001,"Banff--Airdrie/Banff--Airdrie"," 192","Airdrie",10,1,160,9,17,4,201,421
48001,"Banff--Airdrie/Banff--Airdrie"," 193","Airdrie",14,6,130,8,17,1,176,422
48001,"Banff--Airdrie/Banff--Airdrie"," 194","Airdrie",14,7,103,10,25,0,159,406
48001,"Banff--Airdrie/Banff--Airdrie"," 195","Airdrie",14,7,144,7,17,1,190,416
48001,"Banff--Airdrie/Banff--Airdrie"," 196","Airdrie",17,11,134,9,9,2,182,408
48001,"Banff--Airdrie/Banff--Airdrie"," 197","Airdrie",19,4,153,8,11,0,195,377
48001,"Banff--Airdrie/Banff--Airdrie"," 198","Airdrie",Merged with No./Fusionné avec le n°197,,,,,,,116
48001,"Banff--Airdrie/Banff--Airdrie"," 199","Airdrie",Merged with No./Fusionné avec le n°200,,,,,,,56
48001,"Banff--Airdrie/Banff--Airdrie"," 200","Airdrie",24,7,127,5,16,0,179,396
48001,"Banff--Airdrie/Banff--Airdrie"," 201","Airdrie",17,1,138,4,12,0,172,433
48001,"Banff--Airdrie/Banff--Airdrie"," 202A","Airdrie",22,3,126,5,15,0,171,355
48001,"Banff--Airdrie/Banff--Airdrie"," 202B","Airdrie",17,6,105,5,16,1,150,307
48001,"Banff--Airdrie/Banff--Airdrie"," 203","Airdrie",23,2,141,4,22,0,192,406
48001,"Banff--Airdrie/Banff--Airdrie"," 204","Airdrie",23,3,108,6,20,0,160,343
48001,"Banff--Airdrie/Banff--Airdrie"," 205","Airdrie",16,8,117,5,16,1,163,352
48001,"Banff--Airdrie/Banff--Airdrie"," 206A","Airdrie",31,1,75,3,4,1,115,285
