Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Abra Brynne,Robin Goldsbury,Trev Miller,Rob Morrison,Wayne Stetski,Rick Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59015,"Kootenay--Columbia/Kootenay--Columbia"," 57","Kaslo",26,7,1,36,88,2,0,160,375
59015,"Kootenay--Columbia/Kootenay--Columbia"," 58","Riondel",14,8,1,48,73,1,0,145,226
59015,"Kootenay--Columbia/Kootenay--Columbia"," 59","Balfour",26,19,3,56,77,3,0,184,289
59015,"Kootenay--Columbia/Kootenay--Columbia"," 60","Balfour",28,23,3,63,94,2,0,213,312
59015,"Kootenay--Columbia/Kootenay--Columbia"," 61","Willow Point",27,15,1,54,102,4,1,204,369
59015,"Kootenay--Columbia/Kootenay--Columbia"," 62","Longbeach",37,19,1,71,76,8,2,214,373
59015,"Kootenay--Columbia/Kootenay--Columbia"," 63","Longbeach",13,25,1,57,65,1,0,162,275
59015,"Kootenay--Columbia/Kootenay--Columbia"," 64","Taghum",33,15,0,30,122,5,1,206,341
59015,"Kootenay--Columbia/Kootenay--Columbia"," 65","South Slocan",34,24,0,44,121,1,0,224,357
59015,"Kootenay--Columbia/Kootenay--Columbia"," 66","Taghum",25,13,0,58,103,6,1,206,357
59015,"Kootenay--Columbia/Kootenay--Columbia"," 67","Willow Point",29,16,1,44,89,3,0,182,339
59015,"Kootenay--Columbia/Kootenay--Columbia"," 68","Willow Point",35,23,0,52,131,5,0,246,473
59015,"Kootenay--Columbia/Kootenay--Columbia"," 69","Willow Point",24,16,0,31,62,7,0,140,308
59015,"Kootenay--Columbia/Kootenay--Columbia"," 70","Willow Point",14,17,1,39,68,2,0,141,330
59015,"Kootenay--Columbia/Kootenay--Columbia"," 71","Nelson",23,17,2,38,95,2,0,177,389
59015,"Kootenay--Columbia/Kootenay--Columbia"," 72","Nelson",33,16,0,13,141,4,0,207,431
59015,"Kootenay--Columbia/Kootenay--Columbia"," 73","Nelson",27,8,2,20,121,3,0,181,411
59015,"Kootenay--Columbia/Kootenay--Columbia"," 74","Crawford Bay",25,10,1,32,72,3,1,144,328
59015,"Kootenay--Columbia/Kootenay--Columbia"," 75","Crawford Bay",29,20,2,67,64,6,0,188,334
59015,"Kootenay--Columbia/Kootenay--Columbia"," 76","Nelson",34,31,0,45,134,1,0,245,531
59015,"Kootenay--Columbia/Kootenay--Columbia"," 77","Nelson",34,13,0,26,122,4,0,199,369
59015,"Kootenay--Columbia/Kootenay--Columbia"," 78","Nelson",18,30,1,12,126,2,0,189,371
59015,"Kootenay--Columbia/Kootenay--Columbia"," 79","Nelson",38,24,0,25,121,2,0,210,403
59015,"Kootenay--Columbia/Kootenay--Columbia"," 80","Nelson",31,13,1,35,116,3,0,199,381
59015,"Kootenay--Columbia/Kootenay--Columbia"," 81","Nelson",29,15,1,19,154,4,1,223,409
59015,"Kootenay--Columbia/Kootenay--Columbia"," 82","Nelson",37,15,0,23,122,1,1,199,397
59015,"Kootenay--Columbia/Kootenay--Columbia"," 83","Meadowbrook",23,25,1,46,47,3,0,145,307
59015,"Kootenay--Columbia/Kootenay--Columbia"," 84","Kimberley",18,10,1,67,84,4,0,184,423
59015,"Kootenay--Columbia/Kootenay--Columbia"," 85","Kimberley",19,14,1,62,109,2,2,209,402
59015,"Kootenay--Columbia/Kootenay--Columbia"," 86","Kimberley",16,26,0,76,73,1,0,192,481
59015,"Kootenay--Columbia/Kootenay--Columbia"," 87","Kimberley",22,23,2,42,72,4,0,165,348
59015,"Kootenay--Columbia/Kootenay--Columbia"," 88","Kimberley",23,23,2,66,82,7,3,206,430
59015,"Kootenay--Columbia/Kootenay--Columbia"," 89","Kimberley",20,21,1,67,113,5,0,227,475
59015,"Kootenay--Columbia/Kootenay--Columbia"," 90","Porteous",12,16,0,88,83,5,1,205,473
59015,"Kootenay--Columbia/Kootenay--Columbia"," 91","Kimberley",22,17,1,63,92,7,0,202,441
59015,"Kootenay--Columbia/Kootenay--Columbia"," 92","Kimberley",12,28,2,87,92,4,0,225,451
59015,"Kootenay--Columbia/Kootenay--Columbia"," 93","Kimberley",15,18,2,51,60,7,1,154,391
59015,"Kootenay--Columbia/Kootenay--Columbia"," 94","Porteous",19,11,2,94,40,4,0,170,400
59015,"Kootenay--Columbia/Kootenay--Columbia"," 95","Nelson",25,17,0,54,139,3,1,239,406
59015,"Kootenay--Columbia/Kootenay--Columbia"," 96","Nelson",23,16,1,25,130,3,2,200,377
59015,"Kootenay--Columbia/Kootenay--Columbia"," 97","Nelson",36,5,1,18,119,3,0,182,350
59015,"Kootenay--Columbia/Kootenay--Columbia"," 98","Nelson",29,17,2,42,131,4,0,225,442
59015,"Kootenay--Columbia/Kootenay--Columbia"," 99","Blewett",20,12,2,34,114,9,2,193,376
59015,"Kootenay--Columbia/Kootenay--Columbia"," 100","Blewett",40,21,0,45,136,11,1,254,363
59015,"Kootenay--Columbia/Kootenay--Columbia"," 101","Blewett",45,14,0,40,152,7,1,259,425
59015,"Kootenay--Columbia/Kootenay--Columbia"," 102","Wasa",12,21,0,143,59,3,2,240,345
59015,"Kootenay--Columbia/Kootenay--Columbia"," 103","Wasa",16,16,2,97,35,2,0,168,248
59015,"Kootenay--Columbia/Kootenay--Columbia"," 104","Procter",20,8,1,55,79,2,0,165,253
59015,"Kootenay--Columbia/Kootenay--Columbia"," 105","Procter",32,13,2,36,90,4,1,178,279
59015,"Kootenay--Columbia/Kootenay--Columbia"," 106","Nelson",39,17,0,24,150,5,0,235,424
59015,"Kootenay--Columbia/Kootenay--Columbia"," 107","Nelson",31,14,2,15,172,3,0,237,461
59015,"Kootenay--Columbia/Kootenay--Columbia"," 108","Nelson",38,15,2,19,183,2,1,260,465
59015,"Kootenay--Columbia/Kootenay--Columbia"," 109","Nelson",35,18,0,14,172,4,1,244,453
59015,"Kootenay--Columbia/Kootenay--Columbia"," 110","Nelson",48,17,0,28,154,1,1,249,415
59015,"Kootenay--Columbia/Kootenay--Columbia"," 111","Nelson",31,21,0,21,174,3,1,251,419
59015,"Kootenay--Columbia/Kootenay--Columbia"," 112","Nelson",32,15,2,32,151,2,1,235,381
59015,"Kootenay--Columbia/Kootenay--Columbia"," 113","Nelson",22,15,2,40,146,1,0,226,465
59015,"Kootenay--Columbia/Kootenay--Columbia"," 114","Nelson",37,20,0,42,132,8,0,239,480
59015,"Kootenay--Columbia/Kootenay--Columbia"," 115","Elk Prairie",7,10,2,146,30,5,1,201,308
59015,"Kootenay--Columbia/Kootenay--Columbia"," 116","Hosmer",8,9,1,165,19,8,1,211,488
59015,"Kootenay--Columbia/Kootenay--Columbia"," 117","Sparwood",1,9,1,152,15,8,0,186,409
59015,"Kootenay--Columbia/Kootenay--Columbia"," 118","Sparwood",3,12,0,135,24,4,0,178,407
59015,"Kootenay--Columbia/Kootenay--Columbia"," 119","Sparwood",7,11,1,148,36,3,0,206,463
59015,"Kootenay--Columbia/Kootenay--Columbia"," 120A","Sparwood",6,8,1,90,22,0,3,130,350
59015,"Kootenay--Columbia/Kootenay--Columbia"," 120B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506,,,,,,,,40
59015,"Kootenay--Columbia/Kootenay--Columbia"," 121","Sparwood",12,13,3,130,23,3,1,185,401
59015,"Kootenay--Columbia/Kootenay--Columbia"," 122","Sparwood",5,11,0,171,26,4,1,218,419
59015,"Kootenay--Columbia/Kootenay--Columbia"," 123","Sparwood",3,7,0,110,24,3,1,148,347
59015,"Kootenay--Columbia/Kootenay--Columbia"," 124","Elkford",8,24,5,190,41,11,0,279,415
59015,"Kootenay--Columbia/Kootenay--Columbia"," 125","Elkford",6,15,2,180,46,7,0,256,392
59015,"Kootenay--Columbia/Kootenay--Columbia"," 126","Elkford",12,9,0,194,36,8,0,259,394
59015,"Kootenay--Columbia/Kootenay--Columbia"," 127","Elkford",3,9,1,179,33,12,0,237,391
59015,"Kootenay--Columbia/Kootenay--Columbia"," 128","Ymir",60,11,2,23,128,2,0,226,323
59015,"Kootenay--Columbia/Kootenay--Columbia"," 129","Kimberley",16,15,0,100,59,0,1,191,409
59015,"Kootenay--Columbia/Kootenay--Columbia"," 130","Kimberley",13,7,2,82,43,4,0,151,329
59015,"Kootenay--Columbia/Kootenay--Columbia"," 131","Kimberley",15,11,0,78,52,6,1,163,363
59015,"Kootenay--Columbia/Kootenay--Columbia"," 132","Jim Smith Lake",17,19,0,80,35,2,2,155,338
59015,"Kootenay--Columbia/Kootenay--Columbia"," 133A","Kimberley",9,13,2,78,33,2,0,137,328
59015,"Kootenay--Columbia/Kootenay--Columbia"," 133B","Kimberley",15,18,0,84,45,3,0,165,336
59015,"Kootenay--Columbia/Kootenay--Columbia"," 134","Boswell",20,11,3,96,39,5,0,174,285
59015,"Kootenay--Columbia/Kootenay--Columbia"," 135","Jim Smith Lake",10,7,3,72,42,2,0,136,317
59015,"Kootenay--Columbia/Kootenay--Columbia"," 136","Fortie's Corner",7,7,0,48,30,1,0,93,205
59015,"Kootenay--Columbia/Kootenay--Columbia"," 137","Jim Smith Lake",13,17,2,112,34,2,1,181,357
59015,"Kootenay--Columbia/Kootenay--Columbia"," 138","Cranbrook",10,13,2,73,67,7,0,172,455
59015,"Kootenay--Columbia/Kootenay--Columbia"," 139","Cranbrook",8,12,0,82,35,3,0,140,410
59015,"Kootenay--Columbia/Kootenay--Columbia"," 140","Cranbrook",22,12,1,109,55,7,1,207,466
59015,"Kootenay--Columbia/Kootenay--Columbia"," 141","Cranbrook",8,21,0,114,51,3,0,197,449
59015,"Kootenay--Columbia/Kootenay--Columbia"," 142","Jim Smith Lake",11,8,1,106,41,7,0,174,346
59015,"Kootenay--Columbia/Kootenay--Columbia"," 143","Cranbrook",13,20,1,135,55,3,0,227,489
59015,"Kootenay--Columbia/Kootenay--Columbia"," 144","Silver Creek--Hidden Valley",13,18,0,171,27,4,1,234,424
59015,"Kootenay--Columbia/Kootenay--Columbia"," 145","Wycliffe",6,11,0,87,30,5,0,139,289
59015,"Kootenay--Columbia/Kootenay--Columbia"," 146","Wycliffe",8,13,1,140,38,2,0,202,381
59015,"Kootenay--Columbia/Kootenay--Columbia"," 147","Cranbrook",7,19,0,124,52,3,2,207,498
59015,"Kootenay--Columbia/Kootenay--Columbia"," 148","Cranbrook",15,20,2,166,38,4,1,246,515
59015,"Kootenay--Columbia/Kootenay--Columbia"," 149","Cranbrook",10,19,0,92,33,4,0,158,463
59015,"Kootenay--Columbia/Kootenay--Columbia"," 150","New Lake",5,3,1,102,35,1,0,147,326
59015,"Kootenay--Columbia/Kootenay--Columbia"," 151","Cranbrook",14,11,2,94,35,3,1,160,438
59015,"Kootenay--Columbia/Kootenay--Columbia"," 152","Erie",26,29,3,66,73,4,6,207,427
59015,"Kootenay--Columbia/Kootenay--Columbia"," 153","Salmo",25,22,0,61,56,6,2,172,353
59015,"Kootenay--Columbia/Kootenay--Columbia"," 154","Salmo",36,16,1,55,59,4,0,171,337
59015,"Kootenay--Columbia/Kootenay--Columbia"," 155","Salmo",38,13,1,51,58,5,0,166,353
