Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Abra Brynne,Robin Goldsbury,Trev Miller,Rob Morrison,Wayne Stetski,Rick Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59015,"Kootenay--Columbia/Kootenay--Columbia"," 502","Mobile poll/Bureau itinérant",9,13,3,16,21,2,2,66,103
59015,"Kootenay--Columbia/Kootenay--Columbia"," 503","Mobile poll/Bureau itinérant",5,10,1,11,19,0,0,46,73
59015,"Kootenay--Columbia/Kootenay--Columbia"," 504A","Mobile poll/Bureau itinérant",4,11,1,18,15,1,1,51,125
59015,"Kootenay--Columbia/Kootenay--Columbia"," 504B","Kimberley",Merged with No./Fusionné avec le n°93,,,,,,,,34
59015,"Kootenay--Columbia/Kootenay--Columbia"," 505","Mobile poll/Bureau itinérant",6,24,0,48,22,2,1,103,151
59015,"Kootenay--Columbia/Kootenay--Columbia"," 506","Mobile poll/Bureau itinérant",1,8,1,27,6,3,0,46,105
59015,"Kootenay--Columbia/Kootenay--Columbia"," 507","Mobile poll/Bureau itinérant",6,12,2,45,17,1,2,85,128
59015,"Kootenay--Columbia/Kootenay--Columbia"," 600","Revelstoke",53,111,8,176,407,6,0,761,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 601","Revelstoke",73,116,4,185,359,13,3,753,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 602","Golden",43,57,1,187,163,6,1,458,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 603","Golden",65,70,3,229,278,12,5,662,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 604","Kaslo",86,34,1,145,207,14,2,489,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 605","Invermere",17,34,1,197,99,15,1,364,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 606","Fairmont",29,45,0,245,110,5,2,436,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 607","Fairmont",47,55,3,358,183,13,1,660,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 608","Sparwood",8,23,4,314,58,10,1,418,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 609","Sparwood",16,52,0,537,100,16,2,723,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 610","Kimberley",101,113,9,398,320,26,6,973,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 611","Kimberley",93,104,7,462,373,32,2,1073,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 612","Creston",32,11,0,111,76,2,1,233,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 613","Nelson",86,56,2,104,182,11,1,442,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 614","Blewett",149,70,2,102,467,8,6,804,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 615","Nelson",141,82,1,128,361,9,0,722,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 616","Nelson",45,29,1,58,171,6,0,310,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 617","Salmo",44,32,3,125,99,16,2,321,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 618","Creston",41,35,1,440,94,11,1,623,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 619","Creston",89,93,4,668,230,26,3,1113,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 620","Creston",52,37,3,424,110,16,1,643,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 621","Jim Smith Lake",36,62,1,527,146,14,2,788,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 622","Cranbrook",68,100,9,687,323,29,3,1219,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 623","Cranbrook",55,95,2,669,316,21,6,1164,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 624","Cranbrook",64,109,2,750,277,25,5,1232,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 625","Beaton",41,49,5,575,133,24,5,832,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 626","Fernie",81,112,7,610,398,13,5,1226,
59015,"Kootenay--Columbia/Kootenay--Columbia"," 627","Yahk",16,27,2,294,70,5,0,414,
59015,"Kootenay--Columbia/Kootenay--Columbia",,Group 1/Groupe 1, 15,29,0,15,60,1,1,121,163
59015,"Kootenay--Columbia/Kootenay--Columbia",,Group 2/Groupe 2, 399,194,9,837,994,61,34,2528,
