Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jonathan Arnold,Scot Davidson,Keith Komar,Michael Lotter,Jessa McLean,Cynthia Wesley-Esquimaux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35119,"York--Simcoe/York--Simcoe"," 1","Chippewas of Georgina Island First Nation",1,42,0,0,11,47,1,102,182
35119,"York--Simcoe/York--Simcoe"," 2","Georgina",21,151,7,7,23,44,0,253,581
35119,"York--Simcoe/York--Simcoe"," 3","Georgina",19,105,7,4,21,43,1,200,510
35119,"York--Simcoe/York--Simcoe"," 4","Georgina",22,168,5,4,32,41,0,272,534
35119,"York--Simcoe/York--Simcoe"," 5","Georgina",18,178,4,2,42,57,2,303,576
35119,"York--Simcoe/York--Simcoe"," 6","Georgina",19,166,2,7,38,37,1,270,512
35119,"York--Simcoe/York--Simcoe"," 7","Georgina",41,133,3,7,27,44,2,257,524
35119,"York--Simcoe/York--Simcoe"," 8","Georgina",40,135,5,11,47,88,3,329,574
35119,"York--Simcoe/York--Simcoe"," 9","Georgina",36,141,4,7,61,49,1,299,683
35119,"York--Simcoe/York--Simcoe"," 10","Georgina",22,108,9,3,36,62,2,242,637
35119,"York--Simcoe/York--Simcoe"," 11","Georgina",34,134,5,7,46,73,2,301,705
35119,"York--Simcoe/York--Simcoe"," 12","Georgina",21,117,4,3,40,50,1,236,659
35119,"York--Simcoe/York--Simcoe"," 13","Chippewas of Georgina Island First Nation",27,160,4,3,51,37,2,284,641
35119,"York--Simcoe/York--Simcoe"," 14","Georgina",36,125,1,5,63,52,2,284,543
35119,"York--Simcoe/York--Simcoe"," 15","Chippewas of Georgina Island First Nation",23,116,2,1,24,50,1,217,586
35119,"York--Simcoe/York--Simcoe"," 16","Georgina",20,130,4,6,40,57,0,257,639
35119,"York--Simcoe/York--Simcoe"," 17","Georgina",36,113,3,9,50,76,1,288,648
