Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sanjay Bhatia,Andrew Cash,Francesco Ciardullo,Hannah Conover-Arthurs,Julie Dzerowicz,Chai Kalevar,Elizabeth Rowley,Troy Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35018,"Davenport/Davenport"," 1","York",32,39,3,6,96,1,0,0,2,179,487
35018,"Davenport/Davenport"," 2","York",43,38,4,3,113,0,0,0,3,204,490
35018,"Davenport/Davenport"," 3","York",38,43,1,4,124,0,2,0,1,213,512
35018,"Davenport/Davenport"," 4","York",33,45,7,4,95,0,1,1,2,188,473
35018,"Davenport/Davenport"," 5","York",37,45,6,9,130,1,0,1,3,232,494
35018,"Davenport/Davenport"," 6","York",42,51,5,11,130,1,2,1,1,244,506
35018,"Davenport/Davenport"," 7","York",42,36,2,5,106,0,1,1,5,198,539
35018,"Davenport/Davenport"," 8","York",44,40,1,5,134,2,0,0,0,226,508
35018,"Davenport/Davenport"," 9","York",26,54,1,7,94,0,0,1,0,183,476
35018,"Davenport/Davenport"," 10","York",21,44,2,3,139,0,3,0,1,213,501
35018,"Davenport/Davenport"," 11","York",30,68,0,8,118,2,3,2,2,233,530
35018,"Davenport/Davenport"," 12","York",36,51,3,5,128,1,0,0,3,227,471
35018,"Davenport/Davenport"," 13","York",34,109,2,12,94,3,3,0,1,258,460
35018,"Davenport/Davenport"," 14","York",24,88,1,11,134,1,0,1,3,263,477
35018,"Davenport/Davenport"," 15","York",27,91,7,8,135,4,0,1,2,275,481
35018,"Davenport/Davenport"," 16","York",33,102,3,19,135,0,0,0,5,297,484
35018,"Davenport/Davenport"," 17","York",26,80,4,10,109,0,0,0,2,231,448
35018,"Davenport/Davenport"," 18","York",30,87,1,11,110,0,1,0,4,244,440
35018,"Davenport/Davenport"," 19","York",22,95,6,15,136,1,0,3,2,280,487
35018,"Davenport/Davenport"," 20","York",16,71,1,7,134,0,0,0,3,232,511
35018,"Davenport/Davenport"," 21","York",38,64,3,13,132,2,0,0,3,255,453
35018,"Davenport/Davenport"," 22","York",24,89,4,18,137,0,0,2,6,280,501
35018,"Davenport/Davenport"," 23","Toronto",28,98,4,12,100,0,0,1,1,244,439
35018,"Davenport/Davenport"," 24","Toronto",43,50,1,9,121,0,1,0,5,230,474
35018,"Davenport/Davenport"," 25","Toronto",51,68,2,8,129,0,0,0,4,262,510
35018,"Davenport/Davenport"," 26","Toronto",31,49,4,7,129,0,0,0,2,222,466
35018,"Davenport/Davenport"," 27","Toronto",34,59,3,15,151,2,0,0,4,268,513
35018,"Davenport/Davenport"," 28","Toronto",29,76,0,10,131,0,3,1,1,251,472
35018,"Davenport/Davenport"," 29","Toronto",34,88,5,5,123,2,1,0,2,260,455
35018,"Davenport/Davenport"," 30","Toronto",34,79,2,6,130,0,3,1,3,258,495
35018,"Davenport/Davenport"," 31","Toronto",34,62,7,12,146,1,0,0,0,262,503
35018,"Davenport/Davenport"," 32","Toronto",33,45,0,13,156,0,0,0,6,253,502
35018,"Davenport/Davenport"," 33","Toronto",29,53,4,3,114,0,0,1,0,204,521
35018,"Davenport/Davenport"," 34","York",22,90,6,10,119,2,2,0,5,256,527
35018,"Davenport/Davenport"," 35","Toronto",18,128,2,18,100,0,0,0,1,267,467
35018,"Davenport/Davenport"," 36","Toronto",25,98,3,12,104,2,0,0,1,245,407
35018,"Davenport/Davenport"," 37","Toronto",17,114,1,22,87,0,0,0,2,243,404
