Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Megan Aiken,Richard Bragdon,Dominic Guay,Kelsey MacDonald,Rowan P. Miller,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 1","Riley Brook",5,48,2,13,7,0,75,125
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 2","Drummond",12,69,8,46,19,2,156,340
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 3","Drummond",6,71,4,62,9,2,154,343
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 4","Drummond",6,73,1,39,14,3,136,306
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 5","Drummond",10,65,1,55,14,2,147,325
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 6","Drummond",5,34,4,46,6,2,97,277
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 7","Drummond",3,50,2,49,6,4,114,294
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 8","Drummond",16,64,3,62,12,4,161,370
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 9","New Denmark",14,84,6,63,15,3,185,344
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 10","Salmonhurst Corner",11,99,3,37,11,5,166,364
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 11","Burntland Brook",11,91,4,20,4,0,130,269
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 12","Saint-André",7,53,3,55,17,0,135,200
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 13","Saint-André",15,48,2,62,9,3,139,280
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 14","Saint-André",12,75,2,73,17,3,182,347
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 15","Saint-André",3,54,6,71,14,5,153,221
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 16","Saint-André",9,63,9,63,5,2,151,257
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 17","Saint-André",9,53,1,70,6,3,142,269
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 18","Grand Falls / Grand-Sault",7,36,2,74,8,1,128,327
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 19","Grand Falls / Grand-Sault",7,45,6,55,8,2,123,389
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 20","Grand Falls / Grand-Sault",9,81,2,76,12,3,183,435
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 21","Grand Falls / Grand-Sault",9,62,3,52,8,3,137,341
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 22","Grand Falls / Grand-Sault",6,59,5,67,11,2,150,401
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 23","Grand Falls / Grand-Sault",10,49,7,57,13,0,136,403
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 24","Grand Falls / Grand-Sault",16,48,4,57,15,2,142,407
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 25","Grand Falls / Grand-Sault",15,40,3,68,8,1,135,369
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 26","Grand Falls / Grand-Sault",12,49,3,62,9,1,136,431
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 27","Grand Falls / Grand-Sault",13,81,6,52,20,2,174,423
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 28","Grand Falls / Grand-Sault",6,62,3,88,7,0,166,403
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 29","Plaster Rock",10,106,11,15,8,3,153,393
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 30","Plaster Rock",4,58,2,22,6,2,94,258
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 31","Plaster Rock",6,73,2,20,6,1,108,326
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 32","Sisson Ridge",5,50,2,7,11,1,76,243
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 33","McLaughlin",8,89,3,42,11,1,154,412
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 34","Gillespie Settlement",11,99,4,75,14,3,206,437
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 35","North Tilley",13,90,5,39,18,2,167,278
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 36","South Tilley",5,82,2,14,10,0,113,226
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 37","Bloomfield Ridge",6,65,5,33,41,2,152,211
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 38","Upper California",3,56,1,31,11,0,102,256
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 39","Aroostook",5,70,2,28,6,0,111,239
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 40","Aroostook",14,54,0,42,22,2,134,267
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 41","Arthurette",3,57,0,20,6,1,87,225
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 42","Arthurette",15,101,5,58,23,0,202,360
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 43","Rowena",14,28,3,60,41,2,148,428
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 44","Tobique 20",31,3,1,51,39,0,125,406
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 45","Currie",5,51,2,46,22,1,127,337
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 46","Perth-Andover",3,37,1,26,11,1,79,221
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 47","Perth-Andover",12,50,2,28,14,0,106,222
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 48","Perth-Andover",6,40,0,23,9,0,78,209
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 49","Perth-Andover",12,44,6,39,19,1,121,321
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 50","Perth-Andover",14,73,3,28,13,2,133,336
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 51","Andover",8,69,3,26,18,2,126,353
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 52","Perth",11,81,3,24,33,1,153,326
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 53","Johnville",6,47,0,40,12,1,106,248
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 54","Divide",7,54,4,17,18,1,101,140
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 55","Bairdsville",10,87,6,28,16,2,149,278
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 56","Holmesville",7,84,4,43,14,0,152,331
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 57","Upper Kent",6,80,3,18,17,0,124,292
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 58","Bath",13,60,2,34,21,0,130,327
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 59","Upper Kent",4,67,8,11,19,0,109,218
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 60","Upper Kent",10,70,1,14,18,2,115,213
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 61","Taymouth",17,89,3,27,29,0,165,309
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 62","McGivney",23,97,12,56,78,2,268,465
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 63","Glassville",17,126,2,28,42,0,215,319
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 64","Napadogan",14,92,8,24,46,2,186,385
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 65","Stanley",8,72,2,17,36,5,140,267
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 66","Stanley",15,60,3,24,40,1,143,307
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 67","Upper Knoxford",9,114,3,27,18,0,171,389
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 68","Gordonsville",7,93,9,28,20,0,157,376
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 69","Bristol",10,87,1,38,27,0,163,323
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 70","Bristol",10,102,1,44,25,0,182,300
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 71","Wicklow",16,118,3,47,9,0,193,379
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 72","Windsor",12,90,5,16,28,0,151,297
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 73","Lansdowne",13,146,4,19,19,0,201,313
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 74","Fredericksburg",15,100,8,33,53,0,209,401
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 75","Royalton",7,107,2,24,18,2,160,315
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 76","Royalton",17,102,3,32,23,2,179,338
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 77","Florenceville",17,55,2,36,15,1,126,283
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 78","Wakem Corner",6,55,6,19,8,2,96,269
