Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ping Chan,Kenny Chiu,Jaeden Dela Torre,Nicole Iaci,Joe Peschisolido,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 1","Richmond",5,153,95,36,165,4,458,974
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 2","Richmond",1,62,13,11,48,2,137,284
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 3","Richmond",3,92,41,9,84,2,231,479
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 4","Richmond",3,73,26,7,57,0,166,333
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 5","Richmond",0,51,16,7,51,1,126,335
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 6","Richmond",3,38,25,2,49,2,119,314
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 7","Richmond",0,51,23,5,31,2,112,309
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 8","Richmond",0,58,24,4,73,3,162,380
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 9","Richmond",0,60,25,4,61,3,153,380
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 10","Richmond",1,56,15,9,50,4,135,347
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 11","Richmond",0,43,41,8,70,2,164,427
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 12","Richmond",1,70,27,3,58,0,159,425
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 13","Richmond",4,67,42,7,49,4,173,476
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 14","Richmond",1,59,38,7,62,0,167,441
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 15","Richmond",1,42,31,3,88,0,165,415
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 16","Richmond",1,25,46,15,67,3,157,451
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 17","Richmond",3,60,29,7,64,4,167,378
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 18","Richmond",2,37,10,2,42,0,93,502
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 19","Richmond",0,39,11,1,20,0,71,489
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 20","Richmond",4,78,40,9,62,1,194,549
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 21","Richmond",3,51,25,6,38,7,130,432
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 22","Richmond",2,55,26,4,35,3,125,402
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 23","Richmond",3,96,34,6,37,1,177,548
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 24","Richmond",0,41,28,10,38,1,118,355
59031,"Steveston--Richmond East/Steveston--Richmond-Est"," 25","Richmond",1,47,42,8,59,3,160,427
