Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François-Noël Brault,Ghislain Daigle,Marc Fontaine,Jacques Gourde,Patrick Kerr,Christel Marchand,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 1","Lévis",50,32,4,92,4,10,4,196,394
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 2","Lévis",38,32,8,71,0,17,6,172,369
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 3","Lévis",73,36,6,81,8,17,7,228,430
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 4","Lévis",55,37,3,81,9,24,4,213,430
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 5","Lévis",67,43,4,87,5,17,2,225,438
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 6","Lévis",47,38,7,75,7,20,8,202,429
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 7","Lévis",58,28,6,60,4,14,3,173,368
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 8","Lévis",46,43,12,107,3,20,0,231,439
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 9","Lévis",36,30,4,52,9,10,4,145,384
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 10","Lévis",82,42,8,75,7,15,0,229,432
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 11","Lévis",76,49,3,87,5,21,6,247,460
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 12","Lévis",60,66,14,182,4,21,7,354,547
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 13","Lévis",85,45,6,89,9,32,6,272,472
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 14","Lévis",73,62,5,129,23,26,7,325,620
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 15","Lévis",60,29,6,72,4,12,2,185,388
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 16","Lévis",48,66,5,59,10,20,0,208,366
