Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anju Dhillon,Fang Hu,Céline Laquerre,Réjean Malette,Lori Morrison,Arash Torbati,Jean-Frédéric Vaudry,Xavier Watso,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 1A","LaSalle",Merged with No./Fusionné avec le n°400,,,,,,,,,,172
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 1B","LaSalle",111,3,12,2,10,2,41,0,1,182,368
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 2","LaSalle",Merged with No./Fusionné avec le n°3,,,,,,,,,,178
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 3","LaSalle",80,0,14,7,21,0,31,0,1,154,187
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 4","LaSalle",52,0,20,12,10,0,7,0,0,101,251
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 5","LaSalle",55,0,9,1,22,1,21,0,3,112,375
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 6","LaSalle",63,4,24,5,12,1,11,1,1,122,400
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 7","LaSalle",118,2,21,6,26,0,30,0,4,207,582
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 8","LaSalle",90,4,36,9,8,4,30,0,4,185,552
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 9","LaSalle",93,8,73,9,11,2,17,1,1,215,490
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 10","LaSalle",117,2,7,5,19,0,20,0,2,172,332
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 11","LaSalle",109,1,13,4,23,1,24,0,3,178,408
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 12","Saint-Pierre",85,4,23,13,38,4,15,1,2,185,433
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 13","Saint-Pierre",76,0,14,9,28,2,31,0,1,161,391
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 14","Saint-Pierre",60,1,13,7,9,1,25,0,3,119,317
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 15","Saint-Pierre",123,6,38,9,27,4,19,2,0,228,471
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 16","Saint-Pierre",79,0,17,10,16,2,41,0,5,170,390
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 17","Saint-Pierre",58,1,12,16,26,3,50,3,4,173,450
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 18","Saint-Pierre",74,2,20,11,23,2,53,0,5,190,435
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 19","Saint-Pierre",48,1,6,3,11,1,39,1,4,114,332
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 20","Saint-Pierre",43,0,12,7,16,0,56,0,4,138,347
