Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Victoria Galea,Bert Laranjo,Yousaf Malik,Daniel Ricottone,Spencer Rocchi,Filomena Tassi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 177","Ancaster",2,64,13,3,0,87,0,169,426
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 178","Ancaster",6,81,38,4,0,110,1,240,488
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 179","Ancaster",13,80,32,2,1,95,0,223,394
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 180","Ancaster",10,74,27,0,0,104,0,215,403
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 181","Ancaster",15,102,40,1,0,168,0,326,674
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 182","Ancaster",22,127,44,6,0,152,0,351,678
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 183","Ancaster",8,79,24,0,0,93,0,204,425
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 184","Ancaster",15,72,38,4,0,111,0,240,412
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 185","Ancaster",18,89,36,0,0,132,0,275,492
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 186","Ancaster",19,112,28,4,0,158,2,323,535
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 187","Ancaster",13,75,38,3,0,155,0,284,470
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 188","Ancaster",19,84,30,2,0,102,1,238,486
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 189","Ancaster",7,107,26,2,0,90,0,232,404
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 190","Ancaster",16,98,38,1,1,102,0,256,482
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 191","Ancaster",12,85,18,5,3,124,0,247,420
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 192","Ancaster",16,75,23,3,0,84,0,201,419
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 193","Ancaster",12,87,28,0,0,111,1,239,492
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 194","Ancaster",15,79,22,3,2,59,0,180,389
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 400","Hamilton",Merged with No./Fusionné avec le n°7,,,,,,,,204
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 401","Hamilton",2,26,49,4,0,59,3,143,251
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 402","Hamilton",11,18,38,0,0,76,1,144,256
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 403","Hamilton",6,21,30,0,0,46,2,105,198
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 404","Hamilton",29,101,170,2,1,324,1,628,657
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 405","Dundas",7,23,22,2,2,45,0,101,425
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 406","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505,,,,,,,,216
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 407","Ancaster",15,97,49,6,0,7,0,174,182
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 500","Mobile poll/Bureau itinérant",9,11,19,0,1,29,1,70,110
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 501","Mobile poll/Bureau itinérant",15,52,23,2,0,116,3,211,290
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 502","Mobile poll/Bureau itinérant",7,15,9,0,2,42,0,75,124
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 503","Mobile poll/Bureau itinérant",13,21,12,0,0,54,1,101,188
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 504","Mobile poll/Bureau itinérant",13,29,15,6,2,66,5,136,249
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 505","Mobile poll/Bureau itinérant",10,29,31,6,1,52,1,130,219
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 506","Mobile poll/Bureau itinérant",3,7,15,0,0,69,1,95,193
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 507","Mobile poll/Bureau itinérant",11,50,13,1,0,94,3,172,211
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 508","Mobile poll/Bureau itinérant",5,12,15,6,2,28,7,75,202
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 509","Mobile poll/Bureau itinérant",3,22,8,3,1,48,2,87,139
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 600","Ancaster",91,372,120,9,1,653,5,1251,
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 601","Ancaster",117,302,179,9,2,680,7,1296,
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 602","Hamilton ",138,344,196,14,4,631,5,1332,
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 603","Hamilton ",82,185,133,18,3,387,0,808,
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 604","Hamilton ",61,116,111,9,1,298,1,597,
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 605","Hamilton ",72,211,153,15,2,408,2,863,
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 606","Ancaster",51,410,113,10,3,634,9,1230,
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 607","Ancaster",85,455,79,14,0,572,2,1207,
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 608","Ancaster",69,430,109,19,3,486,7,1123,
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 609","Ancaster",56,425,109,19,2,476,11,1098,
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 610","Ancaster",35,443,113,9,2,442,9,1053,
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 611","Hamilton ",26,154,124,9,5,312,5,635,
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 612","Hamilton ",44,126,153,5,1,274,2,605,
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 613","Hamilton ",60,273,128,13,1,390,1,866,
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 614","Hamilton ",77,234,150,18,2,403,3,887,
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 615","Hamilton ",59,275,195,8,2,485,7,1031,
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas",,Group 1/Groupe 1, 23,21,30,2,1,108,14,199,298
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas",,Group 2/Groupe 2, 159,338,383,21,4,794,71,1770,
