Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sonia Baudelot,Ali Faour,Emilio Migliozzi,Lizabel Nitoi,Elias Progakis,Yves Robillard,Bao Tran Le,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 19","Laval",24,32,1,97,0,139,9,2,304,551
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 20","Laval",15,22,2,88,0,119,4,8,258,502
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 21","Laval",17,35,7,81,1,135,5,2,283,513
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 22A","Laval",Merged with No./Fusionné avec le n°22C,,,,,,,,,19
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 22B","Laval",Merged with No./Fusionné avec le n°23,,,,,,,,,64
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 22C","Laval",39,19,3,93,1,140,19,4,318,587
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 23","Laval",24,28,2,98,0,150,6,5,313,519
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 24","Laval",30,38,2,78,1,174,8,7,338,563
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 25","Laval",20,23,2,66,0,152,5,3,271,498
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 26","Laval",16,38,0,75,1,151,7,3,291,481
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 27","Laval",37,27,8,77,2,191,10,2,354,572
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 28","Laval",34,41,2,110,1,169,19,7,383,573
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 29","Laval",26,24,3,140,3,83,13,4,296,560
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 30","Laval",12,23,2,83,0,134,13,5,272,505
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 31","Laval",17,27,2,139,0,91,18,3,297,460
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 32","Laval",24,23,0,85,0,127,17,0,276,525
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 33","Laval",14,24,3,140,1,99,24,6,311,559
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 34","Laval",32,27,1,50,1,150,6,3,270,593
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 35","Laval",29,23,2,85,0,149,18,1,307,575
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 36","Laval",19,45,2,92,0,127,12,3,300,578
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 37","Laval",24,24,1,69,0,128,5,2,253,543
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 38","Laval",21,28,1,85,0,149,4,5,293,524
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 39","Laval",40,33,2,98,0,168,16,6,363,555
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 40","Laval",32,9,6,68,0,124,8,3,250,470
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 41","Laval",22,37,5,137,2,162,14,4,383,569
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 42","Laval",43,29,6,75,1,156,3,4,317,525
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 43","Laval",18,22,0,88,0,120,15,7,270,583
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 44","Laval",18,21,2,104,1,90,8,5,249,525
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 45A","Laval",9,12,0,51,0,53,11,7,143,286
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 45B","Laval",4,1,0,27,0,45,1,5,83,135
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 45C","Laval",Merged with No./Fusionné avec le n°400,,,,,,,,,93
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 46A","Laval",27,38,1,75,0,114,9,7,271,464
