Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Aline Bégin,Jacques Girard,Alain Guimond,Sébastien Lemire,Mario Provencher,Claude Thibault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 1","Rochebaucourt",2,0,0,42,26,5,1,76,138
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 2","Saint-Dominique-du-Rosaire",5,1,6,88,32,35,7,174,368
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 3","Val-Saint-Gilles",2,3,11,29,10,23,1,79,165
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 4","Saint-Nazaire-de-Berry",2,1,3,17,12,16,2,53,113
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 5","Saint-Nazaire-de-Berry",4,2,10,61,15,22,6,120,255
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 6","Normétal",2,1,6,49,36,18,10,122,287
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 7","Normétal",7,2,10,70,49,26,9,173,345
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 8","Guyenne",1,0,5,30,15,10,1,62,117
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 9","Authier-Nord",4,1,9,80,20,24,0,138,262
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 10","Saint-Vital-de-Clermont",11,1,19,89,39,34,8,201,366
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 11","Saint-Lambert",4,4,5,43,10,9,4,79,156
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 12","La Morandière",2,1,1,33,20,21,0,78,179
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 13","Chazel",1,0,8,49,16,31,1,106,221
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 14","Saint-Félix-de-Dalquier",7,2,11,113,50,37,2,222,424
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 15","Saint-Félix-de-Dalquier",8,1,17,73,37,15,2,153,298
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 16","La Reine",9,0,15,66,34,27,1,152,262
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 17","Amos",16,0,16,97,28,74,4,235,568
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 18","Amos",2,0,17,66,24,53,3,165,373
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 19","Amos",9,0,14,100,35,26,5,189,407
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 20","Amos",9,0,14,81,24,26,6,160,357
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 21","Amos",5,0,18,70,16,34,1,144,335
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 22","Amos",8,1,22,79,14,35,3,162,362
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 23","Amos",4,2,15,52,13,36,3,125,402
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 24","Amos",2,2,14,80,15,46,3,162,444
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 25","Amos",6,0,23,69,24,22,5,149,384
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 26","La Sarre",6,0,9,94,43,26,7,185,399
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 27","La Sarre",9,1,17,98,37,21,3,186,407
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 28","La Sarre",8,1,9,75,15,18,2,128,322
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 29","La Sarre",6,1,9,101,22,33,2,174,382
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 30","La Sarre",2,1,9,54,22,17,7,112,289
