Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Éric Barnabé,Mathieu Castonguay,Rémi-Jocelyn Côté,Rémi Massé,Kristina Michaud,James Morrison,Natasha Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 1","Les Méchins",1,1,2,24,34,2,3,6,73,247
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 2","Les Méchins",1,0,3,26,50,2,5,2,89,298
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 3","Les Méchins",0,0,1,18,49,1,9,1,79,295
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 4","Grosses-Roches",0,1,5,48,73,3,16,5,151,326
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 5","Sainte-Félicité",1,2,4,61,114,7,7,4,200,405
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 6","Sainte-Félicité",0,1,2,72,119,4,13,2,213,481
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 7","Saint-Jean-de-Cherbourg",0,0,1,20,27,0,5,1,54,133
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 8","Matane",1,0,0,45,76,2,8,2,134,366
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 9","Matane",2,0,9,44,67,1,7,2,132,361
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 10","Matane",0,0,2,61,84,5,5,2,159,423
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 11","Matane",0,0,5,58,64,2,4,1,134,350
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 12","Matane",1,1,2,96,69,1,8,0,178,442
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 13","Matane",1,0,2,57,63,3,5,6,137,372
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 14","Matane",0,1,1,55,51,2,6,0,116,330
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 15","Matane",0,1,7,52,53,2,7,2,124,347
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 16","Matane",1,0,3,50,57,1,6,2,120,298
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 17","Saint-René-de-Matane",1,0,0,17,74,0,15,0,107,206
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 18","Saint-René-de-Matane",0,1,3,29,78,3,6,2,122,299
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 19","Saint-René-de-Matane",0,1,4,40,81,0,6,1,133,318
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 20","Saint-Adelme",0,0,2,69,111,3,14,7,206,395
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 21","Matane",0,0,3,5,6,4,3,0,21,44
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 22","Matane",3,1,2,81,44,1,6,10,148,200
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 23","Matane",0,3,1,34,43,2,10,3,96,303
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 24","Matane",2,1,2,41,41,2,1,4,94,322
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 25","Matane",1,0,3,53,62,4,3,2,128,369
24006,"Avignon--La Mitis--Matane--Matapédia/Avignon--La Mitis--Matane--Matapédia"," 26","Matane",0,0,2,50,49,2,5,2,110,333
