Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob Bratina,Charles Crocker,Nikki Kaur,Nick Milanovic,Peter Ormond,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 1","Hamilton",111,9,86,105,36,1,348,596
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 2","Hamilton",132,12,80,81,26,0,331,582
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 3","Hamilton",66,5,46,67,15,0,199,457
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 4","Hamilton",72,4,59,58,15,1,209,453
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 5","Hamilton",126,3,42,52,8,2,233,399
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 6","Hamilton",137,3,58,51,7,1,257,421
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 7","Hamilton",125,3,62,79,8,11,288,475
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 8","Hamilton",59,4,53,76,12,1,205,480
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 9","Hamilton",29,6,36,52,11,0,134,410
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 10","Hamilton",40,8,46,44,10,2,150,420
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 11","Hamilton",43,3,49,75,9,1,180,382
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 12","Hamilton",46,8,44,45,14,4,161,375
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 13","Hamilton",38,5,30,67,15,0,155,360
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 14","Hamilton",65,3,29,74,6,3,180,541
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 15","Hamilton",53,5,50,49,11,6,174,387
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 16","Hamilton",82,5,37,83,18,4,229,560
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 17","Hamilton",35,6,55,92,16,0,204,572
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 18","Hamilton",38,9,46,70,17,0,180,448
