Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Luca Abbatiello,Mathieu Bonsaint,David-Roger Gagnon,Marie-Claude Gaudet,Joël Godin,Annie Talbot,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 1","Stoneham-et-Tewkesbury",4,75,17,11,50,31,1,189,404
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 2","Stoneham-et-Tewkesbury",2,35,9,12,75,27,2,162,371
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 3","Stoneham-et-Tewkesbury",5,33,11,8,69,37,1,164,345
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 4","Stoneham-et-Tewkesbury",7,49,17,12,63,46,3,197,422
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 5","Stoneham-et-Tewkesbury",2,29,8,6,31,25,2,103,240
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 6","Stoneham-et-Tewkesbury",9,64,14,13,96,41,5,242,431
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 7","Stoneham-et-Tewkesbury",3,31,9,6,48,21,4,122,277
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 8","Stoneham-et-Tewkesbury",11,53,16,7,99,43,3,232,424
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 9","Stoneham-et-Tewkesbury",6,35,7,9,100,36,5,198,369
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 10","Stoneham-et-Tewkesbury",7,66,29,34,76,55,7,274,548
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 11","Stoneham-et-Tewkesbury",8,32,11,6,75,29,4,165,386
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 12","Stoneham-et-Tewkesbury",7,29,8,11,78,42,3,178,400
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 13","Stoneham-et-Tewkesbury",11,50,25,17,123,57,9,292,596
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 14","Stoneham-et-Tewkesbury",6,51,13,17,50,39,3,179,375
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 15","Sainte-Brigitte-de-Laval",7,43,14,5,75,41,0,185,360
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 16","Sainte-Brigitte-de-Laval",10,65,17,9,61,40,5,207,440
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 17","Sainte-Brigitte-de-Laval",7,76,20,17,93,47,3,263,462
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 18","Sainte-Brigitte-de-Laval",7,43,24,4,85,31,13,207,373
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 19","Sainte-Brigitte-de-Laval",8,52,14,9,65,32,6,186,374
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 20","Sainte-Brigitte-de-Laval",4,47,13,9,89,29,4,195,395
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 21","Sainte-Brigitte-de-Laval",3,50,16,6,69,49,2,195,356
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 22","Sainte-Brigitte-de-Laval",5,62,13,7,110,46,1,244,427
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 23","Sainte-Brigitte-de-Laval",20,43,16,8,119,29,5,240,450
24058,"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 24","L'Ange-Gardien",18,90,17,9,86,44,8,272,552
