Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Bittle,Allan DeRoo,Travis Mason,Dennis Van Meer,Krystina Waler,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35089,"St. Catharines/St. Catharines"," 503D","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,,0
35089,"St. Catharines/St. Catharines"," 504","Mobile poll/Bureau itinérant",65,2,4,10,41,5,127,176
35089,"St. Catharines/St. Catharines"," 505","Mobile poll/Bureau itinérant",43,2,7,14,47,5,118,188
35089,"St. Catharines/St. Catharines"," 506","Mobile poll/Bureau itinérant",35,2,4,14,18,3,76,180
35089,"St. Catharines/St. Catharines"," 600","St. Catharines",389,6,39,80,384,7,905,
35089,"St. Catharines/St. Catharines"," 601","St. Catharines",360,17,51,124,340,5,897,
35089,"St. Catharines/St. Catharines"," 602","St. Catharines",434,14,49,147,333,10,987,
35089,"St. Catharines/St. Catharines"," 603","St. Catharines",433,12,50,119,456,6,1076,
35089,"St. Catharines/St. Catharines"," 604","St. Catharines",351,6,49,133,375,2,916,
35089,"St. Catharines/St. Catharines"," 605","St. Catharines",444,14,66,124,335,7,990,
35089,"St. Catharines/St. Catharines"," 606","St. Catharines",266,7,37,91,262,3,666,
35089,"St. Catharines/St. Catharines"," 607","St. Catharines",289,23,61,166,279,6,824,
35089,"St. Catharines/St. Catharines"," 608","St. Catharines",325,15,51,125,340,8,864,
35089,"St. Catharines/St. Catharines"," 609","St. Catharines",257,7,53,120,237,6,680,
35089,"St. Catharines/St. Catharines"," 610","St. Catharines",247,8,46,113,180,5,599,
35089,"St. Catharines/St. Catharines"," 611","St. Catharines",329,14,58,179,254,14,848,
35089,"St. Catharines/St. Catharines"," 612","St. Catharines",340,9,82,172,157,5,765,
35089,"St. Catharines/St. Catharines"," 613","St. Catharines",485,9,75,130,507,6,1212,
35089,"St. Catharines/St. Catharines"," 614","St. Catharines",438,15,72,93,321,9,948,
35089,"St. Catharines/St. Catharines"," 615","St. Catharines",264,10,48,192,225,5,744,
35089,"St. Catharines/St. Catharines",,Group 1/Groupe 1, 90,2,18,20,25,9,164,195
35089,"St. Catharines/St. Catharines",,Group 2/Groupe 2, 803,19,129,265,511,40,1767,
