Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brigitte Cecelia,Michael Cooper,Rob Dunbar,Robert Bruce Fraser,Kathleen Mpulubusi,Greg Springate,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 1A","Sturgeon No. 90",4,109,5,1,27,32,0,178,356
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 1B","Sturgeon No. 90",5,112,3,0,24,28,0,172,336
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 1C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,70
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 2","Volmer",4,175,4,0,34,32,2,251,355
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 3","Sturgeon No. 90",1,138,2,0,17,42,1,201,323
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 4","Sturgeon No. 90",0,133,4,0,21,38,2,198,321
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 5","St. Albert",5,125,4,0,39,29,0,202,356
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 6","St. Albert",2,113,8,5,43,50,1,222,420
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 7","St. Albert",3,144,1,1,46,42,0,237,437
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 8","St. Albert",3,259,4,0,27,46,0,339,611
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 9","St. Albert",4,110,6,0,15,25,0,160,343
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 10","St. Albert",3,111,6,4,30,33,2,189,386
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 11A","St. Albert",1,141,3,0,16,25,2,188,341
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 11B","St. Albert",2,122,5,0,27,20,0,176,333
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 12","St. Albert",2,191,5,7,40,31,0,276,428
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 13","St. Albert",5,211,2,1,53,44,0,316,533
48031,"St. Albert--Edmonton/St. Albert--Edmonton"," 14","St. Albert",4,154,8,0,27,42,0,235,440
