Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brogan Anderson,Kody Blois,Stacey Dodge,Martha MacQuarrie,Stephen Schneider,Matthew Southall,Nicholas Tan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Kings--Hants/Kings--Hants"," 51","Scotch Village",17,60,0,38,14,3,0,2,134,266
12007,"Kings--Hants/Kings--Hants"," 52","Brooklyn",27,92,1,52,29,6,1,1,209,403
12007,"Kings--Hants/Kings--Hants"," 53","Ardoise",22,85,1,49,34,0,2,1,194,354
12007,"Kings--Hants/Kings--Hants"," 54","Mantua",25,73,0,38,27,4,0,1,168,282
12007,"Kings--Hants/Kings--Hants"," 55","Newport Corner",19,60,1,33,23,8,0,1,145,277
12007,"Kings--Hants/Kings--Hants"," 56","Summerville",21,56,1,37,14,6,0,0,135,248
12007,"Kings--Hants/Kings--Hants"," 57","Summerville",16,56,0,50,14,5,3,0,144,253
12007,"Kings--Hants/Kings--Hants"," 58","South Rawdon",26,93,0,59,47,15,1,1,242,427
12007,"Kings--Hants/Kings--Hants"," 59","Centre Burlington",27,83,0,72,38,6,0,3,229,452
12007,"Kings--Hants/Kings--Hants"," 60","Glenmont",38,56,0,40,26,2,1,3,166,345
12007,"Kings--Hants/Kings--Hants"," 61","Sheffield Mills",34,77,2,47,36,3,2,1,202,356
12007,"Kings--Hants/Kings--Hants"," 62","Centreville",10,42,0,34,18,2,0,1,107,258
12007,"Kings--Hants/Kings--Hants"," 63","Hortonville",26,108,0,27,32,6,1,0,200,386
12007,"Kings--Hants/Kings--Hants"," 64","Grand Pré",14,70,0,32,18,1,1,1,137,302
12007,"Kings--Hants/Kings--Hants"," 65","Canning",17,65,0,50,30,1,1,0,164,285
12007,"Kings--Hants/Kings--Hants"," 66","Canning",32,51,0,19,58,2,1,1,164,343
12007,"Kings--Hants/Kings--Hants"," 67","Canning",26,58,4,41,39,2,1,2,173,378
12007,"Kings--Hants/Kings--Hants"," 68","Hants Border",28,55,1,20,29,4,2,1,140,343
12007,"Kings--Hants/Kings--Hants"," 69","Hantsport",19,68,0,21,26,3,0,1,138,319
12007,"Kings--Hants/Kings--Hants"," 70","Hantsport",23,68,2,35,27,2,1,2,160,305
12007,"Kings--Hants/Kings--Hants"," 71","Avonport",31,81,0,46,35,3,1,0,197,348
12007,"Kings--Hants/Kings--Hants"," 72","Avonport",23,111,0,67,30,3,0,4,238,441
12007,"Kings--Hants/Kings--Hants"," 73","Halls Harbour",20,60,0,46,20,0,0,0,146,275
12007,"Kings--Hants/Kings--Hants"," 74","Avondale",29,71,0,79,38,7,3,0,227,375
12007,"Kings--Hants/Kings--Hants"," 75","Mount Uniacke",25,91,0,54,34,9,0,0,213,424
