Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Bernier,Maxime Bernier,Josiane Fortin,François Jacques-Côté,Richard Lehoux,Guillaume Rodrigue,Adam Veilleux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24007,"Beauce/Beauce"," 80","Sainte-Aurélie",75,5,11,3,63,35,21,1,214,339
24007,"Beauce/Beauce"," 81","Sainte-Aurélie",62,2,7,2,81,39,17,2,212,322
24007,"Beauce/Beauce"," 82","Beauceville",60,7,7,11,95,18,18,0,216,416
24007,"Beauce/Beauce"," 83","Beauceville",56,4,2,7,85,15,25,6,200,452
24007,"Beauce/Beauce"," 84","Beauceville",80,5,9,12,75,26,27,3,237,511
24007,"Beauce/Beauce"," 85","Beauceville",72,6,7,8,63,29,12,5,202,455
24007,"Beauce/Beauce"," 86","Beauceville",58,4,3,7,50,33,42,3,200,458
24007,"Beauce/Beauce"," 87","Beauceville",68,3,5,8,51,26,27,7,195,471
24007,"Beauce/Beauce"," 88","Saint-Séverin",34,5,5,2,65,27,13,3,154,228
24007,"Beauce/Beauce"," 89","Saint-Frédéric",70,3,8,5,99,17,23,0,225,379
24007,"Beauce/Beauce"," 90","Saint-Frédéric",76,7,7,5,115,25,19,2,256,379
24007,"Beauce/Beauce"," 91","Saint-Simon-les-Mines",75,6,9,8,110,19,42,8,277,431
24007,"Beauce/Beauce"," 92","Saint-Zacharie",81,4,5,6,61,33,16,4,210,349
24007,"Beauce/Beauce"," 93","Saint-Zacharie",63,7,5,5,54,44,16,5,199,328
24007,"Beauce/Beauce"," 94A","Saint-Zacharie",74,4,4,2,56,31,26,3,200,333
24007,"Beauce/Beauce"," 94B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,,,15
24007,"Beauce/Beauce"," 95","Saint-Zacharie",64,3,2,3,79,20,13,3,187,360
24007,"Beauce/Beauce"," 96","Tring-Jonction",68,1,2,5,122,21,25,1,245,369
24007,"Beauce/Beauce"," 97","Tring-Jonction",78,4,4,5,124,26,24,12,277,383
24007,"Beauce/Beauce"," 98","Tring-Jonction",71,4,9,3,140,29,14,2,272,372
24007,"Beauce/Beauce"," 99","Saint-Georges",93,6,5,2,57,29,24,3,219,488
24007,"Beauce/Beauce"," 100","Saint-Georges",70,1,1,9,79,41,15,1,217,478
24007,"Beauce/Beauce"," 101","Saint-Georges",70,4,7,11,67,36,23,3,221,579
24007,"Beauce/Beauce"," 102","Saint-Georges",54,4,7,8,44,35,28,5,185,514
24007,"Beauce/Beauce"," 103","Saint-Georges",76,3,2,8,52,28,33,3,205,468
24007,"Beauce/Beauce"," 104","Saint-Georges",58,4,10,6,46,32,20,4,180,429
24007,"Beauce/Beauce"," 105","Saint-Georges",65,2,5,7,65,35,29,8,216,476
24007,"Beauce/Beauce"," 106","Saint-Georges",81,2,2,5,79,24,36,3,232,485
24007,"Beauce/Beauce"," 107","Saint-Georges",48,4,5,7,55,35,34,7,195,518
24007,"Beauce/Beauce"," 108","Notre-Dame-des-Pins",56,2,5,10,59,33,24,0,189,368
24007,"Beauce/Beauce"," 109","Notre-Dame-des-Pins",93,1,5,11,101,33,33,5,282,501
24007,"Beauce/Beauce"," 110","Notre-Dame-des-Pins",70,3,6,8,84,33,28,3,235,390
24007,"Beauce/Beauce"," 111","Saint-Philibert",71,3,9,5,56,27,20,0,191,282
24007,"Beauce/Beauce"," 112","Beauceville",64,4,11,7,50,29,9,4,178,465
24007,"Beauce/Beauce"," 113","Beauceville",75,4,6,13,91,50,35,1,275,522
24007,"Beauce/Beauce"," 114","Beauceville",79,4,4,7,72,40,36,1,243,541
24007,"Beauce/Beauce"," 115","Beauceville",48,3,3,6,95,42,33,5,235,528
24007,"Beauce/Beauce"," 116","Saint-Jules-de-Beauce",102,5,8,5,127,17,17,8,289,396
24007,"Beauce/Beauce"," 117","Saint-Georges",108,4,3,7,79,28,26,1,256,505
24007,"Beauce/Beauce"," 118","Saint-Georges",83,2,4,7,49,42,34,4,225,500
24007,"Beauce/Beauce"," 119","Saint-Georges",98,4,10,9,66,29,32,5,253,534
24007,"Beauce/Beauce"," 120","Saint-Georges",84,2,4,19,74,50,37,4,274,565
24007,"Beauce/Beauce"," 121","Saint-Georges",73,4,5,5,72,40,25,2,226,515
24007,"Beauce/Beauce"," 122","Saint-Georges",47,2,10,4,52,22,20,6,163,454
24007,"Beauce/Beauce"," 123","Saint-Georges",48,6,6,9,65,51,28,4,217,470
24007,"Beauce/Beauce"," 124","Saint-Georges",91,0,6,17,58,40,29,5,246,509
24007,"Beauce/Beauce"," 125","Saint-Georges",66,3,2,8,39,21,28,4,171,466
24007,"Beauce/Beauce"," 126","Saint-Georges",43,4,4,6,51,44,34,2,188,466
24007,"Beauce/Beauce"," 127","Saint-Georges",73,2,4,9,39,25,29,6,187,498
24007,"Beauce/Beauce"," 128","Saint-Georges",29,2,4,2,30,22,21,4,114,458
24007,"Beauce/Beauce"," 129","Saint-Georges",44,2,5,3,27,17,18,2,118,388
24007,"Beauce/Beauce"," 130","Saint-Georges",36,2,9,8,37,23,24,2,141,501
24007,"Beauce/Beauce"," 131","Saint-Georges",37,3,4,13,26,32,12,3,130,500
24007,"Beauce/Beauce"," 132","Saint-Georges",33,4,0,2,17,6,25,12,99,135
24007,"Beauce/Beauce"," 133","Saint-Alfred",83,4,5,8,90,31,21,6,248,383
24007,"Beauce/Beauce"," 134","Saint-Georges",85,4,5,5,93,36,21,7,256,587
24007,"Beauce/Beauce"," 135","Saint-Georges",95,1,9,8,88,69,43,1,314,609
24007,"Beauce/Beauce"," 136","Saint-Georges",58,3,6,5,48,25,26,2,173,442
24007,"Beauce/Beauce"," 137","Saint-Georges",74,1,4,4,56,34,22,1,196,504
24007,"Beauce/Beauce"," 138","Saint-Georges",81,4,8,4,86,28,25,7,243,555
24007,"Beauce/Beauce"," 139","Saint-Georges",77,0,8,12,64,20,36,1,218,515
24007,"Beauce/Beauce"," 140","Saint-Georges",75,3,4,11,56,27,46,1,223,496
24007,"Beauce/Beauce"," 141","Saint-Georges",57,4,6,8,58,32,14,1,180,473
24007,"Beauce/Beauce"," 142","Saint-Georges",85,3,6,10,74,41,38,5,262,532
24007,"Beauce/Beauce"," 143","Saint-Georges",68,3,3,9,54,30,29,2,198,462
24007,"Beauce/Beauce"," 144","Saint-Georges",58,4,6,11,46,21,50,2,198,477
24007,"Beauce/Beauce"," 145","Saint-Georges",89,1,7,18,59,26,26,4,230,476
24007,"Beauce/Beauce"," 146","Saint-Georges",59,7,9,6,32,29,24,6,172,496
24007,"Beauce/Beauce"," 147","Saint-Georges",67,5,7,3,41,33,32,1,189,465
24007,"Beauce/Beauce"," 148","Saint-Georges",63,3,1,1,63,27,23,2,183,456
24007,"Beauce/Beauce"," 149","Saint-Georges",87,4,9,9,59,30,22,4,224,467
24007,"Beauce/Beauce"," 150","Saint-Georges",71,5,7,5,66,34,45,3,236,522
24007,"Beauce/Beauce"," 151","Saint-Côme--Linière",93,5,5,8,109,27,7,4,258,448
24007,"Beauce/Beauce"," 152","Saint-Côme--Linière",71,6,4,6,89,39,21,2,238,397
24007,"Beauce/Beauce"," 153","Saint-Côme--Linière",77,5,3,3,97,18,9,7,219,376
24007,"Beauce/Beauce"," 154","Saint-Côme--Linière",97,8,6,8,57,29,17,5,227,400
24007,"Beauce/Beauce"," 155","Saint-Côme--Linière",84,8,7,8,59,20,30,8,224,387
24007,"Beauce/Beauce"," 156","Saint-Côme--Linière",64,3,5,4,73,22,20,4,195,413
24007,"Beauce/Beauce"," 157","Saint-Victor-Station",43,4,4,3,105,21,21,5,206,358
24007,"Beauce/Beauce"," 158","Saint-Victor-Station",53,4,4,5,91,37,23,2,219,393
24007,"Beauce/Beauce"," 159","Saint-Victor",64,3,5,4,98,30,16,4,224,387
24007,"Beauce/Beauce"," 160","Saint-Victor",50,1,1,6,80,29,30,9,206,378
24007,"Beauce/Beauce"," 161","Saint-Victor",53,4,2,2,73,24,17,2,177,337
24007,"Beauce/Beauce"," 162","Saint-Georges",51,4,5,9,32,19,11,5,136,521
24007,"Beauce/Beauce"," 163","Saint-Georges",76,5,2,8,60,34,18,4,207,504
24007,"Beauce/Beauce"," 164","Saint-Georges",61,2,3,6,43,17,22,4,158,440
