Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Natalie Dipietra-Cudmore,Kaija Farstad,Leon Jensen,Alex Joehl,Tako Van Popta,Stacey Wakelin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59016,"Langley--Aldergrove/Langley--Aldergrove"," 1","Walnut Grove",2,10,66,3,86,40,2,209,484
59016,"Langley--Aldergrove/Langley--Aldergrove"," 2","Walnut Grove",4,23,48,1,96,43,0,215,381
59016,"Langley--Aldergrove/Langley--Aldergrove"," 3","Walnut Grove",8,26,59,0,96,51,1,241,447
59016,"Langley--Aldergrove/Langley--Aldergrove"," 4","Walnut Grove",4,16,57,1,92,29,0,199,392
59016,"Langley--Aldergrove/Langley--Aldergrove"," 5","Langley",10,16,92,4,116,56,2,296,590
59016,"Langley--Aldergrove/Langley--Aldergrove"," 6","Walnut Grove",1,29,79,3,104,46,0,262,458
59016,"Langley--Aldergrove/Langley--Aldergrove"," 7","Langley",7,13,61,3,101,55,1,241,474
59016,"Langley--Aldergrove/Langley--Aldergrove"," 8","Langley",4,26,68,2,99,50,0,249,476
59016,"Langley--Aldergrove/Langley--Aldergrove"," 9","Langley",9,24,51,2,111,50,0,247,511
59016,"Langley--Aldergrove/Langley--Aldergrove"," 10","Walnut Grove",5,19,84,1,123,58,0,290,545
59016,"Langley--Aldergrove/Langley--Aldergrove"," 11","Langley",3,14,38,2,105,36,1,199,443
59016,"Langley--Aldergrove/Langley--Aldergrove"," 12","Langley",3,16,75,3,79,56,0,232,592
59016,"Langley--Aldergrove/Langley--Aldergrove"," 13","Walnut Grove",6,24,64,1,117,39,0,251,480
59016,"Langley--Aldergrove/Langley--Aldergrove"," 14","Walnut Grove",4,10,25,2,76,37,2,156,436
59016,"Langley--Aldergrove/Langley--Aldergrove"," 15","Langley",5,35,62,1,100,38,0,241,437
59016,"Langley--Aldergrove/Langley--Aldergrove"," 16","Langley",2,13,54,0,69,34,0,172,389
59016,"Langley--Aldergrove/Langley--Aldergrove"," 17","Langley",9,20,64,1,84,35,3,216,426
59016,"Langley--Aldergrove/Langley--Aldergrove"," 18","Langley",5,28,82,0,83,56,1,255,575
59016,"Langley--Aldergrove/Langley--Aldergrove"," 19","Walnut Grove",3,24,73,0,74,51,0,225,426
59016,"Langley--Aldergrove/Langley--Aldergrove"," 20","Walnut Grove",3,15,62,2,95,45,0,222,430
59016,"Langley--Aldergrove/Langley--Aldergrove"," 21","Langley",3,17,73,1,102,57,1,254,475
59016,"Langley--Aldergrove/Langley--Aldergrove"," 22","Langley",0,15,76,2,147,60,0,300,311
59016,"Langley--Aldergrove/Langley--Aldergrove"," 23","Langley",2,17,67,2,92,40,1,221,482
59016,"Langley--Aldergrove/Langley--Aldergrove"," 24","Langley",5,19,51,1,54,40,0,170,400
59016,"Langley--Aldergrove/Langley--Aldergrove"," 25","Langley",7,17,48,4,77,56,0,209,441
59016,"Langley--Aldergrove/Langley--Aldergrove"," 26","Langley",2,24,68,0,71,37,0,202,447
59016,"Langley--Aldergrove/Langley--Aldergrove"," 27","Langley",Merged with No./Fusionné avec le n°22,,,,,,,,318
59016,"Langley--Aldergrove/Langley--Aldergrove"," 28","Langley",2,21,67,4,83,55,0,232,430
59016,"Langley--Aldergrove/Langley--Aldergrove"," 29","Walnut Grove",2,25,50,1,110,43,1,232,471
59016,"Langley--Aldergrove/Langley--Aldergrove"," 30","Walnut Grove",3,10,48,1,81,51,1,195,453
59016,"Langley--Aldergrove/Langley--Aldergrove"," 31","Langley",1,5,79,2,98,36,0,221,466
59016,"Langley--Aldergrove/Langley--Aldergrove"," 32","Langley",3,21,68,0,99,53,0,244,500
59016,"Langley--Aldergrove/Langley--Aldergrove"," 33","Walnut Grove",8,18,64,0,96,43,1,230,469
59016,"Langley--Aldergrove/Langley--Aldergrove"," 34","Walnut Grove",4,16,65,3,78,38,0,204,459
59016,"Langley--Aldergrove/Langley--Aldergrove"," 35","Walnut Grove",4,7,75,4,94,47,4,235,491
59016,"Langley--Aldergrove/Langley--Aldergrove"," 36","Walnut Grove",3,11,63,1,106,38,1,223,494
59016,"Langley--Aldergrove/Langley--Aldergrove"," 37","Walnut Grove",1,8,36,2,48,25,0,120,284
59016,"Langley--Aldergrove/Langley--Aldergrove"," 38A","Walnut Grove",0,5,61,0,84,28,0,178,399
59016,"Langley--Aldergrove/Langley--Aldergrove"," 38B","Walnut Grove",2,16,49,5,81,52,2,207,465
59016,"Langley--Aldergrove/Langley--Aldergrove"," 39A","Walnut Grove",2,10,55,1,80,36,2,186,458
59016,"Langley--Aldergrove/Langley--Aldergrove"," 39B","Walnut Grove",5,10,60,1,71,31,1,179,467
59016,"Langley--Aldergrove/Langley--Aldergrove"," 40","Walnut Grove",5,14,81,1,94,36,4,235,568
59016,"Langley--Aldergrove/Langley--Aldergrove"," 41","Forest Knolls",4,23,69,0,186,39,5,326,566
59016,"Langley--Aldergrove/Langley--Aldergrove"," 42","Walnut Grove",3,29,67,0,120,53,0,272,434
59016,"Langley--Aldergrove/Langley--Aldergrove"," 43","Walnut Grove",0,21,86,1,87,28,0,223,387
59016,"Langley--Aldergrove/Langley--Aldergrove"," 44","Fort Langley",2,30,68,2,73,47,0,222,366
59016,"Langley--Aldergrove/Langley--Aldergrove"," 45","Fort Langley",7,50,88,2,158,74,2,381,585
59016,"Langley--Aldergrove/Langley--Aldergrove"," 46","McMillan Island 6",5,40,94,4,113,61,2,319,518
59016,"Langley--Aldergrove/Langley--Aldergrove"," 47","Langley",4,29,83,3,92,41,0,252,542
59016,"Langley--Aldergrove/Langley--Aldergrove"," 48","Langley",7,17,53,2,98,35,1,213,465
59016,"Langley--Aldergrove/Langley--Aldergrove"," 49","Langley",2,14,68,0,70,26,8,188,345
59016,"Langley--Aldergrove/Langley--Aldergrove"," 50","Langley",2,21,54,2,126,41,0,246,466
59016,"Langley--Aldergrove/Langley--Aldergrove"," 51","Langley",0,13,84,0,88,44,0,229,391
59016,"Langley--Aldergrove/Langley--Aldergrove"," 52","Walnut Grove",5,16,56,1,99,34,0,211,376
59016,"Langley--Aldergrove/Langley--Aldergrove"," 53","Langley",7,18,73,3,145,63,7,316,604
