Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leona Aglukkaq,Megan Pizzo Lyall,Mumilaaq Qaqqaq,Douglas Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
62001,"Nunavut/Nunavut"," 1","Grise Fiord",10,15,16,2,3,46,82
62001,"Nunavut/Nunavut"," 2","Resolute Bay",12,21,12,3,0,48,122
62001,"Nunavut/Nunavut"," 3A","Pond Inlet",69,118,140,11,0,338,498
62001,"Nunavut/Nunavut"," 3B","Pond Inlet",Results combined with No./Résultats combinés au n°3A,,,,,,358
62001,"Nunavut/Nunavut"," 4","Arctic Bay",42,48,43,3,1,137,403
62001,"Nunavut/Nunavut"," 5","Taloyoak",92,130,47,4,1,274,488
62001,"Nunavut/Nunavut"," 6","Clyde River",63,64,98,4,1,230,552
62001,"Nunavut/Nunavut"," 7","Qikiqtarjuaq",49,7,62,1,0,119,328
62001,"Nunavut/Nunavut"," 8A","Igloolik",28,43,143,3,4,221,504
62001,"Nunavut/Nunavut"," 8B","Igloolik",25,45,104,3,3,180,363
62001,"Nunavut/Nunavut"," 9A","Kugluktuk",62,40,29,3,7,141,395
62001,"Nunavut/Nunavut"," 9B","Kugluktuk",63,54,29,5,3,154,447
62001,"Nunavut/Nunavut"," 10A","Cambridge Bay",158,203,121,16,0,498,419
62001,"Nunavut/Nunavut"," 10B","Cambridge Bay",Results combined with No./Résultats combinés au n°10A,,,,,,436
62001,"Nunavut/Nunavut"," 10C","Cambridge Bay",Results combined with No./Résultats combinés au n°10A,,,,,,296
62001,"Nunavut/Nunavut"," 11A","Gjoa Haven",98,22,34,3,2,159,399
62001,"Nunavut/Nunavut"," 11B","Gjoa Haven",71,29,23,4,0,127,310
62001,"Nunavut/Nunavut"," 12","Kugaaruk",75,34,66,3,1,179,511
62001,"Nunavut/Nunavut"," 13","Hall Beach",42,49,75,5,0,171,382
62001,"Nunavut/Nunavut"," 14","Repulse Bay",66,25,67,3,2,163,485
62001,"Nunavut/Nunavut"," 15A","Cape Dorset",64,51,69,6,3,193,317
62001,"Nunavut/Nunavut"," 15B","Cape Dorset",Results combined with No./Résultats combinés au n°15A,,,,,,306
62001,"Nunavut/Nunavut"," 16A","Pangnirtung",33,31,75,1,1,141,392
62001,"Nunavut/Nunavut"," 16B","Pangnirtung",33,30,47,0,0,110,333
62001,"Nunavut/Nunavut"," 17A","Iqaluit",35,59,89,1,0,184,476
62001,"Nunavut/Nunavut"," 17B","Iqaluit",36,81,109,11,3,240,529
62001,"Nunavut/Nunavut"," 17C","Iqaluit",52,104,116,6,1,279,656
62001,"Nunavut/Nunavut"," 17D","Iqaluit",35,68,76,1,1,181,469
62001,"Nunavut/Nunavut"," 17E","Iqaluit",24,65,80,1,2,172,467
62001,"Nunavut/Nunavut"," 17F","Iqaluit",52,100,131,8,2,293,610
62001,"Nunavut/Nunavut"," 17G","Iqaluit",40,71,87,5,1,204,547
62001,"Nunavut/Nunavut"," 17H","Iqaluit",67,135,140,10,3,355,367
62001,"Nunavut/Nunavut"," 17I","Iqaluit",Results combined with No./Résultats combinés au n°17H,,,,,,552
62001,"Nunavut/Nunavut"," 17J","Iqaluit",37,72,85,3,0,197,506
62001,"Nunavut/Nunavut"," 18","Kimmirut",49,24,50,8,2,133,225
62001,"Nunavut/Nunavut"," 19A","Baker Lake",69,54,281,8,0,412,321
62001,"Nunavut/Nunavut"," 19B","Baker Lake",Results combined with No./Résultats combinés au n°19A,,,,,,388
62001,"Nunavut/Nunavut"," 19C","Baker Lake",Results combined with No./Résultats combinés au n°19A,,,,,,348
62001,"Nunavut/Nunavut"," 20","Chesterfield Inlet",29,34,63,1,0,127,225
62001,"Nunavut/Nunavut"," 21A","Rankin Inlet",65,107,132,6,0,310,375
62001,"Nunavut/Nunavut"," 21B","Rankin Inlet",Results combined with No./Résultats combinés au n°21A,,,,,,436
62001,"Nunavut/Nunavut"," 21C","Rankin Inlet",51,47,85,2,4,189,472
62001,"Nunavut/Nunavut"," 21D","Rankin Inlet",35,58,96,3,2,194,433
62001,"Nunavut/Nunavut"," 22","Coral Harbour",43,20,66,1,0,130,441
62001,"Nunavut/Nunavut"," 23","Whale Cove",27,17,46,0,1,91,254
62001,"Nunavut/Nunavut"," 24A","Arviat",38,32,62,1,6,139,358
62001,"Nunavut/Nunavut"," 24B","Arviat",43,37,44,1,1,126,437
62001,"Nunavut/Nunavut"," 24C","Arviat",29,16,28,1,4,78,406
