Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jamil Azzaoui,Christine Bui,Lise des Greniers,Michel Duchesne,Steven Guilbeault,Serge Lachapelle,Nimâ Machouf,Archie Morals,Dimitri Mourkes,Adrien Welsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 1","Montréal",13,2,6,73,94,0,65,3,0,0,1,257,504
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 2","Montréal",30,2,13,75,94,2,76,2,0,0,4,298,584
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 3","Montréal",11,1,7,53,74,1,53,0,0,1,3,204,439
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 4","Montréal",23,0,9,66,106,0,84,1,0,1,4,294,592
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 5","Montréal",17,3,14,82,79,1,84,0,1,0,4,285,621
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 6","Montréal",12,1,29,47,107,1,49,1,0,2,5,254,550
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 7","Montréal",13,2,7,83,104,1,45,1,0,0,4,260,533
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 8","Montréal",16,1,15,72,110,1,85,4,2,0,4,310,611
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 9","Montréal",19,5,4,69,118,0,74,1,0,0,4,294,585
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 10","Montréal",9,3,9,34,44,1,8,1,0,1,3,113,329
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 11","Montréal",14,0,5,22,48,0,47,3,0,1,5,145,298
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 12","Montréal",10,0,8,47,94,0,46,1,1,0,0,207,543
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 13","Montréal",16,4,8,62,105,0,82,0,0,1,4,282,583
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 14","Montréal",9,0,3,56,110,1,47,1,0,0,1,228,542
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 15","Montréal",8,0,2,26,44,0,41,0,0,0,1,122,216
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 16","Montréal",22,3,5,90,143,1,81,0,0,0,2,347,613
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 17","Montréal",11,2,5,78,134,1,150,3,1,0,0,385,635
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 18","Montréal",15,1,3,85,102,0,79,2,0,0,1,288,513
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 19","Montréal",12,2,0,57,103,0,79,0,0,0,1,254,438
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 20","Montréal",19,2,2,84,130,1,124,1,0,0,1,364,615
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 21","Montréal",24,4,2,79,104,2,93,1,0,0,2,311,524
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 22","Montréal",22,1,2,88,121,0,123,0,0,0,6,363,643
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 23","Montréal",22,1,1,66,148,1,109,3,0,0,2,353,564
24039,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 24","Montréal",23,4,1,83,117,0,106,2,0,0,1,337,593
