Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Clifford Albert,Xavier Barsalou-Duval,Simon Chalifoux,Mathieu Daviault,Sean English,Dany Gariépy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 1","Contrecoeur",1,189,53,29,17,9,8,306,501
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 2","Contrecoeur",1,137,52,10,12,10,2,224,422
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 3","Contrecoeur",0,137,16,19,7,3,7,189,421
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 4","Contrecoeur",5,202,64,37,20,19,9,356,636
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 5","Contrecoeur",0,118,40,19,15,11,6,209,438
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 6","Contrecoeur",1,103,25,15,7,5,3,159,412
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 7","Contrecoeur",0,177,58,24,21,17,2,299,668
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 8","Contrecoeur",0,121,21,15,5,11,4,177,415
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 9","Contrecoeur",1,98,15,10,7,2,2,135,365
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 10","Contrecoeur",0,97,23,14,13,7,0,154,406
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 11","Contrecoeur",0,84,24,13,4,13,5,143,357
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 12","Contrecoeur",1,110,20,18,12,9,4,174,428
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 13","Contrecoeur",2,142,60,24,17,23,7,275,474
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 14","Contrecoeur",0,201,100,37,21,13,3,375,616
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 15","Contrecoeur",1,110,22,13,12,10,1,169,356
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 16","Saint-Antoine-sur-Richelieu",1,126,29,13,7,1,0,177,290
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 17","Saint-Antoine-sur-Richelieu",1,126,33,16,13,4,0,193,322
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 18","Saint-Antoine-sur-Richelieu",2,137,54,15,23,17,6,254,408
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 19","Saint-Antoine-sur-Richelieu",2,112,54,22,8,15,4,217,345
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 20","Saint-Denis-sur-Richelieu",2,149,45,21,14,7,1,239,431
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 21","Saint-Denis-sur-Richelieu",2,177,49,17,17,8,7,277,433
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 22","Saint-Denis-sur-Richelieu",1,151,36,23,33,11,5,260,396
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 23","Saint-Denis-sur-Richelieu",1,97,15,22,7,5,4,151,284
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 24","Saint-Denis-sur-Richelieu",1,126,41,19,7,4,2,200,327
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 25","Verchères",3,175,65,15,9,19,6,292,431
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 26","Verchères",1,143,28,19,13,12,3,219,376
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 27","Verchères",0,74,18,9,10,8,4,123,285
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 28","Verchères",0,133,33,16,7,9,3,201,384
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 29","Verchères",0,60,24,10,6,14,2,116,267
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 30","Verchères",1,101,24,23,11,13,2,175,387
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 31","Verchères",2,95,20,12,13,8,3,153,279
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 32","Verchères",2,106,26,4,7,7,2,154,302
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 33","Verchères",0,100,35,19,10,8,2,174,357
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 34","Verchères",1,143,42,8,13,15,7,229,359
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 35","Verchères",2,141,40,13,7,8,1,212,366
24014,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 36","Verchères",1,109,31,12,10,7,3,173,331
