Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Olivier Guérin,Laura Horth-Lepage,Jean Landry,Olivier Nolin,Marc Patry,Alain Rayes,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 401","Victoriaville",1,2,2,28,39,77,14,163,153
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 402","Victoriaville",3,0,4,17,38,45,11,118,138
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 403","Asbestos",1,1,5,31,74,42,2,156,210
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 500","Mobile poll/Bureau itinérant",1,2,1,23,43,96,7,173,279
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 501","Mobile poll/Bureau itinérant",0,0,2,11,10,33,4,60,136
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 502","Mobile poll/Bureau itinérant",4,0,4,11,12,31,7,69,118
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 503A","Mobile poll/Bureau itinérant",1,1,2,11,20,28,6,69,163
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 503B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,,41
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 504","Mobile poll/Bureau itinérant",0,5,2,9,10,15,6,47,53
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 505","Mobile poll/Bureau itinérant",1,5,4,28,59,33,10,140,249
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 600","Daveluyville",2,10,5,78,33,148,5,281,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 601","Daveluyville",9,8,4,57,43,149,4,274,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 602","Victoriaville",43,44,8,217,123,525,17,977,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 603","Victoriaville",26,32,9,182,79,427,11,766,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 604","Victoriaville",27,35,3,138,38,334,4,579,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 605","Victoriaville",27,35,6,212,109,441,20,850,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 606","Victoriaville",44,57,11,258,152,556,19,1097,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 607","Victoriaville",20,40,6,183,145,429,9,832,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 608","Victoriaville",15,22,3,156,94,377,6,673,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 609","Victoriaville",13,23,11,112,52,272,5,488,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 610","Victoriaville",29,20,3,165,97,350,10,674,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 611","Victoriaville",16,21,7,148,50,425,7,674,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 612","Victoriaville",26,37,7,192,87,434,12,795,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 613","St-Albert",8,7,2,59,26,119,5,226,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 614","St-Albert",7,7,4,57,33,100,7,215,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 615","Kingsey Falls",16,24,5,133,93,254,12,537,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 616","Kingsey Falls",34,27,4,139,90,195,7,496,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 617","Ham-Nord",8,28,1,68,51,105,4,265,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 618","Asbestos",9,16,1,84,26,112,7,255,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 619","Asbestos",37,21,8,246,115,352,15,794,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 620","Asbestos",27,47,12,268,162,418,22,956,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 621","Danville",15,13,1,100,57,143,4,333,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 622","Richmond",19,22,2,116,149,188,8,504,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 623","Richmond",39,39,9,144,150,162,8,551,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 624","Windsor",24,26,6,165,116,215,7,559,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 625","Windsor",18,27,2,214,95,188,5,549,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 626","Saint-François-Xavier-de-Brompton--Saint-Denis-de-Brompton",24,21,0,190,71,158,11,475,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 627","Saint-François-Xavier-de-Brompton--Saint-Denis-de-Brompton",35,49,8,275,167,134,13,681,
24061,"Richmond--Arthabaska/Richmond--Arthabaska",,Group 1/Groupe 1, 2,12,0,8,27,13,1,63,60
24061,"Richmond--Arthabaska/Richmond--Arthabaska",,Group 2/Groupe 2, 70,89,13,242,171,599,23,1207,
