Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Caron,Laurel Collins,Alyson Culbert,Robert Duncan,Racelle Kooy,Nikki Macdonald,Jordan Reichert,Keith Rosenberg,David Shebib,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59041,"Victoria/Victoria"," 1","Victoria",27,88,1,0,41,49,1,0,0,4,211,527
59041,"Victoria/Victoria"," 2","Victoria",23,102,3,0,48,27,1,0,0,1,205,500
59041,"Victoria/Victoria"," 3","Victoria",17,90,5,0,48,41,0,0,0,0,201,468
59041,"Victoria/Victoria"," 4","Victoria",29,125,4,1,51,62,2,2,2,1,279,902
59041,"Victoria/Victoria"," 5","Victoria",23,75,3,0,38,27,2,1,0,1,170,481
59041,"Victoria/Victoria"," 6","Saanich",28,64,0,0,62,34,0,0,0,4,192,442
59041,"Victoria/Victoria"," 7","Saanich",41,76,3,0,110,71,0,0,1,0,302,610
59041,"Victoria/Victoria"," 8","Saanich",42,81,3,3,81,65,0,0,1,1,277,545
59041,"Victoria/Victoria"," 9","Saanich",38,73,7,0,72,42,1,0,0,1,234,427
59041,"Victoria/Victoria"," 10","Saanich",48,82,6,0,69,51,0,0,0,1,257,486
59041,"Victoria/Victoria"," 11","Saanich",19,48,1,0,46,32,0,0,0,0,146,311
59041,"Victoria/Victoria"," 12","Victoria",23,100,0,0,64,36,0,1,0,0,224,527
59041,"Victoria/Victoria"," 13","Victoria",10,78,1,1,58,31,0,0,0,0,179,445
59041,"Victoria/Victoria"," 14","Victoria",24,96,2,0,56,35,0,0,0,0,213,472
59041,"Victoria/Victoria"," 15","Victoria",31,101,4,0,97,72,2,0,0,1,308,664
59041,"Victoria/Victoria"," 16","Victoria",13,74,3,0,42,21,1,0,0,0,154,408
59041,"Victoria/Victoria"," 17","Victoria",26,81,3,0,61,40,1,1,0,1,214,576
59041,"Victoria/Victoria"," 18","Victoria",28,93,3,0,71,28,0,1,1,0,225,501
59041,"Victoria/Victoria"," 19","Victoria",14,69,0,1,70,58,1,0,0,0,213,471
59041,"Victoria/Victoria"," 20","Victoria",6,65,4,1,50,21,2,0,0,0,149,344
59041,"Victoria/Victoria"," 21","Victoria",13,50,0,0,26,23,0,0,0,0,112,403
59041,"Victoria/Victoria"," 22","Victoria",35,54,0,0,48,40,1,0,1,0,179,463
59041,"Victoria/Victoria"," 23","Victoria",23,91,6,0,31,33,0,0,0,1,185,507
59041,"Victoria/Victoria"," 24","Victoria",25,50,1,1,41,51,2,0,1,0,172,542
59041,"Victoria/Victoria"," 25","Victoria",28,73,2,0,49,28,0,1,1,0,182,604
59041,"Victoria/Victoria"," 26","Victoria",17,69,2,0,48,48,1,0,0,0,185,551
59041,"Victoria/Victoria"," 27","Victoria",21,52,1,1,25,21,0,0,0,1,122,421
59041,"Victoria/Victoria"," 28","Victoria",7,96,3,0,51,45,0,0,0,2,204,519
59041,"Victoria/Victoria"," 29","Victoria",22,48,1,1,30,41,0,0,0,4,147,469
59041,"Victoria/Victoria"," 30","Victoria",29,129,5,0,82,68,1,0,0,2,316,600
59041,"Victoria/Victoria"," 31","Victoria",8,80,1,0,48,42,0,0,0,1,180,354
59041,"Victoria/Victoria"," 32","Victoria",21,77,1,2,23,41,1,0,0,1,167,418
59041,"Victoria/Victoria"," 33","Victoria",19,104,5,1,56,37,3,0,0,0,225,474
59041,"Victoria/Victoria"," 34","Victoria",7,98,2,0,45,31,0,2,1,2,188,547
59041,"Victoria/Victoria"," 35","Victoria",27,146,7,1,57,40,1,0,0,0,279,632
59041,"Victoria/Victoria"," 36","Victoria",24,127,1,0,67,39,2,0,2,0,262,606
59041,"Victoria/Victoria"," 37","Victoria",14,135,4,0,70,23,0,0,1,0,247,595
59041,"Victoria/Victoria"," 38","Saanich",41,68,3,0,77,49,1,1,0,0,240,490
59041,"Victoria/Victoria"," 39","Victoria",20,94,3,0,47,47,0,0,1,0,212,516
59041,"Victoria/Victoria"," 40","Victoria",17,69,4,1,48,28,2,0,0,3,172,555
59041,"Victoria/Victoria"," 41","Saanich",31,84,2,0,64,59,2,0,0,1,243,561
59041,"Victoria/Victoria"," 42","Victoria",20,78,5,1,67,41,0,0,0,2,214,533
59041,"Victoria/Victoria"," 43","Saanich",29,61,3,0,87,38,1,0,1,1,221,580
59041,"Victoria/Victoria"," 44","Victoria",14,77,1,0,46,28,0,0,1,3,170,410
59041,"Victoria/Victoria"," 45","Saanich",21,73,4,0,78,53,0,0,1,0,230,516
59041,"Victoria/Victoria"," 46","Victoria",26,83,9,2,60,50,1,2,0,2,235,592
59041,"Victoria/Victoria"," 47","Victoria",36,75,5,1,46,52,1,0,0,0,216,554
59041,"Victoria/Victoria"," 48","Victoria",24,109,2,0,51,29,0,0,1,0,216,473
59041,"Victoria/Victoria"," 49","Victoria",26,100,1,0,58,73,0,0,1,0,259,558
59041,"Victoria/Victoria"," 50","Victoria",29,18,1,0,16,54,2,0,0,1,121,413
59041,"Victoria/Victoria"," 51","Victoria",54,52,1,0,50,65,0,0,0,1,223,553
59041,"Victoria/Victoria"," 52","Victoria",56,50,4,0,36,98,0,0,1,1,246,681
59041,"Victoria/Victoria"," 53","Saanich",58,121,4,1,84,62,0,0,0,1,331,555
59041,"Victoria/Victoria"," 54","Saanich",47,47,2,0,98,64,2,0,3,1,264,528
59041,"Victoria/Victoria"," 55","Saanich",67,69,3,0,103,77,1,1,1,0,322,550
59041,"Victoria/Victoria"," 56","Saanich",59,61,5,0,77,62,0,0,0,0,264,593
59041,"Victoria/Victoria"," 57","Saanich",64,36,1,0,64,84,0,0,0,0,249,524
59041,"Victoria/Victoria"," 58","Saanich",67,44,1,1,91,78,0,0,1,0,283,517
