Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sarah Chung,Gregory Hines,Alan Ho,Elvin Kao,Bob Saroya,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35056,"Markham--Unionville/Markham--Unionville"," 1","Markham",2,11,45,6,75,2,141,320
35056,"Markham--Unionville/Markham--Unionville"," 2","Markham",3,11,95,7,139,3,258,606
35056,"Markham--Unionville/Markham--Unionville"," 3","Markham",2,17,84,8,132,2,245,546
35056,"Markham--Unionville/Markham--Unionville"," 4","Markham",1,24,97,9,83,1,215,504
35056,"Markham--Unionville/Markham--Unionville"," 5","Markham",5,11,100,5,98,0,219,476
35056,"Markham--Unionville/Markham--Unionville"," 6","Markham",5,18,104,6,135,2,270,621
35056,"Markham--Unionville/Markham--Unionville"," 7","Markham",3,15,99,10,70,4,201,498
35056,"Markham--Unionville/Markham--Unionville"," 8","Markham",1,14,68,3,71,3,160,444
35056,"Markham--Unionville/Markham--Unionville"," 9","Markham",4,17,96,9,117,4,247,609
35056,"Markham--Unionville/Markham--Unionville"," 10","Markham",3,8,77,6,190,5,289,626
35056,"Markham--Unionville/Markham--Unionville"," 11","Markham",2,11,72,8,100,4,197,477
35056,"Markham--Unionville/Markham--Unionville"," 12","Markham",5,17,103,10,124,2,261,585
35056,"Markham--Unionville/Markham--Unionville"," 13","Markham",4,13,59,9,106,2,193,483
35056,"Markham--Unionville/Markham--Unionville"," 14","Markham",4,12,91,6,112,3,228,577
35056,"Markham--Unionville/Markham--Unionville"," 15","Markham",2,16,81,8,111,3,221,591
35056,"Markham--Unionville/Markham--Unionville"," 16","Markham",5,16,59,7,96,1,184,428
35056,"Markham--Unionville/Markham--Unionville"," 17","Markham",7,16,93,4,134,0,254,641
35056,"Markham--Unionville/Markham--Unionville"," 18","Markham",0,10,70,15,85,0,180,444
35056,"Markham--Unionville/Markham--Unionville"," 19","Markham",0,8,85,6,93,0,192,544
35056,"Markham--Unionville/Markham--Unionville"," 20","Markham",4,11,71,16,162,1,265,640
35056,"Markham--Unionville/Markham--Unionville"," 21","Markham",4,12,72,10,98,2,198,547
35056,"Markham--Unionville/Markham--Unionville"," 22","Markham",2,29,122,15,93,2,263,707
35056,"Markham--Unionville/Markham--Unionville"," 23","Markham",5,20,92,10,122,4,253,585
35056,"Markham--Unionville/Markham--Unionville"," 24","Markham",2,30,112,9,76,3,232,556
35056,"Markham--Unionville/Markham--Unionville"," 25","Markham",12,15,73,6,74,0,180,437
35056,"Markham--Unionville/Markham--Unionville"," 26","Markham",2,14,65,6,67,2,156,433
35056,"Markham--Unionville/Markham--Unionville"," 27","Markham",2,15,98,4,97,2,218,547
35056,"Markham--Unionville/Markham--Unionville"," 28","Markham",5,10,95,4,94,4,212,521
35056,"Markham--Unionville/Markham--Unionville"," 29","Markham",10,8,92,11,105,4,230,514
35056,"Markham--Unionville/Markham--Unionville"," 30","Markham",1,19,96,8,107,2,233,488
35056,"Markham--Unionville/Markham--Unionville"," 31","Markham",2,13,75,11,87,3,191,550
35056,"Markham--Unionville/Markham--Unionville"," 32","Markham",6,23,94,14,118,1,256,586
35056,"Markham--Unionville/Markham--Unionville"," 33","Markham",3,21,107,8,110,1,250,553
35056,"Markham--Unionville/Markham--Unionville"," 34","Markham",0,18,47,3,77,2,147,391
35056,"Markham--Unionville/Markham--Unionville"," 35","Markham",3,20,90,10,124,4,251,571
35056,"Markham--Unionville/Markham--Unionville"," 36","Markham",4,14,59,6,90,1,174,507
35056,"Markham--Unionville/Markham--Unionville"," 37","Markham",3,14,72,9,71,7,176,471
35056,"Markham--Unionville/Markham--Unionville"," 38","Markham",4,20,109,16,76,3,228,534
35056,"Markham--Unionville/Markham--Unionville"," 39","Markham",6,22,78,3,142,0,251,642
35056,"Markham--Unionville/Markham--Unionville"," 40","Markham",3,16,114,8,79,8,228,495
35056,"Markham--Unionville/Markham--Unionville"," 41","Markham",0,9,79,11,115,5,219,613
35056,"Markham--Unionville/Markham--Unionville"," 42","Markham",2,17,52,6,92,1,170,409
35056,"Markham--Unionville/Markham--Unionville"," 43","Markham",3,8,56,3,84,2,156,441
35056,"Markham--Unionville/Markham--Unionville"," 44","Markham",9,14,56,11,100,2,192,469
35056,"Markham--Unionville/Markham--Unionville"," 45","Markham",7,12,61,4,83,2,169,474
35056,"Markham--Unionville/Markham--Unionville"," 46","Markham",7,12,60,2,61,0,142,419
35056,"Markham--Unionville/Markham--Unionville"," 47","Markham",5,21,59,6,74,3,168,468
35056,"Markham--Unionville/Markham--Unionville"," 48","Markham",4,11,41,2,99,4,161,428
35056,"Markham--Unionville/Markham--Unionville"," 49","Markham",4,16,65,7,90,0,182,621
35056,"Markham--Unionville/Markham--Unionville"," 50","Markham",7,13,72,9,112,4,217,638
35056,"Markham--Unionville/Markham--Unionville"," 51","Markham",2,8,109,23,74,8,224,608
35056,"Markham--Unionville/Markham--Unionville"," 52","Markham",4,13,73,5,87,2,184,405
35056,"Markham--Unionville/Markham--Unionville"," 53","Markham",5,11,50,7,82,0,155,367
35056,"Markham--Unionville/Markham--Unionville"," 54","Markham",1,13,59,5,87,3,168,432
35056,"Markham--Unionville/Markham--Unionville"," 55","Markham",6,12,62,15,80,4,179,390
35056,"Markham--Unionville/Markham--Unionville"," 56","Markham",1,15,65,11,135,1,228,441
35056,"Markham--Unionville/Markham--Unionville"," 57","Markham",1,17,73,11,92,4,198,463
35056,"Markham--Unionville/Markham--Unionville"," 58","Markham",5,10,92,9,90,0,206,481
35056,"Markham--Unionville/Markham--Unionville"," 59","Markham",3,10,91,8,107,0,219,500
35056,"Markham--Unionville/Markham--Unionville"," 60","Markham",4,10,71,9,131,1,226,553
35056,"Markham--Unionville/Markham--Unionville"," 61","Markham",9,12,94,4,115,0,234,540
35056,"Markham--Unionville/Markham--Unionville"," 62","Markham",0,11,57,20,101,2,191,518
35056,"Markham--Unionville/Markham--Unionville"," 63","Markham",2,12,68,15,133,2,232,656
35056,"Markham--Unionville/Markham--Unionville"," 64","Markham",3,17,74,7,126,3,230,484
35056,"Markham--Unionville/Markham--Unionville"," 65","Markham",0,13,89,6,107,1,216,598
35056,"Markham--Unionville/Markham--Unionville"," 66","Markham",4,14,63,10,128,4,223,572
35056,"Markham--Unionville/Markham--Unionville"," 67","Markham",1,14,76,8,127,0,226,593
35056,"Markham--Unionville/Markham--Unionville"," 68","Markham",6,11,61,8,87,0,173,592
35056,"Markham--Unionville/Markham--Unionville"," 69","Markham",6,11,76,10,129,2,234,618
35056,"Markham--Unionville/Markham--Unionville"," 70","Markham",6,18,77,16,116,1,234,550
35056,"Markham--Unionville/Markham--Unionville"," 71","Markham",6,31,88,13,146,4,288,742
35056,"Markham--Unionville/Markham--Unionville"," 72","Markham",7,24,56,9,102,1,199,443
35056,"Markham--Unionville/Markham--Unionville"," 73","Markham",3,12,74,6,87,0,182,458
35056,"Markham--Unionville/Markham--Unionville"," 74","Markham",5,13,87,16,126,0,247,551
35056,"Markham--Unionville/Markham--Unionville"," 75","Markham",5,10,76,14,167,2,274,613
35056,"Markham--Unionville/Markham--Unionville"," 76","Markham",4,14,64,12,86,5,185,414
35056,"Markham--Unionville/Markham--Unionville"," 77","Markham",6,8,61,1,80,0,156,413
35056,"Markham--Unionville/Markham--Unionville"," 78","Markham",2,5,91,2,64,0,164,451
35056,"Markham--Unionville/Markham--Unionville"," 79","Markham",2,13,80,8,79,1,183,393
35056,"Markham--Unionville/Markham--Unionville"," 80","Markham",3,17,97,6,102,1,226,515
35056,"Markham--Unionville/Markham--Unionville"," 81","Markham",2,13,55,15,82,1,168,447
