Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lily Eggink,Diane Finley,Bob Forbes,Kim Huffman,Brooke Martin,Adrienne Roberts,Harold Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 1","Haldimand County",5,124,5,69,14,43,1,0,261,515
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 2","Haldimand County",1,110,3,43,11,45,1,4,218,373
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 3A","Haldimand County",0,53,4,62,11,47,0,2,179,406
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 3B","Haldimand County",1,62,7,56,10,44,0,1,181,420
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 3C","Haldimand County",4,67,0,50,17,52,0,0,190,408
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 4","Haldimand County",2,64,4,56,12,19,0,0,157,313
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 5","Haldimand County",0,68,2,58,19,35,0,0,182,411
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 6","Haldimand County",1,54,5,48,12,40,2,1,163,374
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 7","Haldimand County",3,54,4,39,20,33,0,0,153,389
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 8","Haldimand County",0,66,3,55,12,61,0,2,199,457
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 9","Haldimand County",0,62,4,66,15,33,1,3,184,378
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 10","Haldimand County",4,145,12,66,18,68,0,0,313,582
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 11","Haldimand County",0,74,8,84,17,43,1,0,227,468
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 12","Haldimand County",3,70,5,70,13,45,1,1,208,440
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 13","Haldimand County",1,92,5,83,22,52,1,1,257,576
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 14","Haldimand County",0,124,8,71,13,40,0,0,256,493
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 15","Haldimand County",1,67,5,71,25,43,0,1,213,461
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 16","Haldimand County",0,76,4,56,7,54,2,1,200,380
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 17","Haldimand County",3,97,5,76,16,59,0,0,256,465
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 18","Haldimand County",3,82,6,74,18,50,0,2,235,435
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 19","Haldimand County",1,60,5,78,11,39,1,1,196,446
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 20","Haldimand County",1,79,9,73,12,68,0,2,244,459
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 21","Haldimand County",2,106,7,86,18,73,0,2,294,567
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 22","Haldimand County",0,115,7,71,16,43,1,0,253,540
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 23","Haldimand County",3,143,12,90,15,50,0,5,318,580
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 24","Haldimand County",5,118,3,35,9,32,0,2,204,357
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 25","Haldimand County",4,124,5,26,13,22,0,0,194,341
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 26","Haldimand County",15,126,8,22,12,27,0,0,210,344
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 27","Haldimand County",22,118,7,23,6,20,0,5,201,404
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 28","Haldimand County",23,128,1,39,14,32,0,2,239,371
