Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michelle Dockrill,Clive Doucet,Billy Joyce,Mike Kelloway,Darlene Lynn LeBlanc,Alfie MacLeod,Laurie Suitor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12001,"Cape Breton--Canso/Cape Breton--Canso"," 1","Chéticamp",3,33,3,68,1,31,14,6,159,269
12001,"Cape Breton--Canso/Cape Breton--Canso"," 2","Belle-Marche",1,25,1,67,0,47,27,3,171,259
12001,"Cape Breton--Canso/Cape Breton--Canso"," 3","Chéticamp",0,25,4,93,1,41,19,1,184,321
12001,"Cape Breton--Canso/Cape Breton--Canso"," 4","Plateau",5,29,3,80,1,67,24,2,211,337
12001,"Cape Breton--Canso/Cape Breton--Canso"," 5","Chéticamp",1,27,1,57,1,19,10,4,120,219
12001,"Cape Breton--Canso/Cape Breton--Canso"," 6","Donkin",0,4,2,29,0,55,17,2,109,305
12001,"Cape Breton--Canso/Cape Breton--Canso"," 7","Belle-Marche",1,47,7,106,1,61,14,7,244,384
12001,"Cape Breton--Canso/Cape Breton--Canso"," 8","Cape Breton",9,13,3,83,2,93,42,12,257,436
12001,"Cape Breton--Canso/Cape Breton--Canso"," 9","Cape Breton",2,4,1,49,3,60,39,1,159,310
12001,"Cape Breton--Canso/Cape Breton--Canso"," 10","Cape Breton",3,10,3,49,1,52,37,0,155,330
12001,"Cape Breton--Canso/Cape Breton--Canso"," 11","Cape Breton",0,9,0,69,0,103,41,4,226,400
12001,"Cape Breton--Canso/Cape Breton--Canso"," 12","Cape Breton",3,12,3,62,0,59,34,0,173,347
12001,"Cape Breton--Canso/Cape Breton--Canso"," 13","Cape Breton",3,12,1,70,0,36,29,0,151,380
12001,"Cape Breton--Canso/Cape Breton--Canso"," 14","Cape Breton",10,16,3,67,0,61,42,8,207,423
12001,"Cape Breton--Canso/Cape Breton--Canso"," 15","Cape Breton",1,9,1,94,1,63,49,1,219,419
12001,"Cape Breton--Canso/Cape Breton--Canso"," 16","Cape Breton",2,13,1,94,0,62,37,1,210,432
12001,"Cape Breton--Canso/Cape Breton--Canso"," 17","Cape Breton",5,7,3,99,2,54,45,9,224,460
12001,"Cape Breton--Canso/Cape Breton--Canso"," 18","Cape Breton",1,9,6,65,0,67,33,2,183,362
12001,"Cape Breton--Canso/Cape Breton--Canso"," 19","Cape Breton",8,12,5,74,0,73,38,5,215,395
12001,"Cape Breton--Canso/Cape Breton--Canso"," 20","Cape Breton",6,17,3,83,1,79,66,3,258,499
12001,"Cape Breton--Canso/Cape Breton--Canso"," 21","Cape Breton",7,17,0,53,0,82,20,2,181,348
