Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephen Crozier,Kerry-Lynne Findlay,Beverly Pixie Hobby,Gordie Hogg,Joel Poulin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 1","Surrey",28,115,13,122,3,0,281,481
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 2","Surrey",51,142,18,122,4,2,339,575
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 3","Surrey",66,106,15,136,3,2,328,610
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 4","Surrey",36,64,9,123,2,1,235,444
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 5","Surrey",53,71,8,97,1,1,231,481
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 6","Surrey",29,91,6,102,2,1,231,417
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 7","Surrey",20,75,13,122,5,1,236,648
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 8","Surrey",13,96,9,81,2,0,201,403
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 9A","Surrey",15,69,12,53,3,2,154,423
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 9B","Surrey",22,47,7,67,1,3,147,404
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 10","Surrey",18,115,10,72,10,1,226,451
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 11","Surrey",3,103,3,31,5,0,145,352
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 12","Surrey",27,106,19,80,1,1,234,507
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 13","Surrey",34,134,5,91,3,0,267,584
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 14","Surrey",21,100,17,79,4,4,225,503
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 15","Surrey",19,104,13,79,6,1,222,537
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 16","Surrey",27,99,26,81,3,1,237,414
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 17","Surrey",14,92,18,76,0,1,201,433
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 18","Surrey",33,87,39,84,2,0,245,431
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 19","Surrey",27,90,23,91,5,0,236,443
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 20","Surrey",28,82,26,72,2,1,211,364
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 21","Surrey",18,76,20,78,7,0,199,331
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 22","Surrey",30,44,25,71,1,2,173,336
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 23","Surrey",18,120,19,77,0,1,235,404
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 24","Surrey",14,85,16,100,3,0,218,435
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 25","Surrey",27,83,24,98,2,0,234,401
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 26","Surrey",16,78,17,64,2,0,177,323
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 27","Surrey",23,64,11,49,0,1,148,344
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 28","Surrey",10,99,12,91,5,0,217,388
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 29","Surrey",26,84,12,69,2,1,194,368
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 30","Surrey",19,72,10,69,0,1,171,396
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 31","Surrey",18,127,7,70,3,0,225,556
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 32","Surrey",46,61,21,88,2,3,221,440
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 33","Surrey",16,81,11,62,3,1,174,420
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 34","Surrey",19,109,6,45,4,2,185,382
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 35","Surrey",38,90,16,96,4,2,246,593
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 36","Surrey",14,114,14,40,2,0,184,404
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 37","Surrey",7,83,7,49,1,2,149,381
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 38","Surrey",23,154,12,65,4,1,259,576
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 39","Surrey",13,97,12,47,1,0,170,482
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 40","Surrey",6,61,3,27,0,0,97,353
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 41","Surrey",21,74,15,75,3,0,188,421
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 42","Surrey",14,115,19,94,2,1,245,468
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 43","Surrey",17,125,14,76,1,0,233,466
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 44","Surrey",10,116,14,68,2,0,210,406
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 45","Surrey",30,79,16,80,3,1,209,410
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 46","Surrey",18,78,33,98,2,2,231,451
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 47","Surrey",26,99,33,99,4,1,262,501
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 48","Surrey",12,91,22,86,3,0,214,428
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 49","Surrey",10,95,5,46,0,0,156,429
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 50","Surrey",20,99,6,51,2,0,178,476
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 51","Surrey",30,131,11,96,3,0,271,650
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 52","Surrey",29,54,19,62,5,0,169,465
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 53","Surrey",37,105,14,110,2,1,269,564
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 54","Surrey",50,148,23,117,3,0,341,686
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 55","Surrey",19,73,13,70,3,0,178,431
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 56","Surrey",38,92,8,83,1,0,222,553
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 57","Surrey",31,77,14,61,4,0,187,505
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 58","Surrey",25,89,19,112,3,0,248,561
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 59","Surrey",50,112,16,114,1,1,294,668
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 60","Surrey",24,73,12,61,1,0,171,461
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 61","Surrey",51,78,32,78,2,2,243,540
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 62","Surrey",28,83,19,68,5,3,206,477
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 63","Surrey",21,106,10,68,0,1,206,512
