Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Travis Ashley,John Barr,Stephen Fuhr,Tracy Gray,Daniel Joseph,Justin Kulik,Silverado Socrates,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 93","Kelowna",9,0,86,95,0,20,0,1,211,461
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 94","Kelowna",11,0,86,100,0,28,0,0,225,528
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 95","Kelowna",12,1,92,102,1,32,1,0,241,515
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 96","Kelowna",17,5,89,111,0,14,0,2,238,506
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 97","Kelowna",20,4,92,130,0,24,1,0,271,612
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 98","Kelowna",7,1,87,77,0,23,0,0,195,457
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 99","Kelowna",23,7,82,68,0,52,0,0,232,448
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 100","Kelowna",6,2,67,85,0,21,1,1,183,508
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 101","Kelowna",4,0,53,66,0,13,0,1,137,385
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 102","Kelowna",21,5,54,81,2,39,0,0,202,580
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 103","Kelowna",11,5,65,120,0,47,0,0,248,555
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 104","Kelowna",22,6,64,90,2,34,0,0,218,553
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 105","Kelowna",18,6,67,83,1,36,1,0,212,497
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 106","Kelowna",17,4,77,99,5,49,1,2,254,573
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 107","Kelowna",19,7,72,93,1,47,0,0,239,551
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 108","Kelowna",14,5,69,97,1,26,0,0,212,536
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 109","Kelowna",22,5,82,61,1,56,1,0,228,499
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 110","Kelowna",15,7,49,89,3,44,1,0,208,487
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 111","Kelowna",24,3,53,111,2,44,0,0,237,573
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 112","Kelowna",24,3,86,89,1,55,0,1,259,551
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 113","Kelowna",17,13,78,78,0,37,2,2,227,508
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 114","Kelowna",10,1,76,72,3,36,1,1,200,456
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 115","Kelowna",16,6,47,86,0,36,0,1,192,474
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 116","Kelowna",23,7,48,64,2,30,0,4,178,550
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 117","Kelowna",15,6,63,75,0,53,0,0,212,517
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 118","Kelowna",12,5,58,67,2,31,0,2,177,508
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 119","Kelowna",19,4,40,58,0,41,0,1,163,454
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 120","Kelowna",18,11,50,73,4,31,1,0,188,508
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 121","Kelowna",9,5,53,68,1,32,1,1,170,427
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 122","Kelowna",18,5,74,70,0,33,0,2,202,530
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 123","Kelowna",14,5,50,72,1,64,0,1,207,519
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 124","Kelowna",18,3,45,70,2,32,1,2,173,416
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 125","Kelowna",11,4,57,76,1,35,1,1,186,443
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 126","Kelowna",10,6,60,94,1,22,0,1,194,449
