Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Byrne,Robert A. Campbell,Sean Casey,Darcie Lanthier,Fred MacLeod,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11002,"Charlottetown/Charlottetown"," 1","Charlottetown",40,62,112,82,1,2,299,473
11002,"Charlottetown/Charlottetown"," 2","Charlottetown",24,56,134,52,0,1,267,506
11002,"Charlottetown/Charlottetown"," 3","Charlottetown",28,48,102,46,0,1,225,358
11002,"Charlottetown/Charlottetown"," 4","Charlottetown",43,63,103,66,1,0,276,585
11002,"Charlottetown/Charlottetown"," 5","Charlottetown",33,55,123,69,3,0,283,573
11002,"Charlottetown/Charlottetown"," 6","Charlottetown",27,31,83,49,1,4,195,397
11002,"Charlottetown/Charlottetown"," 7","Charlottetown",18,46,46,24,0,0,134,329
11002,"Charlottetown/Charlottetown"," 8","Charlottetown",33,46,77,47,5,5,213,467
11002,"Charlottetown/Charlottetown"," 9","Charlottetown",39,67,106,59,1,1,273,519
11002,"Charlottetown/Charlottetown"," 10","Charlottetown",17,34,57,21,3,2,134,327
11002,"Charlottetown/Charlottetown"," 11","Charlottetown",31,78,138,70,2,6,325,582
11002,"Charlottetown/Charlottetown"," 12","Charlottetown",24,36,66,42,2,3,173,369
11002,"Charlottetown/Charlottetown"," 13","Charlottetown",31,51,171,47,1,4,305,553
11002,"Charlottetown/Charlottetown"," 14","Charlottetown",33,42,76,56,3,2,212,462
11002,"Charlottetown/Charlottetown"," 15","Charlottetown",24,42,88,43,1,2,200,399
11002,"Charlottetown/Charlottetown"," 16","Charlottetown",31,50,140,67,2,0,290,517
11002,"Charlottetown/Charlottetown"," 17","Charlottetown",19,43,95,33,1,5,196,356
11002,"Charlottetown/Charlottetown"," 18","Charlottetown",13,71,81,32,4,1,202,409
11002,"Charlottetown/Charlottetown"," 19","Charlottetown",29,65,87,63,0,0,244,373
11002,"Charlottetown/Charlottetown"," 20","Charlottetown",41,71,125,55,3,3,298,548
11002,"Charlottetown/Charlottetown"," 21","Charlottetown",28,77,106,45,2,5,263,507
11002,"Charlottetown/Charlottetown"," 22","Charlottetown",20,33,98,54,1,1,207,352
11002,"Charlottetown/Charlottetown"," 23","Charlottetown",21,37,113,53,1,5,230,383
11002,"Charlottetown/Charlottetown"," 24A","Charlottetown",8,27,35,27,1,1,99,226
11002,"Charlottetown/Charlottetown"," 24B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,37
11002,"Charlottetown/Charlottetown"," 24C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,74
11002,"Charlottetown/Charlottetown"," 25","Charlottetown",15,58,63,36,5,4,181,505
11002,"Charlottetown/Charlottetown"," 26","Charlottetown",21,26,65,33,0,0,145,339
11002,"Charlottetown/Charlottetown"," 27","Charlottetown",21,44,72,38,3,5,183,322
11002,"Charlottetown/Charlottetown"," 28","Charlottetown",14,50,82,29,0,1,176,337
11002,"Charlottetown/Charlottetown"," 29","Charlottetown",21,70,178,51,2,3,325,580
11002,"Charlottetown/Charlottetown"," 30","Charlottetown",21,47,74,38,1,3,184,353
11002,"Charlottetown/Charlottetown"," 31","Charlottetown",16,33,89,34,4,0,176,325
11002,"Charlottetown/Charlottetown"," 32","Charlottetown",36,72,108,74,0,4,294,571
11002,"Charlottetown/Charlottetown"," 33","Charlottetown",24,48,88,39,0,2,201,446
11002,"Charlottetown/Charlottetown"," 34","Charlottetown",17,27,46,25,3,0,118,332
11002,"Charlottetown/Charlottetown"," 35","Charlottetown",17,36,63,41,2,0,159,432
11002,"Charlottetown/Charlottetown"," 36","Charlottetown",15,35,59,26,1,1,137,429
11002,"Charlottetown/Charlottetown"," 37","Charlottetown",30,26,62,35,1,2,156,385
11002,"Charlottetown/Charlottetown"," 38","Charlottetown",42,34,72,43,3,1,195,484
11002,"Charlottetown/Charlottetown"," 39","Charlottetown",40,19,44,46,0,0,149,330
11002,"Charlottetown/Charlottetown"," 40","Charlottetown",25,25,66,38,1,1,156,347
11002,"Charlottetown/Charlottetown"," 41","Charlottetown",33,18,64,44,1,2,162,337
11002,"Charlottetown/Charlottetown"," 42","Charlottetown",23,45,84,47,1,2,202,480
11002,"Charlottetown/Charlottetown"," 43","Charlottetown",29,17,54,60,2,4,166,359
11002,"Charlottetown/Charlottetown"," 44","Charlottetown",48,43,107,62,1,2,263,499
11002,"Charlottetown/Charlottetown"," 45","Charlottetown",31,43,107,60,5,9,255,431
11002,"Charlottetown/Charlottetown"," 46","Charlottetown",38,36,84,74,2,2,236,482
11002,"Charlottetown/Charlottetown"," 47","Charlottetown",42,11,43,59,1,0,156,395
11002,"Charlottetown/Charlottetown"," 48","Charlottetown",23,9,41,39,0,0,112,298
11002,"Charlottetown/Charlottetown"," 49","Charlottetown",15,31,107,58,0,2,213,397
11002,"Charlottetown/Charlottetown"," 50","Charlottetown",11,47,94,23,1,5,181,422
11002,"Charlottetown/Charlottetown"," 51","Charlottetown",27,45,106,53,0,0,231,386
11002,"Charlottetown/Charlottetown"," 52","Charlottetown",25,40,94,60,0,0,219,407
11002,"Charlottetown/Charlottetown"," 53","Charlottetown",27,27,49,55,1,0,159,320
11002,"Charlottetown/Charlottetown"," 54","Charlottetown",18,22,50,42,0,0,132,302
11002,"Charlottetown/Charlottetown"," 55","Charlottetown",23,29,73,69,0,6,200,386
11002,"Charlottetown/Charlottetown"," 56","Charlottetown",36,26,86,105,3,3,259,515
11002,"Charlottetown/Charlottetown"," 57","Charlottetown",18,25,60,45,1,0,149,353
11002,"Charlottetown/Charlottetown"," 58","Charlottetown",14,29,82,49,0,0,174,340
11002,"Charlottetown/Charlottetown"," 59","Charlottetown",18,43,108,85,0,0,254,453
11002,"Charlottetown/Charlottetown"," 60","Charlottetown",18,38,115,46,0,0,217,428
11002,"Charlottetown/Charlottetown"," 61","Charlottetown",36,36,108,54,1,6,241,462
11002,"Charlottetown/Charlottetown"," 62","Charlottetown",29,31,86,60,1,1,208,415
11002,"Charlottetown/Charlottetown"," 63","Charlottetown",36,40,122,81,4,2,285,517
11002,"Charlottetown/Charlottetown"," 64","Charlottetown",29,36,90,57,0,2,214,388
11002,"Charlottetown/Charlottetown"," 500A","Mobile poll/Bureau itinérant",4,23,36,8,1,8,80,33
11002,"Charlottetown/Charlottetown"," 500B","Mobile poll/Bureau itinérant",3,31,38,11,2,0,85,146
11002,"Charlottetown/Charlottetown"," 501","Mobile poll/Bureau itinérant",5,29,63,11,0,20,128,166
11002,"Charlottetown/Charlottetown"," 502","Mobile poll/Bureau itinérant",7,19,49,18,2,3,98,188
11002,"Charlottetown/Charlottetown"," 503","Mobile poll/Bureau itinérant",3,33,43,11,2,9,101,159
11002,"Charlottetown/Charlottetown"," 600","Charlottetown",87,190,487,147,4,9,924,
