Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dean Allison,Ian Bingham,Harold Jonker,Miles Morton,Nameer Rahman,Terry Teather,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35068,"Niagara West/Niagara-Ouest"," 1","St. Catharines",87,45,5,1,20,15,1,174,454
35068,"Niagara West/Niagara-Ouest"," 2","St. Catharines",117,57,6,2,22,22,0,226,509
35068,"Niagara West/Niagara-Ouest"," 3","Lincoln",129,74,3,2,16,20,0,244,451
35068,"Niagara West/Niagara-Ouest"," 4","Grimsby",33,23,2,1,12,5,0,76,179
35068,"Niagara West/Niagara-Ouest"," 5A","Grimsby",92,101,2,1,30,13,2,241,529
35068,"Niagara West/Niagara-Ouest"," 5B","Grimsby",80,103,0,2,33,6,2,226,537
35068,"Niagara West/Niagara-Ouest"," 6","Grimsby",77,65,3,2,16,11,2,176,354
35068,"Niagara West/Niagara-Ouest"," 7","Grimsby",80,84,1,8,26,6,1,206,396
35068,"Niagara West/Niagara-Ouest"," 8","Grimsby",71,47,2,1,27,21,1,170,380
35068,"Niagara West/Niagara-Ouest"," 9","Grimsby",89,84,5,5,37,18,1,239,465
35068,"Niagara West/Niagara-Ouest"," 10","Grimsby",57,64,0,2,24,15,0,162,325
35068,"Niagara West/Niagara-Ouest"," 11","Grimsby",105,113,0,4,25,18,3,268,501
35068,"Niagara West/Niagara-Ouest"," 12","Grimsby",104,91,2,9,32,11,2,251,453
35068,"Niagara West/Niagara-Ouest"," 13","Grimsby",108,83,1,1,17,10,1,221,461
35068,"Niagara West/Niagara-Ouest"," 14","Grimsby",84,56,2,3,35,16,0,196,414
35068,"Niagara West/Niagara-Ouest"," 15","Grimsby",69,63,1,3,26,16,1,179,339
35068,"Niagara West/Niagara-Ouest"," 16","Grimsby",120,99,2,2,37,14,0,274,481
35068,"Niagara West/Niagara-Ouest"," 17","Grimsby",94,95,2,1,30,30,0,252,433
35068,"Niagara West/Niagara-Ouest"," 18","Grimsby",123,83,4,7,51,18,0,286,519
35068,"Niagara West/Niagara-Ouest"," 19","Grimsby",57,76,3,5,26,32,0,199,397
35068,"Niagara West/Niagara-Ouest"," 20","Grimsby",90,98,3,7,18,12,1,229,423
35068,"Niagara West/Niagara-Ouest"," 21","Grimsby",123,81,5,2,37,17,3,268,462
35068,"Niagara West/Niagara-Ouest"," 22","Grimsby",96,96,1,8,52,35,0,288,496
35068,"Niagara West/Niagara-Ouest"," 23","Grimsby",86,55,2,4,31,13,0,191,378
35068,"Niagara West/Niagara-Ouest"," 24","Grimsby",82,101,2,5,44,16,2,252,430
35068,"Niagara West/Niagara-Ouest"," 25","Grimsby",107,97,1,3,25,20,0,253,487
35068,"Niagara West/Niagara-Ouest"," 26","Lincoln",105,95,3,2,47,19,2,273,568
35068,"Niagara West/Niagara-Ouest"," 27","Lincoln",190,50,13,8,38,30,1,330,582
35068,"Niagara West/Niagara-Ouest"," 28","Lincoln",134,84,3,6,47,14,0,288,555
35068,"Niagara West/Niagara-Ouest"," 29","Lincoln",124,101,7,5,60,24,1,322,575
35068,"Niagara West/Niagara-Ouest"," 30","Grimsby",101,123,0,7,31,13,2,277,483
35068,"Niagara West/Niagara-Ouest"," 31","Grimsby",71,87,2,7,37,16,3,223,443
35068,"Niagara West/Niagara-Ouest"," 32","Grimsby",91,113,4,8,35,12,2,265,468
35068,"Niagara West/Niagara-Ouest"," 33","Grimsby",96,98,0,6,27,16,0,243,453
35068,"Niagara West/Niagara-Ouest"," 34","Grimsby",81,116,0,1,24,9,1,232,465
35068,"Niagara West/Niagara-Ouest"," 35","Grimsby",67,61,1,8,42,19,0,198,499
35068,"Niagara West/Niagara-Ouest"," 36","Grimsby",36,31,1,1,24,23,0,116,254
35068,"Niagara West/Niagara-Ouest"," 37","Grimsby",47,60,3,0,30,22,4,166,380
35068,"Niagara West/Niagara-Ouest"," 38","Grimsby",62,101,1,5,25,17,0,211,414
35068,"Niagara West/Niagara-Ouest"," 39","Grimsby",60,77,3,1,30,17,3,191,362
35068,"Niagara West/Niagara-Ouest"," 40","Grimsby",53,88,0,0,21,16,2,180,370
35068,"Niagara West/Niagara-Ouest"," 41","Grimsby",87,94,6,2,27,12,2,230,432
35068,"Niagara West/Niagara-Ouest"," 42","Grimsby",76,109,1,1,30,11,0,228,460
35068,"Niagara West/Niagara-Ouest"," 43","Grimsby",83,92,3,6,27,14,1,226,386
35068,"Niagara West/Niagara-Ouest"," 44","Grimsby",65,76,2,5,18,17,0,183,308
35068,"Niagara West/Niagara-Ouest"," 45","Grimsby",73,84,2,4,34,8,1,206,384
35068,"Niagara West/Niagara-Ouest"," 46","Grimsby",125,77,3,3,29,11,2,250,446
35068,"Niagara West/Niagara-Ouest"," 47","Lincoln",109,40,0,7,20,31,0,207,375
35068,"Niagara West/Niagara-Ouest"," 48","Lincoln",144,51,2,2,24,15,1,239,435
35068,"Niagara West/Niagara-Ouest"," 49","Lincoln",190,63,5,5,28,37,2,330,508
35068,"Niagara West/Niagara-Ouest"," 50","Lincoln",95,74,0,3,19,35,0,226,418
35068,"Niagara West/Niagara-Ouest"," 51","Grimsby",66,81,2,5,28,10,1,193,447
35068,"Niagara West/Niagara-Ouest"," 52","Grimsby",144,82,23,3,20,26,1,299,503
35068,"Niagara West/Niagara-Ouest"," 53","Grimsby",84,95,2,1,40,13,1,236,429
35068,"Niagara West/Niagara-Ouest"," 54","Grimsby",110,96,0,6,17,24,1,254,429
35068,"Niagara West/Niagara-Ouest"," 55","Grimsby",93,90,2,4,29,13,0,231,408
35068,"Niagara West/Niagara-Ouest"," 56","Grimsby",89,86,3,1,37,10,3,229,445
35068,"Niagara West/Niagara-Ouest"," 57","Grimsby",106,125,1,6,36,25,0,299,553
35068,"Niagara West/Niagara-Ouest"," 58","Grimsby",95,112,0,6,36,17,3,269,444
35068,"Niagara West/Niagara-Ouest"," 59","Lincoln",95,72,1,5,18,13,2,206,416
35068,"Niagara West/Niagara-Ouest"," 60","Lincoln",85,56,2,25,34,6,0,208,392
35068,"Niagara West/Niagara-Ouest"," 61","Lincoln",95,68,3,1,33,10,1,211,435
35068,"Niagara West/Niagara-Ouest"," 62","Lincoln",80,69,2,4,34,18,1,208,443
35068,"Niagara West/Niagara-Ouest"," 63","Lincoln",68,65,8,2,45,12,2,202,455
35068,"Niagara West/Niagara-Ouest"," 64","Lincoln",79,80,0,4,35,25,1,224,473
35068,"Niagara West/Niagara-Ouest"," 65","Lincoln",118,90,3,2,34,11,3,261,443
35068,"Niagara West/Niagara-Ouest"," 66","Lincoln",126,113,5,9,77,25,0,355,707
35068,"Niagara West/Niagara-Ouest"," 67","Lincoln",102,70,3,5,41,17,0,238,488
35068,"Niagara West/Niagara-Ouest"," 68","Lincoln",82,72,3,0,14,20,2,193,406
35068,"Niagara West/Niagara-Ouest"," 69","Lincoln",117,87,2,3,19,21,1,250,532
35068,"Niagara West/Niagara-Ouest"," 70","Lincoln",114,49,4,4,19,13,1,204,408
