Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Giovanni Abati,Dan Burr,Laura Chesnik,Leo Demarce,Cheryl Hardcastle,Irek Kusmierczyk,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 55","Windsor",8,3,1,20,38,39,3,112,361
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 56","Windsor",7,12,1,29,87,25,1,162,395
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 57","Windsor",13,1,0,80,71,106,1,272,565
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 58","Windsor",10,4,0,48,65,45,1,173,464
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 59","Windsor",8,9,0,47,64,52,1,181,484
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 60","Windsor",6,3,1,49,33,63,0,155,346
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 61","Windsor",8,1,0,71,45,95,0,220,440
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 62","Windsor",6,2,0,71,55,66,3,203,454
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 63","Windsor",3,2,2,41,35,88,2,173,386
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 64","Windsor",5,0,0,72,43,81,3,204,408
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 65","Windsor",5,0,1,62,39,67,0,174,373
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 66","Windsor",5,0,3,77,43,80,3,211,477
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 67","Tecumseh",4,2,1,53,62,64,0,186,392
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 68","Tecumseh",15,2,0,43,84,64,1,209,399
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 69","Tecumseh",7,0,0,58,48,62,0,175,363
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 70","Tecumseh",8,2,0,61,73,61,1,206,395
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 71","Tecumseh",4,5,0,41,49,35,0,134,372
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 72","Tecumseh",7,4,0,54,76,75,2,218,416
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 73","Tecumseh",6,4,0,39,45,55,1,150,346
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 74","Windsor",7,3,0,46,20,50,0,126,370
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 75","Windsor",3,4,0,57,61,90,0,215,440
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 76","Windsor",4,4,0,31,74,67,0,180,355
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 77","Windsor",2,7,2,44,52,59,2,168,383
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 78","Windsor",9,4,0,39,99,63,0,214,480
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 79","Windsor",10,2,0,59,95,43,1,210,390
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 80","Windsor",6,5,3,46,77,61,2,200,361
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 81","Windsor",7,3,0,47,76,52,0,185,427
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 82","Windsor",7,8,0,38,69,27,0,149,441
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 83","Windsor",10,7,0,60,79,45,1,202,373
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 84","Windsor",7,5,1,43,97,72,0,225,478
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 85","Windsor",5,8,2,40,63,85,0,203,345
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 86","Windsor",7,6,0,35,43,51,2,144,397
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 87","Windsor",9,2,0,38,94,81,0,224,364
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 88","Windsor",8,7,2,52,77,59,1,206,378
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 89","Windsor",9,3,2,67,108,40,0,229,455
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 90","Windsor",12,8,0,39,85,51,0,195,418
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 91","Windsor",9,7,4,64,103,100,2,289,468
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 92","Tecumseh",5,4,0,92,27,70,0,198,433
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 93","Tecumseh",4,2,0,56,46,68,1,177,367
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 94","Tecumseh",9,2,0,49,47,78,0,185,363
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 95","Tecumseh",2,6,0,66,41,62,0,177,365
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 96","Windsor",4,2,0,37,58,46,0,147,392
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 97","Windsor",12,2,0,47,59,70,0,190,389
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 98","Windsor",7,6,1,34,82,40,1,171,472
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 99","Windsor",6,5,1,29,45,48,0,134,372
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 100","Windsor",13,3,2,55,65,96,9,243,408
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 101","Windsor",8,11,2,42,79,46,0,188,539
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 102","Windsor",14,6,1,35,67,74,1,198,457
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 103","Windsor",9,3,0,27,85,76,2,202,430
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 104","Windsor",8,1,1,26,64,81,0,181,424
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 105","Windsor",5,10,2,30,84,49,2,182,480
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 106","Windsor",6,4,2,34,58,43,0,147,474
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 107","Tecumseh",6,4,1,49,69,33,1,163,422
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 108","Tecumseh",4,2,0,50,98,65,1,220,436
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 109","Tecumseh",5,9,1,73,56,58,2,204,399
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 110","Tecumseh",3,3,1,59,57,53,3,179,392
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 111","Tecumseh",8,7,0,77,96,53,0,241,470
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 112","Tecumseh",10,5,0,39,48,54,0,156,361
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 113","Tecumseh",2,4,0,60,52,50,3,171,377
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 114","Windsor",7,3,2,39,95,39,0,185,469
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 115","Windsor",12,8,0,61,112,48,2,243,542
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 116","Windsor",2,3,0,40,85,38,0,168,488
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 117","Windsor",7,8,4,60,77,44,3,203,466
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 118","Windsor",8,7,0,35,80,24,1,155,512
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 119","Windsor",8,8,2,42,98,49,5,212,515
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 120","Windsor",15,5,2,41,65,105,1,234,536
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 121","Windsor",15,5,0,24,94,64,1,203,452
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 122","Windsor",16,2,0,43,80,83,1,225,444
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 123","Windsor",3,3,0,43,76,62,0,187,409
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 124","Windsor",7,6,0,21,67,78,1,180,510
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 125","Windsor",5,6,0,31,61,53,3,159,391
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 126","Windsor",6,3,2,51,52,69,2,185,501
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 127","Windsor",3,6,1,48,44,68,3,173,345
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 128","Windsor",7,4,3,44,75,69,3,205,418
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 129","Windsor",7,8,1,65,51,81,2,215,415
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 130","Windsor",1,5,0,35,56,76,1,174,370
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 131","Windsor",9,4,1,61,51,60,2,188,420
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 132","Windsor",10,11,1,46,57,51,2,178,399
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 133","Windsor",8,8,0,57,107,29,0,209,453
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 134","Windsor",6,6,0,47,88,50,3,200,464
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 135","Windsor",2,2,1,49,84,37,1,176,417
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 136","Windsor",14,2,0,44,102,44,2,208,445
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 137","Windsor",7,2,1,48,81,42,2,183,384
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 138","Windsor",14,4,1,56,102,40,0,217,381
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 139","Windsor",10,2,1,83,66,73,3,238,514
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 140","Windsor",4,4,1,67,25,65,0,166,449
