Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Giovanni Abati,Dan Burr,Laura Chesnik,Leo Demarce,Cheryl Hardcastle,Irek Kusmierczyk,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 608","Windsor",23,10,2,201,197,245,3,681,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 609","Windsor",25,10,3,85,159,216,2,500,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 610","Windsor",32,19,0,95,189,211,6,552,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 611","Windsor",3,7,3,86,128,72,0,299,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 612","Windsor",32,27,3,139,232,129,0,562,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 613","Windsor",15,8,4,96,172,84,2,381,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 614","Windsor",25,21,3,221,278,215,10,773,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 615","Windsor",11,12,5,110,146,150,8,442,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 616","Windsor",15,9,3,150,166,216,1,560,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 617","Windsor",9,14,3,179,129,281,8,623,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 618","Windsor",17,13,3,274,185,294,10,796,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 619","Tecumseh",7,10,1,121,77,84,3,303,
35116,"Windsor--Tecumseh/Windsor--Tecumseh",,Group 1/Groupe 1, 7,3,0,25,30,56,10,131,166
35116,"Windsor--Tecumseh/Windsor--Tecumseh",,Group 2/Groupe 2, 60,22,4,277,382,412,37,1194,
