Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Zaff Ansari,Chandra Arya,Jean-Luc Cooke,Azim Hooda,Brian St. Louis,Dustan Wang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35064,"Nepean/Nepean"," 74","Nepean",43,121,23,3,53,0,2,245,480
35064,"Nepean/Nepean"," 75","Nepean",26,114,10,4,55,0,0,209,414
35064,"Nepean/Nepean"," 76","Nepean",31,83,17,2,54,0,0,187,423
35064,"Nepean/Nepean"," 77A","Nepean",19,129,5,0,27,0,1,181,395
35064,"Nepean/Nepean"," 77B","Nepean",25,114,8,1,49,1,0,198,414
35064,"Nepean/Nepean"," 78","Nepean",33,102,9,3,55,1,0,203,406
35064,"Nepean/Nepean"," 79","Gloucester",46,122,21,3,85,0,1,278,539
35064,"Nepean/Nepean"," 80","Nepean",33,133,16,3,83,0,1,269,590
35064,"Nepean/Nepean"," 81","Nepean",48,95,14,2,81,0,6,246,525
35064,"Nepean/Nepean"," 82","Nepean",32,95,9,1,60,0,2,199,431
35064,"Nepean/Nepean"," 83","Nepean",11,57,4,1,88,0,1,162,311
35064,"Nepean/Nepean"," 84","Nepean",3,39,12,2,92,0,1,149,310
35064,"Nepean/Nepean"," 85","Nepean",22,92,20,0,55,1,0,190,382
35064,"Nepean/Nepean"," 86","Nepean",20,91,13,4,70,0,2,200,355
35064,"Nepean/Nepean"," 87A","Nepean",25,107,8,4,41,0,1,186,330
35064,"Nepean/Nepean"," 87B","Nepean",21,82,6,2,47,0,1,159,303
35064,"Nepean/Nepean"," 88","Nepean",41,112,30,0,89,0,3,275,502
35064,"Nepean/Nepean"," 89","Nepean",37,138,7,1,61,0,3,247,540
35064,"Nepean/Nepean"," 90","Nepean",47,132,17,2,81,1,0,280,528
35064,"Nepean/Nepean"," 91","Nepean",17,120,15,3,93,1,2,251,488
35064,"Nepean/Nepean"," 92","Nepean",32,100,10,2,80,0,0,224,433
35064,"Nepean/Nepean"," 93","Nepean",40,92,8,3,53,0,0,196,391
35064,"Nepean/Nepean"," 94","Nepean",47,73,7,8,72,1,0,208,461
35064,"Nepean/Nepean"," 95","Nepean",31,62,10,5,65,0,0,173,356
35064,"Nepean/Nepean"," 96","Nepean",38,96,22,0,70,0,0,226,427
35064,"Nepean/Nepean"," 97","Nepean",40,136,16,5,79,0,2,278,512
35064,"Nepean/Nepean"," 98","Nepean",24,82,10,0,82,1,2,201,382
35064,"Nepean/Nepean"," 99","Nepean",32,111,15,3,87,0,0,248,447
35064,"Nepean/Nepean"," 100","Nepean",22,163,12,6,83,2,1,289,509
35064,"Nepean/Nepean"," 101","Nepean",33,123,11,4,81,0,3,255,502
35064,"Nepean/Nepean"," 102","Nepean",39,109,7,8,80,0,0,243,458
35064,"Nepean/Nepean"," 103","Nepean",30,105,13,3,56,0,1,208,384
35064,"Nepean/Nepean"," 104A","Nepean",27,103,3,0,47,0,0,180,375
35064,"Nepean/Nepean"," 104B","Nepean",39,81,13,0,55,0,1,189,372
35064,"Nepean/Nepean"," 105A","Nepean",29,94,8,1,29,0,0,161,334
35064,"Nepean/Nepean"," 105B","Nepean",35,75,14,1,35,0,2,162,321
35064,"Nepean/Nepean"," 106","Nepean",29,127,6,0,59,0,0,221,415
35064,"Nepean/Nepean"," 107","Nepean",30,128,19,2,63,1,1,244,526
35064,"Nepean/Nepean"," 108","Nepean",37,137,13,4,81,2,1,275,546
35064,"Nepean/Nepean"," 109","Nepean",27,103,7,2,92,1,0,232,471
35064,"Nepean/Nepean"," 110","Nepean",19,77,8,2,53,0,0,159,379
35064,"Nepean/Nepean"," 111","Nepean",29,96,7,4,75,0,1,212,426
35064,"Nepean/Nepean"," 112","Nepean",52,108,11,6,48,0,0,225,432
35064,"Nepean/Nepean"," 113","Nepean",25,115,12,1,43,1,2,199,388
35064,"Nepean/Nepean"," 114","Nepean",28,121,8,1,60,0,0,218,468
35064,"Nepean/Nepean"," 115","Nepean",29,125,14,3,67,1,1,240,477
35064,"Nepean/Nepean"," 116","Nepean",44,97,13,1,67,1,0,223,426
35064,"Nepean/Nepean"," 117","Nepean",25,121,12,2,82,2,2,246,463
35064,"Nepean/Nepean"," 118","Nepean",41,101,15,3,75,2,0,237,404
35064,"Nepean/Nepean"," 119","Nepean",41,95,13,4,78,1,1,233,439
35064,"Nepean/Nepean"," 120","Nepean",28,122,12,3,74,0,1,240,450
35064,"Nepean/Nepean"," 121","Nepean",44,189,15,0,70,1,1,320,575
35064,"Nepean/Nepean"," 122","Nepean",30,135,3,1,70,1,5,245,527
35064,"Nepean/Nepean"," 123","Nepean",34,127,4,0,59,2,1,227,464
35064,"Nepean/Nepean"," 124","Nepean",37,128,9,1,50,1,2,228,465
35064,"Nepean/Nepean"," 125","Nepean",33,120,4,1,63,0,0,221,440
35064,"Nepean/Nepean"," 126","Nepean",56,86,12,1,80,0,0,235,563
35064,"Nepean/Nepean"," 127","Nepean",28,86,19,6,91,0,0,230,434
35064,"Nepean/Nepean"," 128","Nepean",24,54,15,2,70,0,0,165,386
35064,"Nepean/Nepean"," 129","Nepean",37,87,15,0,74,0,2,215,454
35064,"Nepean/Nepean"," 130","Nepean",26,76,15,2,51,0,0,170,376
35064,"Nepean/Nepean"," 131","Nepean",60,90,13,3,61,0,0,227,510
35064,"Nepean/Nepean"," 132","Nepean",25,102,26,2,74,0,1,230,456
35064,"Nepean/Nepean"," 133","Nepean",37,87,21,1,71,0,1,218,460
35064,"Nepean/Nepean"," 134","Nepean",27,97,11,1,59,0,1,196,387
35064,"Nepean/Nepean"," 135","Nepean",33,121,16,5,73,1,2,251,533
35064,"Nepean/Nepean"," 136","Nepean",36,135,13,3,59,1,5,252,561
35064,"Nepean/Nepean"," 137","Nepean",24,84,8,0,67,2,0,185,446
35064,"Nepean/Nepean"," 138","Nepean",32,137,9,0,61,1,7,247,505
35064,"Nepean/Nepean"," 139","Nepean",32,82,14,0,67,0,2,197,427
35064,"Nepean/Nepean"," 140","Nepean",14,88,4,3,57,5,0,171,431
35064,"Nepean/Nepean"," 141","Nepean",20,111,6,2,70,0,5,214,433
35064,"Nepean/Nepean"," 142","Nepean",13,88,10,0,79,2,0,192,397
35064,"Nepean/Nepean"," 143","Nepean",53,70,16,3,61,0,0,203,374
35064,"Nepean/Nepean"," 144","Nepean",44,72,13,2,57,0,1,189,405
35064,"Nepean/Nepean"," 145","Nepean",37,110,25,3,69,0,0,244,521
35064,"Nepean/Nepean"," 146","Nepean",42,85,10,2,75,0,0,214,470
35064,"Nepean/Nepean"," 147","Nepean",37,79,8,4,71,1,1,201,404
35064,"Nepean/Nepean"," 148","Nepean",42,89,23,2,88,0,2,246,455
35064,"Nepean/Nepean"," 149","Nepean",62,113,17,3,79,1,0,275,529
35064,"Nepean/Nepean"," 150","Nepean",11,125,5,2,72,1,1,217,471
35064,"Nepean/Nepean"," 151A","Nepean",36,89,7,0,37,0,0,169,358
35064,"Nepean/Nepean"," 151B","Nepean",44,99,11,3,46,1,0,204,404
35064,"Nepean/Nepean"," 152","Nepean",44,113,5,4,67,1,1,235,493
35064,"Nepean/Nepean"," 153","Nepean",22,124,3,0,48,3,0,200,452
35064,"Nepean/Nepean"," 154","Nepean",50,168,10,3,57,0,1,289,583
35064,"Nepean/Nepean"," 155","Nepean",23,108,21,4,72,1,0,229,514
35064,"Nepean/Nepean"," 156","Nepean",25,74,8,0,57,0,0,164,316
35064,"Nepean/Nepean"," 157","Nepean",31,78,21,3,61,0,0,194,367
35064,"Nepean/Nepean"," 158","Nepean",37,85,20,6,83,0,1,232,436
35064,"Nepean/Nepean"," 159","Nepean",42,125,27,5,80,0,0,279,484
35064,"Nepean/Nepean"," 160","Nepean",33,127,11,2,77,0,4,254,450
35064,"Nepean/Nepean"," 161","Nepean",38,98,17,0,82,0,2,237,450
35064,"Nepean/Nepean"," 162","Nepean",31,112,15,0,95,1,0,254,544
35064,"Nepean/Nepean"," 163","Nepean",17,116,10,0,74,0,0,217,469
35064,"Nepean/Nepean"," 164","Nepean",13,105,11,1,72,0,1,203,524
35064,"Nepean/Nepean"," 165A","Nepean",16,76,4,0,25,0,1,122,312
35064,"Nepean/Nepean"," 165B","Nepean",25,63,6,3,49,1,1,148,327
35064,"Nepean/Nepean"," 166","Nepean",16,96,5,0,95,0,1,213,517
35064,"Nepean/Nepean"," 167A","Nepean",14,77,5,0,66,0,0,162,335
35064,"Nepean/Nepean"," 167B","Nepean",18,75,4,0,63,0,0,160,330
35064,"Nepean/Nepean"," 168","Nepean",49,115,17,5,60,0,0,246,542
35064,"Nepean/Nepean"," 169","Nepean",26,106,12,3,73,0,1,221,506
35064,"Nepean/Nepean"," 170","Nepean",25,126,11,0,69,0,2,233,487
35064,"Nepean/Nepean"," 171A","Nepean",11,66,4,2,57,1,0,141,336
35064,"Nepean/Nepean"," 171B","Nepean",11,63,9,4,61,3,0,151,310
35064,"Nepean/Nepean"," 172","Nepean",35,112,12,2,72,0,2,235,571
35064,"Nepean/Nepean"," 173","Nepean",13,110,12,1,85,2,1,224,510
35064,"Nepean/Nepean"," 174","Nepean",31,110,17,2,65,2,2,229,544
35064,"Nepean/Nepean"," 175","Nepean",37,91,10,1,83,0,1,223,463
35064,"Nepean/Nepean"," 176","Nepean",34,110,10,1,103,0,1,259,502
35064,"Nepean/Nepean"," 177","Nepean",39,109,18,4,107,0,1,278,482
35064,"Nepean/Nepean"," 178","Nepean",53,115,14,2,78,0,1,263,452
35064,"Nepean/Nepean"," 179","Nepean",27,100,10,1,56,0,1,195,368
35064,"Nepean/Nepean"," 180A","Nepean",20,79,10,2,42,0,0,153,324
35064,"Nepean/Nepean"," 180B","Nepean",26,81,7,1,53,0,1,169,359
35064,"Nepean/Nepean"," 181","Nepean",34,122,12,3,85,0,1,257,518
35064,"Nepean/Nepean"," 182","Nepean",31,85,8,0,56,0,2,182,387
35064,"Nepean/Nepean"," 183","Nepean",31,99,10,2,84,0,5,231,444
35064,"Nepean/Nepean"," 184A","Nepean",48,149,15,3,69,0,3,287,574
35064,"Nepean/Nepean"," 184B","Nepean",37,134,20,4,70,1,5,271,506
35064,"Nepean/Nepean"," 185","Nepean",20,108,10,2,83,1,3,227,602
35064,"Nepean/Nepean"," 186","Nepean",20,112,9,0,74,2,0,217,568
35064,"Nepean/Nepean"," 187","Nepean",22,116,8,1,94,2,2,245,570
35064,"Nepean/Nepean"," 188A","Nepean",21,99,8,1,40,0,0,169,361
35064,"Nepean/Nepean"," 188B","Nepean",24,82,8,0,61,0,2,177,354
35064,"Nepean/Nepean"," 189","Nepean",15,82,5,1,47,0,1,151,335
35064,"Nepean/Nepean"," 190A","Nepean",32,111,10,2,49,0,1,205,459
35064,"Nepean/Nepean"," 190B","Nepean",27,92,10,5,60,0,1,195,435
35064,"Nepean/Nepean"," 191","Nepean",29,107,13,3,62,1,1,216,452
