Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Line Bélanger,Dajana Dautovic,Stéphane Girard,Richard Martel,Valérie Tremblay,Jimmy Voyer,Lynda Youde,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 1","Saint-Honoré",2,17,12,64,65,0,1,9,170,286
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 2","Saguenay",2,28,11,109,77,1,4,8,240,378
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 3","Saguenay",2,29,13,103,101,0,8,3,259,518
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 4","Saguenay",1,28,13,94,71,1,3,6,217,426
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 5","Saguenay",0,19,6,77,52,1,6,1,162,327
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 6","Saguenay",0,21,7,80,49,1,2,0,160,337
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 7","Saguenay",1,25,9,55,78,0,5,2,175,333
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 8","Saguenay",2,23,19,57,45,3,4,1,154,349
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 9","Saguenay",1,22,14,96,94,0,2,10,239,392
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 10","Saguenay",2,19,19,54,74,5,8,3,184,324
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 11","Saguenay",2,20,13,48,70,4,4,4,165,346
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 12","Saguenay",1,41,16,56,84,4,17,6,225,432
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 13","Saguenay",0,35,18,49,54,3,6,2,167,384
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 14","Saguenay",0,19,6,59,63,3,3,3,156,367
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 15","Saguenay",0,18,16,53,50,3,9,3,152,356
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 16","Saguenay",2,23,13,97,82,1,7,4,229,415
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 17","Saguenay",0,23,17,96,65,1,4,3,209,387
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 18","Saguenay",1,25,15,76,84,0,6,3,210,369
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 19","Saguenay",0,26,17,88,68,2,3,3,207,417
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 20","Saguenay",1,24,14,57,80,1,8,2,187,365
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 21","Saguenay",1,27,24,101,90,1,9,3,256,424
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 22","Saguenay",1,30,17,100,67,3,2,5,225,398
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 23","Saguenay",0,26,13,88,95,0,5,3,230,396
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 24","Saguenay",2,28,19,50,81,1,4,4,189,371
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 25","Saguenay",3,27,15,80,93,1,3,5,227,448
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 26","Saguenay",1,23,10,94,83,2,7,2,222,440
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 27","Saguenay",2,43,18,105,101,1,5,6,281,562
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 28","Saguenay",2,35,9,79,52,1,3,3,184,370
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 29","Saguenay",2,42,19,80,74,0,7,4,228,424
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 30","Saguenay",1,32,19,80,88,1,7,3,231,406
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 31","Saguenay",1,38,15,79,78,1,7,2,221,397
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 32","Saguenay",0,34,16,103,103,2,6,1,265,431
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 33","Saguenay",0,31,23,81,111,6,4,3,259,449
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 34","Saguenay",1,45,14,78,84,2,4,1,229,497
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 35","Saguenay",4,19,10,86,86,2,13,4,224,440
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 36","Saguenay",1,25,3,54,61,2,3,2,151,349
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 37","Saguenay",4,21,9,54,55,0,7,4,154,345
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 38","Saguenay",2,27,9,74,75,1,7,4,199,338
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 39","Saguenay",2,32,15,63,85,1,5,5,208,332
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 40","Saguenay",1,28,14,63,70,0,5,6,187,340
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 41","Saguenay",1,29,19,92,72,1,3,3,220,418
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 42","Saguenay",2,39,11,50,56,4,7,2,171,332
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 43","Saguenay",0,30,14,73,57,2,10,4,190,339
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 44","Saguenay",1,27,15,52,58,2,7,4,166,322
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 45","Saguenay",2,33,6,69,85,1,5,4,205,355
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 46","Saguenay",2,24,11,71,83,2,8,2,203,379
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 47","Saguenay",3,21,15,55,54,0,0,3,151,353
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 48","Saguenay",3,25,14,44,40,1,9,3,139,323
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 49","Saguenay",4,22,11,45,65,2,11,6,166,376
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 50","Saguenay",1,35,8,115,78,0,9,3,249,480
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 51","Saguenay",1,32,9,103,69,2,7,4,227,425
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 52","Saguenay",2,20,8,60,56,1,4,4,155,358
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 53","Saguenay",1,28,9,40,52,0,3,1,134,342
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 54","Saguenay",1,16,7,51,51,1,2,4,133,386
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 55","Saguenay",3,19,18,28,35,2,4,11,120,445
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 56","Saguenay",1,15,4,18,34,1,5,1,79,363
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 57","Saguenay",1,46,25,57,114,1,16,4,264,455
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 58","Saguenay",1,85,2,55,74,1,4,27,249,387
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 59","Saguenay",2,24,15,26,47,1,9,0,124,401
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 60","Saguenay",2,33,21,26,63,0,16,6,167,360
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 61","Saguenay",0,24,20,23,47,0,9,5,128,354
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 62","Saguenay",0,21,34,26,53,6,7,1,148,336
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 63","Saguenay",1,33,12,61,60,0,7,5,179,411
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 64","Saguenay",0,24,11,54,51,2,4,0,146,328
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 65","Saguenay",0,21,17,31,46,1,8,1,125,321
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 66","Saguenay",1,27,19,61,66,2,5,2,183,370
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 67","Saguenay",1,26,15,34,45,3,6,4,134,332
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 68","Saguenay",1,34,9,37,46,3,2,2,134,337
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 69","Saguenay",1,17,15,35,64,1,9,3,145,358
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 70","Saguenay",1,24,20,40,62,2,9,4,162,390
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 71","Saguenay",2,21,12,39,74,1,10,6,165,359
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 72","Saguenay",2,53,21,72,86,0,18,4,256,555
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 73","Saguenay",1,44,10,57,78,1,8,4,203,338
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 74","Saguenay",4,51,18,73,95,1,11,0,253,400
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 75","Saguenay",0,24,14,40,64,3,6,0,151,304
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 76","Saguenay",5,20,9,29,41,4,6,3,117,323
