Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob Benzen,Scott Forsyth,Larry R. Heather,Holly Heffernan,Stephanie Hoeppner,Hunter Mills,Allie Tulick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48007,"Calgary Heritage/Calgary Heritage"," 1","Calgary",148,39,0,37,5,1,12,2,244,493
48007,"Calgary Heritage/Calgary Heritage"," 2","Calgary",198,45,0,28,4,2,13,2,292,475
48007,"Calgary Heritage/Calgary Heritage"," 3","Calgary",161,37,1,22,7,1,13,1,243,386
48007,"Calgary Heritage/Calgary Heritage"," 4","Calgary",186,37,3,30,11,2,9,0,278,449
48007,"Calgary Heritage/Calgary Heritage"," 5","Calgary",141,35,0,15,3,2,13,2,211,373
48007,"Calgary Heritage/Calgary Heritage"," 6","Calgary",151,58,0,19,8,1,11,2,250,415
48007,"Calgary Heritage/Calgary Heritage"," 7","Calgary",233,52,0,37,10,0,17,1,350,566
48007,"Calgary Heritage/Calgary Heritage"," 8","Calgary",151,46,1,23,4,0,6,2,233,401
48007,"Calgary Heritage/Calgary Heritage"," 9","Calgary",197,42,0,18,5,0,4,0,266,416
48007,"Calgary Heritage/Calgary Heritage"," 10","Calgary",130,23,0,6,6,0,8,0,173,327
48007,"Calgary Heritage/Calgary Heritage"," 11","Calgary",211,45,0,11,3,0,14,0,284,509
48007,"Calgary Heritage/Calgary Heritage"," 12","Calgary",126,37,0,22,5,1,11,0,202,416
48007,"Calgary Heritage/Calgary Heritage"," 13","Calgary",203,34,0,21,4,2,10,1,275,472
48007,"Calgary Heritage/Calgary Heritage"," 14","Calgary",178,60,0,26,4,1,15,1,285,500
48007,"Calgary Heritage/Calgary Heritage"," 15","Calgary",208,30,0,12,2,1,11,2,266,509
48007,"Calgary Heritage/Calgary Heritage"," 16","Calgary",177,42,0,18,5,1,17,2,262,429
48007,"Calgary Heritage/Calgary Heritage"," 17","Calgary",118,45,0,27,12,1,12,0,215,375
48007,"Calgary Heritage/Calgary Heritage"," 18","Calgary",178,50,1,40,8,1,11,3,292,517
48007,"Calgary Heritage/Calgary Heritage"," 19","Calgary",183,44,1,36,3,2,12,2,283,511
48007,"Calgary Heritage/Calgary Heritage"," 20","Calgary",78,37,0,22,5,0,9,2,153,460
48007,"Calgary Heritage/Calgary Heritage"," 21","Calgary",173,35,0,10,4,1,6,2,231,490
48007,"Calgary Heritage/Calgary Heritage"," 22","Calgary",165,25,1,7,3,1,11,1,214,474
