Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lily Bowman,Jesse Brown,David Cavey,John Clarke,Hedy Fry,Louise Kierans,Breen Ouellette,Imtiaz Popat,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59034,"Vancouver Centre/Vancouver-Centre"," 1","Vancouver",0,19,20,1,55,2,39,0,1,137,414
59034,"Vancouver Centre/Vancouver-Centre"," 2","Vancouver",0,21,19,1,73,2,54,1,0,171,467
59034,"Vancouver Centre/Vancouver-Centre"," 3","Vancouver",0,38,16,1,108,2,83,0,2,250,535
59034,"Vancouver Centre/Vancouver-Centre"," 4","Vancouver",0,18,23,1,61,8,41,0,0,152,409
59034,"Vancouver Centre/Vancouver-Centre"," 5","Vancouver",0,12,25,1,46,2,34,0,0,120,393
59034,"Vancouver Centre/Vancouver-Centre"," 6","Vancouver",0,31,7,1,58,2,62,1,0,162,357
59034,"Vancouver Centre/Vancouver-Centre"," 7","Vancouver",0,31,15,3,61,5,51,0,0,166,408
59034,"Vancouver Centre/Vancouver-Centre"," 8","Vancouver",0,20,11,0,57,4,40,0,1,133,348
59034,"Vancouver Centre/Vancouver-Centre"," 9","Vancouver",1,34,18,2,58,2,52,0,0,167,428
59034,"Vancouver Centre/Vancouver-Centre"," 10","Vancouver",1,24,15,2,50,4,47,0,2,145,347
59034,"Vancouver Centre/Vancouver-Centre"," 11","Vancouver",1,20,19,1,56,3,40,0,0,140,440
59034,"Vancouver Centre/Vancouver-Centre"," 12","Vancouver",4,26,38,3,66,3,57,0,6,203,286
59034,"Vancouver Centre/Vancouver-Centre"," 13","Vancouver",0,23,15,2,44,0,25,0,0,109,375
59034,"Vancouver Centre/Vancouver-Centre"," 14","Vancouver",0,31,21,2,72,2,41,0,0,169,460
59034,"Vancouver Centre/Vancouver-Centre"," 15","Vancouver",1,29,26,1,56,3,52,0,1,169,448
59034,"Vancouver Centre/Vancouver-Centre"," 16","Vancouver",2,21,19,0,66,0,30,0,0,138,366
59034,"Vancouver Centre/Vancouver-Centre"," 17","Vancouver",0,30,15,0,57,0,34,0,0,136,403
59034,"Vancouver Centre/Vancouver-Centre"," 18","Vancouver",Merged with No./Fusionné avec le n°12,,,,,,,,,,376
59034,"Vancouver Centre/Vancouver-Centre"," 19","Vancouver",0,22,11,2,44,0,43,0,7,129,492
59034,"Vancouver Centre/Vancouver-Centre"," 20","Vancouver",1,14,23,0,57,2,30,0,1,128,476
59034,"Vancouver Centre/Vancouver-Centre"," 21","Vancouver",1,23,23,2,58,2,55,0,0,164,526
