Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barthélémy Boisguérin,François-Philippe Champagne,Bruno-Pier Courchesne,Julie Déziel,Stéphanie Dufresne,Nicole Morin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 1","Obedjiwan 28",3,33,2,0,2,1,0,41,502
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 2","Obedjiwan 28",8,63,3,3,2,3,0,82,788
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 3","Wemotaci",16,54,2,1,5,2,1,81,373
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 4","Wemotaci",7,50,2,0,3,5,0,67,394
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 5","Radisson",0,3,2,0,2,8,0,15,27
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 6","Lac-Édouard",0,30,12,1,5,52,1,101,152
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 7","Coucoucache 24A",7,60,38,1,6,85,2,199,485
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 8","La Bostonnais",3,39,18,1,6,35,1,103,211
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 9","La Bostonnais",8,31,14,1,8,61,0,123,257
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 10","Parent",7,31,15,0,6,69,6,134,285
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 11","La Tuque",12,58,14,0,5,68,4,161,416
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 12","La Tuque",4,48,22,4,1,58,1,138,390
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 13","La Tuque",10,67,19,0,3,62,4,165,364
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 14","La Tuque",4,27,12,0,1,34,2,80,330
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 15","Haute-Mauricie",4,43,12,0,3,43,2,107,322
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 16","La Tuque",8,76,22,1,6,74,2,189,371
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 17","La Tuque",10,70,29,5,8,58,5,185,430
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 18","La Tuque",9,74,35,2,9,62,4,195,433
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 19","Haute-Mauricie",7,61,21,2,4,84,10,189,453
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 20","Haute-Mauricie",7,39,25,2,3,62,2,140,389
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 21","La Tuque",7,47,28,0,9,63,3,157,365
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 22","La Tuque",2,35,11,5,1,41,5,100,353
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 23","La Tuque",4,43,21,2,9,65,1,145,394
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 24","La Tuque",7,37,17,0,1,27,3,92,351
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 25","La Tuque",5,41,18,1,1,33,0,99,365
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 26","La Tuque",3,38,13,0,2,39,3,98,333
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 27","La Tuque",5,40,18,0,3,46,0,112,343
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 28","La Tuque",5,55,27,1,7,60,3,158,371
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 29","La Tuque",4,31,14,1,4,50,1,105,351
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 30","La Tuque",8,40,28,6,5,56,2,145,422
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 31","La Tuque",6,21,15,2,2,29,2,77,362
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 32","La Tuque",10,82,28,2,9,97,8,236,477
