Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Copley,Anthony Edmonds,Sybil Hogg,Darrell Samson,Matt Stickland,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 1","Grand Lake Station",28,25,2,53,28,0,136,250
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 2","Grand Lake Station",54,41,6,111,44,2,258,525
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 3","Grand Lake Station",60,12,6,99,64,1,242,453
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 4","Gaetz Brook",63,35,2,99,51,1,251,452
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 5","Head of Chezzetcook",52,33,1,68,32,0,186,344
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 6","Beaver Bank",29,15,1,63,33,2,143,279
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 7","Beaver Bank Lake",41,34,4,109,34,0,222,416
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 8","Beaver Bank",47,24,9,58,45,0,183,392
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 9","Kinsac",46,26,3,68,41,0,184,363
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 10","Halifax",50,28,3,82,65,4,232,446
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 11","Wellington",66,29,3,113,36,0,247,455
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 12","Wellington",59,36,3,114,51,1,264,446
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 13","Fletchers Lake",75,32,0,99,60,0,266,449
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 14","Fletchers Lake",34,25,3,76,49,0,187,338
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 15","Porters Lake",42,11,1,56,26,1,137,267
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 16","Middle Porters Lake",53,29,4,96,69,1,252,464
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 17","Porters Lake",40,19,0,64,31,2,156,304
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 18","Middle Porters Lake",62,29,6,75,47,0,219,380
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 19","Porters Lake",60,25,4,86,41,2,218,436
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 20","Porters Lake",68,26,5,91,61,4,255,415
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 21","Fletchers Lake",59,26,0,96,44,0,225,416
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 22","Goffs",46,14,3,55,26,0,144,280
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 23","Fletchers Lake",82,24,0,114,39,0,259,462
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 24","Lake Echo",43,19,3,57,56,1,179,374
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 25","Lake Echo",31,15,14,46,36,1,143,375
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 26","Halifax",38,17,6,66,60,3,190,404
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 27","Lake Echo",38,32,2,86,55,2,215,436
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 28","Lake Echo",46,18,4,62,43,3,176,372
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 29","Fall River",44,29,1,87,34,0,195,413
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 30","Waverley",33,32,0,74,60,1,200,453
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 31","West Chezzetcook",72,35,3,84,47,4,245,481
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 32","Grand Desert",42,40,4,135,47,3,271,457
12008,"Sackville--Preston--Chezzetcook/Sackville--Preston--Chezzetcook"," 33","East Chezzetcook",56,27,1,108,43,3,238,371
