Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Abdul Abdi,Vincent Cama,Serge Guevorkian,Nick Lin,Angella MacEwen,Butch Moore,Sean Mulligan,David Stibbe,Anita Vandenbeld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 1","Ottawa",66,0,5,1,83,0,4,21,121,2,303,598
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 2","Ottawa",59,0,7,0,77,2,7,12,105,0,269,450
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 3","Ottawa",43,0,3,0,56,0,0,16,71,1,190,368
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 4","Ottawa",41,1,1,0,41,0,3,17,75,1,180,349
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 5","Ottawa",28,0,2,0,28,0,0,8,48,0,114,346
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 6","Ottawa",37,1,1,1,58,0,1,21,121,2,243,595
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 7","Ottawa",55,0,3,0,34,1,0,11,88,3,195,400
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 8","Ottawa",16,1,1,0,18,1,0,5,29,1,72,202
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 9","Ottawa",43,0,7,1,50,0,4,11,60,5,181,472
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 10","Ottawa",19,0,2,1,29,0,1,3,132,1,188,468
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 11","Ottawa",40,1,0,0,51,0,0,14,188,0,294,559
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 12","Ottawa",28,0,1,0,25,0,0,20,105,2,181,386
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 13","Ottawa",67,0,6,0,63,0,2,20,121,3,282,496
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 14","Ottawa",53,0,1,0,51,1,3,20,120,2,251,484
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 15","Nepean",76,1,3,0,43,0,3,18,86,2,232,433
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 16","Nepean",49,0,3,0,55,0,1,11,126,3,248,512
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 17","Nepean",66,2,9,0,45,1,3,13,95,2,236,448
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 18","Nepean",40,0,5,0,54,0,1,10,129,2,241,598
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 19","Ottawa",35,0,3,0,22,0,0,8,47,1,116,248
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 20","Ottawa",33,0,4,0,40,0,0,19,131,2,229,403
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 21","Ottawa",36,0,0,0,28,0,1,22,99,1,187,428
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 22","Ottawa",65,0,2,0,30,0,0,12,146,1,256,555
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 23","Ottawa",72,0,6,0,43,1,1,13,166,3,305,631
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 24","Ottawa",56,0,5,0,48,0,1,14,133,4,261,579
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 25","Ottawa",39,2,5,0,32,0,0,7,59,2,146,325
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 26","Ottawa",28,0,7,0,55,0,4,10,65,1,170,358
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 27","Ottawa",44,1,2,0,51,0,0,24,98,1,221,398
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 28","Ottawa",34,0,3,0,45,0,0,13,110,0,205,372
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 29","Ottawa",70,1,5,0,76,2,3,20,145,4,326,669
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 30","Ottawa",58,0,2,0,52,0,0,15,113,2,242,458
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 31","Ottawa",96,0,1,0,48,0,2,18,151,1,317,446
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 32","Ottawa",106,0,3,0,40,0,1,14,139,0,303,458
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 33","Ottawa",50,0,8,0,35,0,0,14,107,1,215,476
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 34","Ottawa",57,0,3,0,29,0,0,10,84,2,185,444
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 35","Ottawa",45,2,0,0,41,0,4,16,113,0,221,426
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 36","Ottawa",71,0,1,0,43,0,0,22,124,0,261,457
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 37","Ottawa",35,1,1,1,42,0,2,18,119,0,219,450
