Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jag Anand,William Carnegie,Jasraj Singh Hallan,Dave Levesque,Brent Nichols,Joe Pimlott,William James Ryder,Esther Sutherland,Jonathan Trautman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 50","Calgary",55,3,69,2,4,21,0,1,1,3,159,344
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 51","Calgary",57,8,95,4,2,21,0,1,2,8,198,449
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 52","Calgary",45,4,76,7,0,19,0,0,1,0,152,370
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 53","Calgary",45,9,98,2,4,20,0,1,0,1,180,380
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 54","Calgary",24,8,100,9,2,19,0,0,0,2,164,300
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 55","Calgary",59,6,76,7,1,22,0,1,0,5,177,373
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 56","Calgary",25,5,110,1,1,28,1,1,0,2,174,335
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 57","Calgary",24,15,173,2,5,33,0,0,2,0,254,420
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 58","Calgary",41,8,151,3,2,29,0,0,0,0,234,427
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 59","Calgary",35,8,86,6,1,21,0,0,0,6,163,393
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 60","Calgary",31,9,168,5,7,24,1,1,1,5,252,423
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 61","Calgary",41,13,135,9,1,29,0,0,0,3,231,433
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 62","Calgary",35,10,113,5,2,33,0,0,2,1,201,442
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 63A","Calgary",37,8,85,2,1,6,0,0,0,1,140,278
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 63B","Calgary",30,5,53,2,4,16,0,0,1,3,114,270
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 64","Calgary",37,9,64,7,2,17,0,0,0,3,139,416
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 65","Calgary",33,3,86,4,4,21,0,1,2,3,157,448
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 66","Calgary",31,3,95,5,3,18,0,2,1,0,158,362
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 67","Calgary",43,5,89,1,2,14,0,1,0,1,156,408
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 68","Calgary",16,10,83,7,2,13,0,4,0,3,138,385
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 69","Calgary",20,3,86,5,1,13,0,1,0,0,129,347
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 70","Calgary",68,7,119,3,2,13,0,2,0,8,222,478
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 71","Calgary",44,4,128,4,1,14,0,1,0,3,199,415
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 72","Calgary",64,2,143,3,0,21,0,0,0,1,234,467
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 73","Calgary",64,4,98,7,2,12,1,2,2,8,200,458
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 74","Calgary",71,2,85,3,0,8,0,0,2,4,175,445
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 75","Calgary",37,4,135,4,2,7,0,1,0,1,191,439
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 76","Calgary",71,2,85,4,2,25,5,1,0,4,199,449
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 77","Calgary",74,7,65,7,0,16,0,0,0,7,176,467
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 78","Calgary",40,5,86,5,4,20,0,1,1,1,163,378
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 79","Calgary",24,3,100,1,0,20,1,0,1,2,152,358
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 80A","Calgary",42,1,64,3,1,20,0,2,0,0,133,295
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 80B","Calgary",37,4,85,6,2,9,0,2,0,2,147,310
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 81","Calgary",24,3,96,2,2,13,0,1,0,2,143,389
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 82","Calgary",41,3,134,10,2,16,0,0,3,2,211,456
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 83","Calgary",32,2,155,2,2,8,0,1,0,3,205,469
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 84","Calgary",41,8,129,6,0,25,4,2,0,7,222,452
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 85","Calgary",51,2,43,4,2,8,0,0,0,2,112,389
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 86","Calgary",32,7,119,8,2,20,0,2,2,1,193,441
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 87","Calgary",34,4,98,1,1,15,1,2,2,0,158,354
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 88","Calgary",32,6,98,7,0,15,0,0,0,1,159,368
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 89","Calgary",21,6,101,6,1,19,1,2,1,0,158,368
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 90","Calgary",7,2,88,6,4,10,1,0,2,2,122,308
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 91","Calgary",30,1,115,7,1,20,0,0,0,0,174,415
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 92","Calgary",21,6,110,2,0,8,0,1,0,0,148,424
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 93","Calgary",39,6,117,8,0,25,1,2,0,1,199,410
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 94","Calgary",30,9,122,3,4,23,0,0,0,0,191,434
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 95","Calgary",37,6,134,5,0,13,0,1,0,0,196,458
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 96","Calgary",49,9,99,3,1,9,0,0,0,0,170,362
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 97","Calgary",20,6,120,7,3,9,0,0,2,2,169,347
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 98","Calgary",36,7,125,3,2,10,0,1,1,2,187,424
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 99","Calgary",21,10,148,1,3,18,0,2,2,2,207,434
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 100","Calgary",54,8,113,8,4,26,0,1,2,0,216,455
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 101","Calgary",34,10,132,5,1,22,1,2,2,2,211,451
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 102","Calgary",26,12,97,3,1,18,0,2,0,0,159,447
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 103","Calgary",37,8,107,4,4,25,0,1,0,1,187,399
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 104","Calgary",27,2,88,4,0,21,0,2,0,2,146,321
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 105","Calgary",23,1,98,8,2,17,2,0,0,1,152,457
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 106","Calgary",15,7,208,11,2,42,2,1,0,4,292,513
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 107","Calgary",45,1,55,3,1,18,0,0,1,5,129,405
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 108","Calgary",33,4,58,5,2,15,0,2,0,0,119,400
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 109A","Calgary",41,3,70,1,1,13,0,3,1,3,136,295
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 109B","Calgary",29,3,51,0,0,6,0,0,1,1,91,273
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 110","Calgary",35,3,71,3,0,15,0,2,3,0,132,399
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 111","Calgary",21,4,78,5,0,18,0,3,1,4,134,364
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 112","Calgary",24,6,77,3,0,26,0,1,2,0,139,476
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 113","Calgary",24,6,52,10,5,17,1,1,0,0,116,360
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 114","Calgary",28,12,109,5,5,22,1,1,2,0,185,483
