Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sharma Baljeet,Rejeanne Caron,Billie Cross,Ben Linnick,Adam McAllister,Dan Vandal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 1","Winnipeg",1,45,21,27,1,158,1,254,509
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 2","Winnipeg",1,29,52,12,4,83,0,181,424
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 3","Winnipeg",0,29,34,17,4,102,2,188,464
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 4","Winnipeg",0,15,14,5,1,63,0,98,223
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 5","Winnipeg",2,17,16,5,3,127,7,177,266
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 6","Winnipeg",1,37,42,15,2,101,1,199,413
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 7","Winnipeg",1,38,56,15,6,110,1,227,339
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 8A","Winnipeg",Merged with No./Fusionné avec le n°7,,,,,,,,183
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 8B","Winnipeg",0,9,13,1,2,32,3,60,282
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 9","Winnipeg",1,35,30,15,2,57,0,140,342
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 10","Winnipeg",1,33,44,16,3,109,1,207,440
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 11","Winnipeg",3,34,44,14,2,107,1,205,475
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 12","Winnipeg",4,33,67,13,3,112,2,234,516
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 13","Winnipeg",4,46,37,9,2,100,2,200,384
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 14","Winnipeg",2,51,26,14,6,126,0,225,429
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 15","Winnipeg",2,25,49,12,0,57,0,145,329
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 16","Winnipeg",1,48,42,12,2,71,1,177,369
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 17","Winnipeg",5,57,53,15,2,132,0,264,414
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 18","Winnipeg",0,29,65,19,3,93,1,210,474
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 19","Winnipeg",2,38,40,10,3,132,3,228,390
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 20","Winnipeg",1,44,41,13,4,94,1,198,325
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 21","Winnipeg",0,57,55,13,5,57,0,187,491
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 22","Winnipeg",0,60,42,22,5,62,1,192,406
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 23","Winnipeg",0,48,48,15,5,73,1,190,344
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 24","Winnipeg",0,43,29,6,0,68,0,146,326
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 25","Winnipeg",1,39,39,16,2,118,0,215,378
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 26","Winnipeg",0,30,39,16,0,116,0,201,333
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 27","Winnipeg",0,40,39,20,6,129,0,234,427
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 28","Winnipeg",3,32,59,14,3,100,1,212,431
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 29","Winnipeg",2,38,53,12,2,134,0,241,419
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 30","Winnipeg",0,36,32,28,4,116,1,217,406
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 31","Winnipeg",0,25,32,13,8,70,0,148,344
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 32","Winnipeg",2,52,50,23,1,98,1,227,446
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 33","Winnipeg",0,59,56,14,2,147,1,279,475
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 34","Winnipeg",0,55,69,21,3,144,0,292,486
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 35","Winnipeg",3,31,44,18,3,83,0,182,375
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 36","Winnipeg",0,36,39,14,3,77,0,169,356
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 37","Winnipeg",2,82,47,14,5,105,2,257,501
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 38","Winnipeg",4,56,75,11,6,77,2,231,502
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 39","Winnipeg",5,67,65,13,11,80,1,242,575
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 40","Winnipeg",1,81,40,9,6,94,3,234,440
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 41","Winnipeg",0,79,37,6,5,105,1,233,465
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 42","Winnipeg",0,50,49,11,0,60,1,171,367
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 43","Winnipeg",2,74,32,7,2,92,0,209,376
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 44","Winnipeg",1,55,51,16,3,125,0,251,415
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 45","Winnipeg",2,54,59,26,5,79,2,227,394
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 46","Winnipeg",3,48,50,15,1,64,2,183,342
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 47","Winnipeg",3,64,50,27,3,92,0,239,440
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 48","Winnipeg",2,56,47,16,1,71,3,196,408
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 49","Winnipeg",1,72,57,9,4,76,0,219,413
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 50","Winnipeg",1,52,38,12,2,108,2,215,455
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 51","Winnipeg",1,79,50,11,2,77,0,220,462
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 52","Winnipeg",2,57,50,12,6,80,0,207,444
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 53","Winnipeg",1,134,40,9,3,109,2,298,421
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 54","Winnipeg",4,57,62,12,0,82,1,218,387
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 55","Winnipeg",0,58,51,13,2,75,1,200,390
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 56","Winnipeg",7,74,57,17,3,98,1,257,504
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 57","Winnipeg",3,79,53,13,3,83,2,236,476
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 58","Winnipeg",2,66,50,5,1,106,0,230,406
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 59","Winnipeg",1,70,50,15,4,93,2,235,464
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 60","Winnipeg",1,57,37,15,0,80,0,190,371
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 61","Winnipeg",1,79,57,12,3,84,1,237,455
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 62","Winnipeg",0,71,33,6,1,81,1,193,338
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 63","Winnipeg",1,65,37,10,3,101,1,218,379
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 64","Winnipeg",0,61,28,9,2,92,2,194,346
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 65","Winnipeg",0,44,32,18,3,106,0,203,385
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 66","Winnipeg",1,49,46,15,5,98,1,215,383
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 67","Winnipeg",1,45,35,15,4,86,1,187,342
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 68","Winnipeg",2,69,30,17,1,107,0,226,379
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 69","Winnipeg",1,88,33,16,5,102,2,247,429
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 70","Winnipeg",2,61,34,7,7,56,2,169,374
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 71","Winnipeg",4,61,55,18,8,119,1,266,501
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 72","Winnipeg",2,44,41,8,5,45,5,150,347
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 73","Winnipeg",2,63,59,13,3,75,0,215,525
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 74","Winnipeg",1,98,50,12,1,102,1,265,533
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 75","Winnipeg",2,85,49,13,3,151,1,304,527
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 76","Winnipeg",0,50,39,14,2,114,0,219,408
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 77A","Winnipeg",0,29,14,3,1,21,0,68,122
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 77B","Winnipeg",Merged with No./Fusionné avec le n°405,,,,,,,,243
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 78","Winnipeg",2,58,59,8,3,97,1,228,525
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 79","Winnipeg",1,37,24,11,2,70,1,146,328
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 80","Winnipeg",4,43,29,5,3,37,0,121,292
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 81","Winnipeg",2,17,19,1,3,23,0,65,190
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 82","Winnipeg",2,54,40,8,5,50,0,159,412
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 83","Winnipeg",2,68,46,8,6,78,2,210,403
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 84","Winnipeg",1,85,64,24,3,118,1,296,504
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 85","Winnipeg",3,43,47,16,5,77,3,194,382
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 86","Winnipeg",0,63,54,12,2,85,2,218,402
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 87","Winnipeg",1,93,53,13,3,90,1,254,483
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 88","Winnipeg",1,91,28,20,1,87,1,229,363
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 89","Winnipeg",0,94,28,13,2,89,0,226,346
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 90","Winnipeg",0,109,37,15,3,66,2,232,406
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 91","Winnipeg",2,52,32,8,0,68,1,163,345
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 92","Winnipeg",1,106,36,13,1,122,1,280,480
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 93","Winnipeg",3,94,40,9,1,94,1,242,493
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 94","Winnipeg",1,111,25,4,2,86,0,229,413
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 95","Winnipeg",0,75,28,16,0,96,1,216,501
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 96","Winnipeg",1,99,29,7,3,86,3,228,467
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 97","Winnipeg",1,77,36,9,3,105,0,231,449
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 98","Winnipeg",0,87,27,6,2,89,1,212,393
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 99","Winnipeg",3,77,40,9,0,130,2,261,449
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 100","Winnipeg",4,94,53,14,3,112,8,288,505
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital"," 101","Winnipeg",1,106,39,25,1,111,0,283,464
