Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André-Philippe Chenail,Marc Hivon,Christine Normandin,Chantal Reeves,Jean Rioux,Yvon Savary,Martin Thibert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24067,"Saint-Jean/Saint-Jean"," 1","Saint-Jean-sur-Richelieu",17,1,124,21,48,1,17,0,229,498
24067,"Saint-Jean/Saint-Jean"," 2","Saint-Jean-sur-Richelieu",13,0,91,18,56,0,20,3,201,382
24067,"Saint-Jean/Saint-Jean"," 3","Saint-Jean-sur-Richelieu",10,0,76,25,48,2,28,4,193,411
24067,"Saint-Jean/Saint-Jean"," 4","Saint-Jean-sur-Richelieu",16,0,78,17,66,1,17,4,199,419
24067,"Saint-Jean/Saint-Jean"," 5","Saint-Jean-sur-Richelieu",12,5,127,21,85,0,14,5,269,489
24067,"Saint-Jean/Saint-Jean"," 6","Saint-Jean-sur-Richelieu",6,1,72,12,44,0,15,0,150,353
24067,"Saint-Jean/Saint-Jean"," 7","Saint-Jean-sur-Richelieu",21,3,84,27,95,0,16,3,249,426
24067,"Saint-Jean/Saint-Jean"," 8","Saint-Jean-sur-Richelieu",8,2,68,14,86,0,15,3,196,394
24067,"Saint-Jean/Saint-Jean"," 9","Saint-Jean-sur-Richelieu",18,0,100,18,78,0,17,2,233,516
24067,"Saint-Jean/Saint-Jean"," 10","Sainte-Brigide-d'Iberville",10,2,117,19,83,3,41,6,281,486
24067,"Saint-Jean/Saint-Jean"," 11","Sainte-Brigide-d'Iberville",7,5,85,18,49,0,33,4,201,316
24067,"Saint-Jean/Saint-Jean"," 12","Sainte-Brigide-d'Iberville",11,0,61,17,39,0,34,5,167,323
24067,"Saint-Jean/Saint-Jean"," 13","Saint-Jean-sur-Richelieu",19,2,101,19,63,0,20,2,226,460
24067,"Saint-Jean/Saint-Jean"," 14","Saint-Jean-sur-Richelieu",9,2,92,16,58,2,18,2,199,395
24067,"Saint-Jean/Saint-Jean"," 15","Saint-Jean-sur-Richelieu",10,1,111,11,72,0,21,2,228,433
24067,"Saint-Jean/Saint-Jean"," 16","Saint-Jean-sur-Richelieu",7,2,157,21,109,1,37,0,334,670
24067,"Saint-Jean/Saint-Jean"," 17","Saint-Jean-sur-Richelieu",9,1,102,11,47,1,17,2,190,431
24067,"Saint-Jean/Saint-Jean"," 18","Saint-Jean-sur-Richelieu",11,2,105,21,95,0,24,1,259,469
24067,"Saint-Jean/Saint-Jean"," 19","Saint-Jean-sur-Richelieu",9,0,121,30,75,0,17,1,253,549
24067,"Saint-Jean/Saint-Jean"," 20","Saint-Jean-sur-Richelieu",5,0,86,11,59,2,12,2,177,412
24067,"Saint-Jean/Saint-Jean"," 21","Saint-Jean-sur-Richelieu",9,1,87,13,37,0,9,3,159,379
24067,"Saint-Jean/Saint-Jean"," 22","Saint-Jean-sur-Richelieu",6,0,86,24,79,0,24,7,226,420
24067,"Saint-Jean/Saint-Jean"," 23","Saint-Jean-sur-Richelieu",10,2,97,15,61,0,20,2,207,415
24067,"Saint-Jean/Saint-Jean"," 24","Saint-Jean-sur-Richelieu",5,0,76,18,70,1,17,2,189,382
24067,"Saint-Jean/Saint-Jean"," 25","Saint-Jean-sur-Richelieu",9,4,68,4,83,0,20,3,191,400
24067,"Saint-Jean/Saint-Jean"," 26","Saint-Jean-sur-Richelieu",10,3,93,14,55,0,17,4,196,395
24067,"Saint-Jean/Saint-Jean"," 27","Saint-Jean-sur-Richelieu",6,4,98,29,75,0,15,3,230,424
24067,"Saint-Jean/Saint-Jean"," 28","Saint-Jean-sur-Richelieu",17,0,85,10,54,1,18,9,194,361
24067,"Saint-Jean/Saint-Jean"," 29","Saint-Jean-sur-Richelieu",12,1,93,18,53,1,26,2,206,367
24067,"Saint-Jean/Saint-Jean"," 30","Mont-Saint-Grégoire",10,0,72,18,54,0,20,3,177,326
24067,"Saint-Jean/Saint-Jean"," 31","Mont-Saint-Grégoire",9,0,73,7,40,1,24,5,159,326
24067,"Saint-Jean/Saint-Jean"," 32","Saint-Grégoire-le-Grand",12,1,124,27,85,0,18,1,268,452
24067,"Saint-Jean/Saint-Jean"," 33","Mont-Saint-Grégoire",5,0,89,27,68,1,19,6,215,392
24067,"Saint-Jean/Saint-Jean"," 34","Mont-Saint-Grégoire",13,2,87,10,37,4,10,4,167,350
24067,"Saint-Jean/Saint-Jean"," 35","Mont-Saint-Grégoire",11,4,80,16,57,1,30,4,203,387
24067,"Saint-Jean/Saint-Jean"," 36","Mont-Saint-Grégoire",12,1,81,18,31,1,12,2,158,318
24067,"Saint-Jean/Saint-Jean"," 37","Saint-Jean-sur-Richelieu",14,0,140,29,101,0,30,3,317,642
24067,"Saint-Jean/Saint-Jean"," 38","Saint-Jean-sur-Richelieu",8,2,113,19,72,3,13,5,235,476
24067,"Saint-Jean/Saint-Jean"," 39","Saint-Jean-sur-Richelieu",6,0,55,12,24,0,18,3,118,354
24067,"Saint-Jean/Saint-Jean"," 40","Saint-Jean-sur-Richelieu",12,0,109,26,78,1,20,6,252,507
24067,"Saint-Jean/Saint-Jean"," 41","Saint-Jean-sur-Richelieu",10,0,74,25,50,1,14,3,177,471
24067,"Saint-Jean/Saint-Jean"," 42","Saint-Jean-sur-Richelieu",9,1,65,5,31,1,13,2,127,297
24067,"Saint-Jean/Saint-Jean"," 43","Saint-Jean-sur-Richelieu",12,2,121,15,92,1,22,2,267,529
