Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sara McCleary,Geo McLean,Terry Sheehan,Sonny Spina,Amy Zuccato,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35092,"Sault Ste. Marie/Sault Ste. Marie"," 1","Montreal River Harbour",18,7,34,24,8,0,91,194
35092,"Sault Ste. Marie/Sault Ste. Marie"," 2","Searchmont",35,9,65,61,8,1,179,348
35092,"Sault Ste. Marie/Sault Ste. Marie"," 3","Jones Landing--Havilland",56,18,109,93,3,0,279,506
35092,"Sault Ste. Marie/Sault Ste. Marie"," 4","Karalash Corners",52,6,38,69,2,1,168,286
35092,"Sault Ste. Marie/Sault Ste. Marie"," 5","Kirby's Corner",36,10,53,107,9,0,215,349
35092,"Sault Ste. Marie/Sault Ste. Marie"," 6","Goulais River",70,18,61,120,5,2,276,434
35092,"Sault Ste. Marie/Sault Ste. Marie"," 7","Goulais Bay 15A",33,6,53,48,3,0,143,313
35092,"Sault Ste. Marie/Sault Ste. Marie"," 8","Goulais River",82,15,62,131,9,1,300,543
35092,"Sault Ste. Marie/Sault Ste. Marie"," 9","Heyden",53,10,26,60,7,1,157,461
35092,"Sault Ste. Marie/Sault Ste. Marie"," 10","Heyden--Island Lake",57,6,46,83,6,2,200,361
35092,"Sault Ste. Marie/Sault Ste. Marie"," 11","Heyden",30,6,45,65,6,0,152,327
35092,"Sault Ste. Marie/Sault Ste. Marie"," 12","Sault Ste. Marie",33,8,68,62,3,1,175,292
35092,"Sault Ste. Marie/Sault Ste. Marie"," 13","Sault Ste. Marie",28,9,59,79,5,1,181,372
35092,"Sault Ste. Marie/Sault Ste. Marie"," 14","Sault Ste. Marie",30,9,102,113,0,3,257,495
35092,"Sault Ste. Marie/Sault Ste. Marie"," 15","Garden River 14",131,3,28,7,2,5,176,384
35092,"Sault Ste. Marie/Sault Ste. Marie"," 16","Garden River 14",178,3,27,1,0,0,209,530
35092,"Sault Ste. Marie/Sault Ste. Marie"," 17","Prince",68,14,108,123,5,0,318,552
35092,"Sault Ste. Marie/Sault Ste. Marie"," 18","Prince",38,10,57,82,11,0,198,354
35092,"Sault Ste. Marie/Sault Ste. Marie"," 19","Sault Ste. Marie",25,8,97,99,8,0,237,400
35092,"Sault Ste. Marie/Sault Ste. Marie"," 20","Sault Ste. Marie",44,21,81,140,2,0,288,452
35092,"Sault Ste. Marie/Sault Ste. Marie"," 21","Sault Ste. Marie",31,1,34,70,8,0,144,271
35092,"Sault Ste. Marie/Sault Ste. Marie"," 22","Sault Ste. Marie",53,8,68,81,8,2,220,374
35092,"Sault Ste. Marie/Sault Ste. Marie"," 23","Sault Ste. Marie",51,9,86,85,2,1,234,429
35092,"Sault Ste. Marie/Sault Ste. Marie"," 24","Sault Ste. Marie",51,6,70,87,6,0,220,429
35092,"Sault Ste. Marie/Sault Ste. Marie"," 25","Sault Ste. Marie",35,3,73,72,2,4,189,319
35092,"Sault Ste. Marie/Sault Ste. Marie"," 26","Rankin Location 15D",67,2,28,12,0,1,110,313
35092,"Sault Ste. Marie/Sault Ste. Marie"," 27","Rankin Location 15D",65,2,25,8,0,0,100,324
35092,"Sault Ste. Marie/Sault Ste. Marie"," 28","Sault Ste. Marie",38,7,114,86,3,0,248,421
35092,"Sault Ste. Marie/Sault Ste. Marie"," 29","Sault Ste. Marie",40,11,84,104,13,1,253,400
35092,"Sault Ste. Marie/Sault Ste. Marie"," 30","Sault Ste. Marie",55,4,100,83,3,1,246,433
35092,"Sault Ste. Marie/Sault Ste. Marie"," 31","Sault Ste. Marie",73,11,61,83,6,7,241,439
35092,"Sault Ste. Marie/Sault Ste. Marie"," 32","Sault Ste. Marie",37,10,85,90,6,4,232,434
35092,"Sault Ste. Marie/Sault Ste. Marie"," 33","Sault Ste. Marie",30,8,107,109,3,0,257,479
35092,"Sault Ste. Marie/Sault Ste. Marie"," 34","Sault Ste. Marie",36,5,93,61,3,2,200,362
35092,"Sault Ste. Marie/Sault Ste. Marie"," 35","Sault Ste. Marie",29,8,62,66,5,1,171,286
35092,"Sault Ste. Marie/Sault Ste. Marie"," 36","Sault Ste. Marie",72,10,81,74,3,1,241,540
35092,"Sault Ste. Marie/Sault Ste. Marie"," 37","Sault Ste. Marie",48,7,85,50,5,1,196,460
35092,"Sault Ste. Marie/Sault Ste. Marie"," 38","Sault Ste. Marie",62,10,123,90,8,0,293,519
