Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leona Alleslev,Aaron Brown,Timothy Flemming,Serge Korovitsyn,Priya Patil,Leah Taylor Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 1","Aurora",134,7,3,0,2,63,3,212,471
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 2","Aurora",92,25,9,3,1,122,6,258,551
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 3","Aurora",76,15,8,3,0,104,0,206,416
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 4","Aurora",104,33,20,3,3,126,2,291,493
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 5","Aurora",119,24,26,3,3,131,3,309,551
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 6","Aurora",68,24,22,0,4,99,0,217,461
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 7","Aurora",64,24,15,3,1,70,6,183,517
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 8","Aurora",93,27,15,3,3,95,2,238,475
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 9","Aurora",73,14,11,0,0,61,0,159,394
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 10","Aurora",72,33,21,1,1,108,1,237,502
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 11","Aurora",53,17,7,5,6,71,2,161,415
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 12","Aurora",71,34,13,2,7,93,4,224,551
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 13","Aurora",64,18,12,2,1,63,0,160,371
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 14","Aurora",87,22,8,1,2,64,0,184,370
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 15","Aurora",86,12,11,1,1,61,0,172,391
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 16","Aurora",66,11,8,1,1,82,1,170,376
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 17","Aurora",65,19,20,0,2,107,2,215,372
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 18","Aurora",99,17,9,1,5,64,0,195,490
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 19","Aurora",92,5,10,1,1,70,1,180,454
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 20","Aurora",66,7,2,1,1,52,0,129,354
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 21","Aurora",84,12,9,2,3,114,0,224,451
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 22","Aurora",65,8,8,2,1,92,0,176,361
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 23","Aurora",105,11,13,0,2,102,1,234,387
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 24","Aurora",70,17,14,1,1,106,2,211,427
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 25","Aurora",98,17,16,2,6,88,1,228,479
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 26","Aurora",77,34,13,4,2,94,2,226,506
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 27","Aurora",101,29,21,2,5,128,2,288,560
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 28","Aurora",87,29,23,3,5,135,1,283,524
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 29","Aurora",100,21,25,2,4,136,4,292,547
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 30","Aurora",72,10,8,3,5,102,3,203,443
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 31","Aurora",104,17,9,2,0,92,1,225,427
