Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Friesen,Tracy Muggli,Erika Ritchie,Neil Sinclair,Kevin Waugh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 1","Saskatoon",7,37,108,5,75,1,233,517
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 2","Saskatoon",1,44,133,16,72,2,268,536
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 3","Saskatoon",5,56,130,6,85,0,282,536
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 4","Saskatoon",0,39,128,8,73,1,249,519
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 5","Saskatoon",2,45,101,4,98,0,250,552
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 6","Saskatoon",3,38,98,10,96,0,245,524
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 7","Saskatoon",11,23,69,7,136,1,247,480
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 8","Saskatoon",4,30,73,4,130,0,241,526
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 9","Saskatoon",2,40,87,6,100,0,235,518
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 10","Saskatoon",5,31,72,1,161,0,270,536
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 11A","Saskatoon",3,21,43,3,67,1,138,291
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 11B","Saskatoon",0,25,41,4,66,1,137,288
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 12","Saskatoon",5,40,73,6,150,0,274,571
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 13","Saskatoon",9,44,92,13,79,0,237,495
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 14","Saskatoon",8,42,105,14,89,0,258,513
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 15","Saskatoon",2,46,95,6,83,0,232,533
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 16","Saskatoon",3,26,105,7,86,0,227,461
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 17","Saskatoon",5,30,80,6,110,0,231,481
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 18","Saskatoon",1,59,82,6,104,0,252,513
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 19","Saskatoon",2,67,61,6,94,1,231,476
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 20","Saskatoon",9,30,115,7,92,1,254,522
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 21","Saskatoon",6,30,107,6,103,2,254,546
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 22","Saskatoon",3,38,104,12,95,3,255,506
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 23A","Saskatoon",3,25,55,3,39,0,125,325
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 23B","Saskatoon",6,21,59,5,37,0,128,287
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 24","Grasswood",1,8,9,0,28,0,46,81
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 25","Grasswood",1,28,64,4,143,2,242,476
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 26","Grasswood",1,14,30,0,71,1,117,219
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 27","Saskatoon",5,33,84,5,79,1,207,407
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 28","Saskatoon",1,34,79,7,72,1,194,435
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 29","Saskatoon",5,40,74,11,83,1,214,444
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 30","Saskatoon",1,37,66,7,63,1,175,453
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 31","Saskatoon",4,25,76,3,62,1,171,426
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 32","Saskatoon",3,47,60,7,91,1,209,407
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 33","Saskatoon",6,44,79,2,103,2,236,493
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 34","Saskatoon",4,44,85,8,109,1,251,455
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 35","Saskatoon",0,22,25,5,80,3,135,218
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 36","Saskatoon",1,42,58,7,108,0,216,393
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 37A","Saskatoon",4,34,80,5,66,2,191,391
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 37B","Saskatoon",3,26,69,7,86,0,191,393
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 38","Saskatoon",2,50,93,13,95,2,255,487
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 39","Saskatoon",4,50,103,3,87,0,247,517
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 40","Saskatoon",3,28,100,12,133,0,276,519
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 41","Saskatoon",4,55,91,12,111,1,274,530
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 42","Saskatoon",0,47,83,12,116,0,258,507
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 43A","Saskatoon",0,15,23,1,55,0,94,286
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 43B","Saskatoon",2,22,30,7,71,2,134,323
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 44","Saskatoon",1,33,67,5,78,0,184,365
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 45","Saskatoon",5,44,75,9,152,3,288,504
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 46","Saskatoon",2,58,34,11,102,0,207,445
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 47","Saskatoon",7,46,63,8,136,1,261,494
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 48","Saskatoon",3,34,34,1,82,2,156,483
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 49","Saskatoon",0,29,31,3,117,0,180,386
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 50","Saskatoon",2,43,33,7,155,3,243,472
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 51","Saskatoon",1,56,55,5,164,0,281,521
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 52","Saskatoon",0,16,22,1,66,0,105,177
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 53","Saskatoon",0,73,48,5,184,10,320,477
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 54","Saskatoon",2,32,45,5,114,7,205,364
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 55","Saskatoon",10,36,109,4,137,1,297,535
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 56","Saskatoon",6,22,95,7,135,1,266,514
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 57","Saskatoon",2,39,83,4,92,4,224,462
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 58","Saskatoon",2,45,72,3,154,1,277,584
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 59","Saskatoon",2,44,40,8,131,10,235,347
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 60","Saskatoon",3,38,39,2,128,1,211,506
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 61","Saskatoon",5,39,61,5,118,4,232,521
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 62","Saskatoon",3,35,28,5,91,0,162,429
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 63","Saskatoon",3,34,87,7,122,0,253,501
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 64","Saskatoon",3,40,97,7,134,0,281,496
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 65","Saskatoon",3,50,87,6,142,1,289,475
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 66","Saskatoon",5,28,70,9,123,4,239,420
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 67","Saskatoon",3,28,84,7,100,1,223,493
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 68","Saskatoon",5,53,81,8,114,0,261,511
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood"," 69","Saskatoon",3,54,100,10,115,0,282,481
