Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ziad Aboultaif,Kamal Kadri,Pam Phiri,Laura-Leah Shaw,Charmaine St. Germain,Daniel Summers,Andre Vachon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48016,"Edmonton Manning/Edmonton Manning"," 1","Edmonton",163,51,2,6,42,2,0,0,266,691
48016,"Edmonton Manning/Edmonton Manning"," 2","Edmonton",Merged with No./Fusionné avec le n°6,,,,,,,,,91
48016,"Edmonton Manning/Edmonton Manning"," 3","Edmonton",90,30,0,2,36,2,0,0,160,449
48016,"Edmonton Manning/Edmonton Manning"," 4","Edmonton",157,67,0,7,32,2,0,1,266,689
48016,"Edmonton Manning/Edmonton Manning"," 5","Edmonton",118,47,2,1,13,1,0,1,183,456
48016,"Edmonton Manning/Edmonton Manning"," 6","Edmonton",60,32,2,1,22,4,1,3,125,302
48016,"Edmonton Manning/Edmonton Manning"," 7A","Edmonton",76,69,4,0,34,1,1,6,191,456
48016,"Edmonton Manning/Edmonton Manning"," 7B","Edmonton",79,56,1,1,51,1,1,1,191,458
48016,"Edmonton Manning/Edmonton Manning"," 8","Edmonton",110,46,1,1,19,2,0,0,179,485
48016,"Edmonton Manning/Edmonton Manning"," 9","Edmonton",84,70,2,1,31,2,0,0,190,539
48016,"Edmonton Manning/Edmonton Manning"," 10","Edmonton",113,42,1,2,30,6,0,0,194,465
48016,"Edmonton Manning/Edmonton Manning"," 11","Edmonton",100,30,2,5,47,8,0,1,193,404
48016,"Edmonton Manning/Edmonton Manning"," 12","Edmonton",111,48,0,6,46,6,0,0,217,450
48016,"Edmonton Manning/Edmonton Manning"," 13","Edmonton",83,26,3,1,24,6,0,0,143,384
48016,"Edmonton Manning/Edmonton Manning"," 14","Edmonton",113,29,1,3,43,8,0,1,198,382
48016,"Edmonton Manning/Edmonton Manning"," 15","Edmonton",117,36,2,5,31,3,1,0,195,423
48016,"Edmonton Manning/Edmonton Manning"," 16","Edmonton",107,29,0,7,55,8,0,2,208,399
48016,"Edmonton Manning/Edmonton Manning"," 17","Edmonton",170,52,1,6,40,5,0,2,276,640
48016,"Edmonton Manning/Edmonton Manning"," 18","Edmonton",118,35,0,3,26,2,0,0,184,449
48016,"Edmonton Manning/Edmonton Manning"," 19","Edmonton",145,37,1,1,38,2,0,1,225,503
48016,"Edmonton Manning/Edmonton Manning"," 20","Edmonton",127,55,2,4,46,0,1,0,235,476
48016,"Edmonton Manning/Edmonton Manning"," 21","Edmonton",115,31,1,4,31,5,0,1,188,428
48016,"Edmonton Manning/Edmonton Manning"," 22","Edmonton",100,49,0,4,31,0,0,0,184,391
48016,"Edmonton Manning/Edmonton Manning"," 23","Edmonton",127,26,0,2,33,4,0,0,192,441
48016,"Edmonton Manning/Edmonton Manning"," 24","Edmonton",103,38,1,5,27,3,0,1,178,443
48016,"Edmonton Manning/Edmonton Manning"," 25","Edmonton",94,50,1,6,52,7,0,1,211,505
48016,"Edmonton Manning/Edmonton Manning"," 26A","Edmonton",105,39,1,6,41,4,0,1,197,485
48016,"Edmonton Manning/Edmonton Manning"," 26B","Edmonton",107,38,0,3,33,3,0,0,184,488
48016,"Edmonton Manning/Edmonton Manning"," 27","Edmonton",193,81,0,6,60,11,0,0,351,815
48016,"Edmonton Manning/Edmonton Manning"," 28","Edmonton",106,54,1,1,39,1,0,0,202,519
48016,"Edmonton Manning/Edmonton Manning"," 29","Edmonton",158,68,0,13,50,3,0,1,293,837
48016,"Edmonton Manning/Edmonton Manning"," 30","Edmonton",121,35,2,4,39,4,2,0,207,542
48016,"Edmonton Manning/Edmonton Manning"," 31","Edmonton",212,73,2,2,55,2,0,3,349,375
48016,"Edmonton Manning/Edmonton Manning"," 32","Edmonton",136,55,4,5,29,0,0,0,229,532
48016,"Edmonton Manning/Edmonton Manning"," 33","Edmonton",90,46,0,1,30,5,1,0,173,455
48016,"Edmonton Manning/Edmonton Manning"," 34","Edmonton",Merged with No./Fusionné avec le n°31,,,,,,,,,368
48016,"Edmonton Manning/Edmonton Manning"," 35","Edmonton",115,50,0,4,40,1,1,4,215,492
