Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Walter Bauer,Dorian Baxter,Lois Brown,Laurie Goble,Yvonne Kelly,Andrew McCaughtrie,Tony Van Bynen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35065,"Newmarket--Aurora/Newmarket--Aurora"," 1","East Gwillimbury",15,2,102,0,17,2,93,0,231,376
35065,"Newmarket--Aurora/Newmarket--Aurora"," 2","Newmarket",9,2,82,1,30,3,72,2,201,417
35065,"Newmarket--Aurora/Newmarket--Aurora"," 3","Newmarket",15,3,63,1,24,4,74,0,184,374
35065,"Newmarket--Aurora/Newmarket--Aurora"," 4","Newmarket",14,2,71,0,46,3,66,2,204,466
35065,"Newmarket--Aurora/Newmarket--Aurora"," 5","Newmarket",20,1,138,1,25,2,109,1,297,535
35065,"Newmarket--Aurora/Newmarket--Aurora"," 6","Newmarket",15,6,94,0,18,3,89,1,226,413
35065,"Newmarket--Aurora/Newmarket--Aurora"," 7","Newmarket",24,1,112,0,34,3,130,2,306,518
35065,"Newmarket--Aurora/Newmarket--Aurora"," 8","Newmarket",14,0,51,0,44,1,78,0,188,430
35065,"Newmarket--Aurora/Newmarket--Aurora"," 9","Newmarket",22,2,112,0,38,1,137,6,318,527
35065,"Newmarket--Aurora/Newmarket--Aurora"," 10","Newmarket",11,4,73,0,26,0,90,1,205,386
35065,"Newmarket--Aurora/Newmarket--Aurora"," 11","Newmarket",12,2,107,0,28,2,129,2,282,471
35065,"Newmarket--Aurora/Newmarket--Aurora"," 12","Newmarket",7,3,112,0,23,1,153,2,301,555
35065,"Newmarket--Aurora/Newmarket--Aurora"," 13","Newmarket",17,2,104,0,37,8,111,1,280,476
35065,"Newmarket--Aurora/Newmarket--Aurora"," 14","Newmarket",13,1,76,2,25,0,78,3,198,390
35065,"Newmarket--Aurora/Newmarket--Aurora"," 15","Newmarket",15,3,68,0,21,1,87,0,195,370
35065,"Newmarket--Aurora/Newmarket--Aurora"," 16","Newmarket",12,4,91,2,21,3,90,1,224,417
35065,"Newmarket--Aurora/Newmarket--Aurora"," 17","Newmarket",11,2,84,0,23,0,118,0,238,447
35065,"Newmarket--Aurora/Newmarket--Aurora"," 18","Newmarket",15,7,87,1,47,4,95,2,258,505
35065,"Newmarket--Aurora/Newmarket--Aurora"," 19","Newmarket",10,3,60,0,44,4,75,2,198,415
35065,"Newmarket--Aurora/Newmarket--Aurora"," 20","Newmarket",11,5,91,1,25,2,101,0,236,431
35065,"Newmarket--Aurora/Newmarket--Aurora"," 21","Newmarket",14,2,79,0,22,4,88,2,211,363
35065,"Newmarket--Aurora/Newmarket--Aurora"," 22","Newmarket",24,3,53,0,29,1,92,4,206,444
