Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Neil Drabkin,Marc Garneau,Franklin Gertler,Robert Green,Rachel Hoffman,Jennifer Jetté,Jeffery A. Thomas,André Valiquette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 1","Montréal",12,66,12,12,0,7,1,2,0,112,326
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 2","Montréal",26,89,10,15,0,7,1,1,0,149,327
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 3","Montréal",15,74,12,6,0,4,0,1,2,114,317
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 4","Montréal",14,78,26,8,0,6,0,7,1,140,350
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 5","Montréal",37,99,9,11,0,5,0,1,1,163,432
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 6","Montréal",30,77,7,8,0,4,0,0,1,127,353
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 7","Montréal",24,86,21,6,0,4,0,1,0,142,438
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 8","Westmount",19,84,9,14,0,8,0,3,0,137,357
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 9","Westmount",17,76,16,2,0,3,0,0,0,114,441
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 10","Westmount",38,77,17,8,0,7,0,0,0,147,378
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 11","Westmount",58,59,4,1,0,2,0,1,0,125,425
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 12","Westmount",20,76,19,10,0,7,0,1,0,133,373
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 13","Westmount",21,80,14,18,0,5,0,5,1,144,390
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 14","Westmount",7,68,31,24,0,2,0,3,0,135,315
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 15","Westmount",59,52,10,8,0,2,0,2,0,133,349
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 16","Westmount",57,52,1,2,0,3,0,3,0,118,301
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 17","Westmount",51,86,13,14,0,4,1,2,0,171,392
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 18","Westmount",56,81,7,15,0,5,0,0,0,164,415
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 19","Montréal",25,93,16,14,1,17,0,1,1,168,415
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 20","Montréal",4,84,18,15,0,12,0,3,1,137,397
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 21","Westmount",36,112,23,11,0,10,0,1,1,194,481
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 22","Westmount",37,87,10,12,0,6,1,2,2,157,376
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 23","Westmount",39,85,11,10,0,4,2,0,0,151,339
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 24","Westmount",50,103,12,12,0,4,0,2,1,184,430
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 25","Westmount",46,98,11,17,0,8,0,1,1,182,359
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 26","Westmount",18,112,32,17,0,13,2,4,0,198,475
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 27","Westmount",36,130,15,13,0,8,0,0,2,204,455
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 28","Westmount",35,95,25,14,0,6,0,1,2,178,397
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 29","Westmount",26,99,35,26,0,7,0,3,2,198,411
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 30","Westmount",15,90,18,10,0,4,0,0,0,137,369
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 31","Westmount",24,131,23,27,0,7,0,7,3,222,533
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 32","Westmount",43,97,12,18,0,0,0,2,1,173,381
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 33","Westmount",24,69,19,15,0,2,0,1,2,132,348
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 34","Westmount",22,96,23,16,0,3,1,1,1,163,336
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 35","Westmount",33,98,26,4,0,1,0,1,0,163,376
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 36","Westmount",33,118,34,26,0,5,0,0,0,216,456
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 37","Westmount",17,116,19,26,0,0,0,1,1,180,436
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 38","Westmount",14,76,17,18,0,5,0,3,3,136,314
