Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Percy Dastur,Farina Hassan,Eleanor Hayward,Lisa Raitt,Adam van Koeverden,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35057,"Milton/Milton"," 1","Milton",6,23,28,178,106,1,342,639
35057,"Milton/Milton"," 2","Milton",4,21,30,149,128,0,332,646
35057,"Milton/Milton"," 3","Milton",0,16,2,41,29,0,88,257
35057,"Milton/Milton"," 4","Milton",0,12,16,86,90,2,206,468
35057,"Milton/Milton"," 5","Milton",1,11,8,64,109,1,194,463
35057,"Milton/Milton"," 6","Milton",0,14,5,91,102,0,212,490
35057,"Milton/Milton"," 7","Milton",2,15,4,69,89,1,180,438
35057,"Milton/Milton"," 8","Milton",1,12,6,113,109,1,242,503
35057,"Milton/Milton"," 9","Milton",2,18,10,89,84,1,204,481
35057,"Milton/Milton"," 10","Milton",5,9,4,89,113,2,222,443
35057,"Milton/Milton"," 11","Milton",0,15,15,61,108,2,201,482
35057,"Milton/Milton"," 12","Milton",1,14,8,75,93,2,193,443
35057,"Milton/Milton"," 13","Milton",1,16,13,110,117,0,257,457
35057,"Milton/Milton"," 14","Milton",2,22,9,133,133,2,301,571
35057,"Milton/Milton"," 15","Milton",3,19,13,112,139,0,286,612
35057,"Milton/Milton"," 16","Milton",2,17,13,47,86,1,166,417
35057,"Milton/Milton"," 17","Milton",5,15,13,93,148,0,274,563
35057,"Milton/Milton"," 18","Milton",1,19,9,79,133,2,243,525
35057,"Milton/Milton"," 19","Milton",5,18,11,60,105,0,199,431
35057,"Milton/Milton"," 20","Milton",7,24,12,102,93,0,238,501
35057,"Milton/Milton"," 21","Milton",6,24,31,111,126,1,299,575
35057,"Milton/Milton"," 22","Milton",7,24,17,138,153,1,340,575
35057,"Milton/Milton"," 23","Milton",3,10,9,57,43,0,122,270
35057,"Milton/Milton"," 24","Milton",3,16,15,86,130,1,251,527
35057,"Milton/Milton"," 25","Milton",2,23,19,57,120,0,221,535
35057,"Milton/Milton"," 26","Milton",0,19,6,72,99,0,196,539
35057,"Milton/Milton"," 27","Milton",2,19,10,80,101,1,213,483
35057,"Milton/Milton"," 28","Milton",0,12,10,56,104,2,184,501
35057,"Milton/Milton"," 29","Milton",4,14,6,82,110,0,216,529
35057,"Milton/Milton"," 30","Milton",0,13,11,70,133,0,227,526
35057,"Milton/Milton"," 31","Milton",2,13,7,94,105,1,222,508
35057,"Milton/Milton"," 32","Milton",2,14,9,82,113,3,223,462
35057,"Milton/Milton"," 33","Milton",4,21,8,97,133,0,263,557
35057,"Milton/Milton"," 34","Milton",3,18,6,55,111,0,193,446
35057,"Milton/Milton"," 35","Milton",0,14,4,84,104,0,206,498
35057,"Milton/Milton"," 36","Milton",4,15,6,74,109,2,210,504
35057,"Milton/Milton"," 37","Milton",6,14,7,47,117,0,191,496
35057,"Milton/Milton"," 38","Milton",3,22,12,96,122,0,255,573
35057,"Milton/Milton"," 39","Milton",3,14,6,92,95,2,212,474
35057,"Milton/Milton"," 40","Milton",3,11,7,61,141,0,223,465
35057,"Milton/Milton"," 41A","Milton",1,10,11,63,93,0,178,440
35057,"Milton/Milton"," 41B","Milton",4,13,8,43,101,1,170,450
35057,"Milton/Milton"," 42","Milton",5,16,5,73,127,0,226,608
35057,"Milton/Milton"," 43","Milton",3,6,7,76,82,3,177,425
35057,"Milton/Milton"," 44","Milton",0,8,14,111,74,1,208,420
35057,"Milton/Milton"," 45","Milton",1,25,38,113,112,1,290,500
35057,"Milton/Milton"," 46","Milton",3,11,20,112,110,0,256,454
35057,"Milton/Milton"," 47","Milton",6,11,15,97,106,3,238,461
35057,"Milton/Milton"," 48A","Milton",0,16,3,54,114,0,187,379
35057,"Milton/Milton"," 48B","Milton",2,16,3,49,92,2,164,358
35057,"Milton/Milton"," 49","Milton",6,16,5,114,143,2,286,544
35057,"Milton/Milton"," 50","Milton",2,26,10,99,150,0,287,623
35057,"Milton/Milton"," 51","Milton",4,14,11,84,119,2,234,473
35057,"Milton/Milton"," 52","Milton",1,21,10,95,92,4,223,453
35057,"Milton/Milton"," 53","Milton",3,23,11,88,124,3,252,627
35057,"Milton/Milton"," 54","Milton",4,17,13,130,112,1,277,490
35057,"Milton/Milton"," 55","Milton",2,27,17,79,68,0,193,386
35057,"Milton/Milton"," 56","Milton",3,12,21,102,86,2,226,445
35057,"Milton/Milton"," 57","Milton",5,22,27,123,104,0,281,493
35057,"Milton/Milton"," 58","Milton",3,12,13,71,129,1,229,522
35057,"Milton/Milton"," 59","Milton",3,16,16,94,105,0,234,508
35057,"Milton/Milton"," 60","Milton",2,19,11,52,100,2,186,403
35057,"Milton/Milton"," 61","Milton",3,16,10,51,101,1,182,408
35057,"Milton/Milton"," 62","Milton",0,13,13,67,121,3,217,489
35057,"Milton/Milton"," 63","Milton",1,17,15,72,79,1,185,438
35057,"Milton/Milton"," 64","Milton",4,6,10,89,103,1,213,428
35057,"Milton/Milton"," 65","Milton",0,18,8,87,112,3,228,487
35057,"Milton/Milton"," 66","Milton",3,23,3,114,128,4,275,534
35057,"Milton/Milton"," 67","Milton",2,13,13,95,152,0,275,539
35057,"Milton/Milton"," 68","Milton",2,15,8,110,133,6,274,515
35057,"Milton/Milton"," 69","Milton",3,21,6,108,109,1,248,518
